Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
KNR166-2-26JPC,,0.0125,629.0,716.0,554.0,840.0,504.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
KNR166-2-26JPC,,0.02,668.0,753.0,593.0,884.0,542.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
KNR166-2-26JPC,,0.03,715.0,804.0,639.0,931.0,582.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
KNR166-2-26JPC,,0.04,762.0,859.0,682.0,988.0,619.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
KNR166-2-26JPC,,0.05,808.0,916.0,722.0,1055.0,651.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
KNR166-2-26JPC,,0.06,855.0,973.0,762.0,1131.0,682.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
KNR166-2-26JPC,,0.07,902.0,1032.0,800.0,1213.0,713.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
KNR166-2-26JPC,,0.08,948.0,1091.0,836.0,1296.0,743.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
KNR166-2-26JPC,,0.09,994.0,1152.0,872.0,1381.0,770.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
KNR166-2-26JPC,,0.1,1040.0,1211.0,907.0,1464.0,797.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
KNR166-2-26JPC,,0.11,1086.0,1273.0,943.0,1549.0,826.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
KNR166-2-26JPC,,0.12,1131.0,1335.0,978.0,1635.0,853.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
KNR166-2-26JPC,,0.13,1176.0,1396.0,1012.9999999999999,1721.0,879.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
KNR166-2-26JPC,,0.14,1221.0,1458.0,1048.0,1808.0,905.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
KNR166-2-26JPC,,0.15,1266.0,1519.0,1081.0,1890.0,933.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
KNR166-2-26JPC,,0.16,1312.0,1581.0,1115.0,1976.0,959.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
KNR166-2-26JPC,,0.17,1357.0,1641.0,1149.0,2052.0,986.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
KNR166-2-26JPC,,0.18,1403.0,1700.0,1182.0,2136.0,1010.9999999999999,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
KNR166-2-26JPC,,0.19,1448.0,1757.0,1215.0,2219.0,1036.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
KNR166-2-26JPC,,0.2,1492.0,1811.0,1249.0,2305.0,1059.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
KNR166-2-26JPC,,0.21,1536.0,1865.0,1283.0,2388.0,1086.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
KNR166-2-26JPC,,0.22,1580.0,1916.0,1315.0,2475.0,1113.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
KNR166-2-26JPC,,0.23,1624.0,1963.0,1349.0,2565.0,1139.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
KNR166-2-26JPC,,0.24,1666.0,2009.0,1384.0,2653.0,1165.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
