Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
KNR166-2-29JPC,,0.007499999832361937,,,,1879.9999952316284,25.00000037252903,25.00000037252903,360.0,50.2,50.2,1410.0,109.0,100.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR166-2-29JPC,,0.2824999988079071,,,,3660.0000858306885,50.00000074505806,50.00000074505806,343.0,50.7,50.7,3547.0,265.0,160.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR166-2-29JPC,,0.4025000035762787,,,,6070.000171661377,45.00000178813934,45.00000178813934,413.0,50.4,50.4,6441.0,182.0,138.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR166-2-29JPC,,0.7024999856948853,,,,7320.000171661377,39.99999910593033,39.99999910593033,414.0,51.6,51.6,7747.0,174.0,131.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR166-2-29JPC,,0.8824999928474426,,,,10199.999809265137,70.00000029802322,70.00000029802322,371.0,51.1,51.1,11278.0,407.0,400.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR166-2-29JPC,,1.0824999809265137,,,,10750.0,59.99999865889549,59.99999865889549,439.0,56.2,56.2,12153.0,328.0,335.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR166-2-29JPC,,1.2024999856948853,,,,11250.0,70.00000029802322,70.00000029802322,507.0,19.3,19.3,12720.0,106.0,101.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR166-2-29JPC,,1.4824999570846558,,,,12800.000190734863,50.00000074505806,50.00000074505806,404.0,27.5,27.5,14526.0,352.0,339.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR166-2-29JPC,,1.5625,,,,13649.999618530273,59.99999865889549,59.99999865889549,521.0,31.4,31.4,15752.0,224.0,207.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR166-2-29JPC,,1.6825000047683716,,,,14550.000190734863,180.00000715255737,180.00000715255737,670.0,63.4,63.4,16831.0,527.0,518.0000000000018,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR166-2-29JPC,,1.8224999904632568,,,,16149.999618530273,59.99999865889549,59.99999865889549,710.0,39.0,39.0,18761.0,128.0,374.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR166-2-29JPC,,2.242500066757202,,,,20299.999237060547,159.9999964237213,159.9999964237213,848.0,48.2,48.2,23437.0,350.0,388.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR166-2-29JPC,,2.882499933242798,,,,26899.999618530273,180.00000715255737,180.00000715255737,745.0,75.0,75.0,30447.0,427.0,391.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
