Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
KNR166-2-29JPC,,0.0075,1424,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.0225,1540.8364,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.0225,1540.8364,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.0225,1540.8364,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.0425,1696.6182,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.0625,1852.4,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.0625,1852.4,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.0825,2008.1818,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.1025,2163.9636,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.1025,2163.9636,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.1025,2163.9636,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.1225,2319.7455,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.1425,2475.5273,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.1425,2475.5273,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.1425,2475.5273,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.1625,2631.3091,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.1825,2787.0909,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.1825,2787.0909,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.1825,2787.0909,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.2025,2942.8727,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.2225,3098.6545,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.2225,3098.6545,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.2225,3098.6545,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.2425,3254.4364,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.2625,3410.2182,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.2625,3410.2182,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.2625,3410.2182,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.2825,3566,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.3025,4054,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.3025,4054,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.3025,4054,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.3225,4542,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.3425,5030,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.3425,5030,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.3625,5518,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.3825,6006,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.3825,6006,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.3825,6006,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.4025,6494,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.4225,6579.9333,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.4225,6579.9333,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.4425,6665.8667,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.4625,6751.8,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.4625,6751.8,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.4625,6751.8,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.4625,6751.8,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.6025,7353.3333,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.6225,7439.2667,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.6225,7439.2667,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.6225,7439.2667,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.6425,7525.2,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.6625,7611.1333,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.6625,7611.1333,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.6825,7697.0667,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.7025,7783,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.7025,7783,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.7025,7783,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.7225,8162.1111,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.7425,8541.2222,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.7425,8541.2222,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.7425,8541.2222,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.7625,8920.3333,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.7825,9299.4444,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.7825,9299.4444,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.7825,9299.4444,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.8025,9678.5556,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.8225,10057.667,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.8225,10057.667,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.8225,10057.667,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.8425,10436.778,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.8625,10815.889,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.8625,10815.889,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.8625,10815.889,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.8825,11195,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.9025,11292.7,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.9025,11292.7,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.9025,11292.7,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.9425,11488.1,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.9425,11488.1,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.9425,11488.1,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.9625,11585.8,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.9825,11683.5,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.9825,11683.5,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,0.9825,11683.5,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.0025,11781.2,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.0225,11878.9,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.0225,11878.9,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.0225,11878.9,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.0425,11976.6,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.0625,12074.3,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.0625,12074.3,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.0825,12172,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.0825,12172,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.1025,12284.833,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.1025,12284.833,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.1425,12510.5,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.1425,12510.5,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.1425,12510.5,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.1625,12623.333,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.2025,12849,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.2425,13070.429,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.2625,13181.143,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.2625,13181.143,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.2625,13181.143,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.2825,13291.857,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.3025,13402.571,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.3025,13402.571,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.3025,13402.571,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.3225,13513.286,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.3425,13624,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.3425,13624,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.3425,13624,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.3625,13734.714,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.3825,13845.429,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.3825,13845.429,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.4025,13956.143,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.4225,14066.857,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.4225,14066.857,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.4225,14066.857,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.4425,14177.571,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.4625,14288.286,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.4625,14288.286,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.4625,14288.286,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.4825,14399,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.5025,14723,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.5025,14723,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.5025,14723,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.5225,15047,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.5425,15371,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.5425,15371,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.5425,15371,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.5625,15695,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.5825,15896.667,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.5825,15896.667,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.5825,15896.667,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.5825,15896.667,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.6025,16098.333,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.6225,16300,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.6225,16300,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.6225,16300,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.6425,16501.667,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.6625,16703.333,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.6625,16703.333,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.6625,16703.333,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.6625,16703.333,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.6825,16905,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.7025,17197.857,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.7025,17197.857,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.7025,17197.857,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.7225,17490.714,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.7225,17490.714,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.7425,17783.571,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.7425,17783.571,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.7425,17783.571,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.7625,18076.429,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.8025,18662.143,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.8025,18662.143,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.8225,18955,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.8225,18955,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.8225,18955,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.8425,19187.238,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.8625,19419.476,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.8625,19419.476,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.8625,19419.476,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.8825,19651.714,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.9025,19883.952,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.9025,19883.952,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.9025,19883.952,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.9425,20348.429,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.9425,20348.429,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.9425,20348.429,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.9625,20580.667,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.9825,20812.905,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,1.9825,20812.905,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.1225,22438.571,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.1625,22903.048,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.1625,22903.048,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.1625,22903.048,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.2025,23367.524,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.2425,23832,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.2825,24328.188,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.3225,24824.375,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.3625,25320.562,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.4025,25816.75,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.4425,26312.938,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.4425,26312.938,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.4425,26312.938,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.4825,26809.125,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.5225,27305.312,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.5225,27305.312,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.5225,27305.312,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.5625,27801.5,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.6025,28297.688,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.6025,28297.688,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.6025,28297.688,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.6425,28793.875,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.6825,29290.062,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.6825,29290.062,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.6825,29290.062,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.7225,29786.25,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.7625,30282.438,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.7625,30282.438,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.7625,30282.438,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.8025,30778.625,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.8425,31274.812,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.8425,31274.812,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.8825,31771,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.9225,,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.9225,,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,2.9225,,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,3.0025,,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,3.0825,,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,3.0825,,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,3.0825,,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,3.1225,,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,3.1625,,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,3.1625,,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,3.1625,,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,3.2025,,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,3.2425,,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,3.2425,,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,3.2425,,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,3.2825,,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,3.2825,,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,3.3225,,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,3.3225,,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,3.3225,,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,3.3625,,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,3.4025,,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,3.4025,,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,3.4025,,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,3.4425,,,,,,,Lynch-Stieglitz et al. (2011),,
KNR166-2-29JPC,,3.4825,,,,,,,Lynch-Stieglitz et al. (2011),,
