Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
KNR166-2-31JPC,,0.023,0.875,2.14,0.875,2.14,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,0.023,0.94,2.15,0.94,2.15,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,0.023,0.81,2.13,0.81,2.13,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,0.063,1.01,1.99,1.01,1.99,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,0.103,0.75,1.71,0.75,1.71,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,0.103,0.89,1.83,0.89,1.83,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,0.103,0.82,1.77,0.82,1.77,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,0.143,0.905,2.16,0.905,2.16,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,0.143,0.97,2.18,0.97,2.18,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,0.143,0.84,2.14,0.84,2.14,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,0.223,0.85,2.01,0.85,2.01,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,0.383,0.74,2.16,0.74,2.16,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,0.463,1.1,2.05,1.1,2.05,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,0.903,0.44,2.24,0.44,2.24,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
