Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
KNR166-2-73GGC,,0.007,,,mixed planktonics  ,650,35,35,380,100,100,312,148,-37,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,depth scale is off compared with the one in the publication,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2010PA002032,
KNR166-2-73GGC,,0.287,,,mixed planktonics  ,2670,30,30,380,100,100,2285,135,-108,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,depth scale is off compared with the one in the publication,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2010PA002032,
KNR166-2-73GGC,,0.487,,,G. sacculifer  ,3510,30,30,380,100,100,3307,133,100,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,depth scale is off compared with the one in the publication,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2010PA002032,
KNR166-2-73GGC,,0.967,,,G. sacculifer  ,5040,40,40,380,100,100,5327,243,-217,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,depth scale is off compared with the one in the publication,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2010PA002032,
KNR166-2-73GGC,,1.527,,,G. sacculifer  ,6580,40,40,380,100,100,7035,125,140,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,depth scale is off compared with the one in the publication,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2010PA002032,
KNR166-2-73GGC,,1.687,,,G. sacculifer  ,6890,45,45,380,100,100,7364,86,-84,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,depth scale is off compared with the one in the publication,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2010PA002032,
KNR166-2-73GGC,,1.967,,,G. sacculifer  ,9080,50,50,380,100,100,9670,210,-208,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,depth scale is off compared with the one in the publication,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2010PA002032,
KNR166-2-73GGC,,2.127,,,G. sacculifer  ,10550,55,55,380,200,200,11735,275,401,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,depth scale is off compared with the one in the publication,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2010PA002032,
KNR166-2-73GGC,,2.247,,,G. sacculifer  ,12150,70,70,380,200,200,13501,219,205,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,depth scale is off compared with the one in the publication,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2010PA002032,
KNR166-2-73GGC,,2.327,,,G. sacculifer  ,18300,90,90,380,200,200,21373,287,316,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,depth scale is off compared with the one in the publication,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2010PA002032,
KNR166-2-73GGC,,2.407,,,G. sacculifer  ,21100,95,95,380,200,200,24644,316,313,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,depth scale is off compared with the one in the publication,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2010PA002032,
KNR166-2-73GGC,,2.487,,,G. sacculifer  ,22900,130,130,380,200,200,26535,275,358,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,depth scale is off compared with the one in the publication,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2010PA002032,
KNR166-2-73GGC,,2.667,,,G. sacculifer  ,29300,140,140,380,200,200,32776,464,370,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,depth scale is off compared with the one in the publication,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2010PA002032,
KNR166-2-73GGC,,2.807,,,G. sacculifer  ,31000,190,190,380,200,200,34387,233,255,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,depth scale is off compared with the one in the publication,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2010PA002032,
KNR166-2-73GGC,,2.967,,,G. sacculifer  ,36800,350,350,380,200,200,40842,438,421,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,depth scale is off compared with the one in the publication,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2010PA002032,
