Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
KNR166-2-73GGC,,0.006999999999999999,,,mixed planktonics  ,650,35,35,380,100,100,297,170,168,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-73GGC,,0.287,,,mixed planktonics  ,2670,30,30,380,100,100,2275,145,109,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-73GGC,,0.48700000000000004,,,G. sacculifer  ,3510,30,30,380,100,100,3302,144,117,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-73GGC,,0.9670000000000001,,,G. sacculifer  ,5040,40,40,380,100,100,5326,224,213,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-73GGC,,1.527,,,G. sacculifer  ,6580,40,40,380,100,100,7026,137,133,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-73GGC,,1.6869999999999998,,,G. sacculifer  ,6890,45,45,380,100,100,7359,112,87,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-73GGC,,1.9669999999999999,,,G. sacculifer  ,9080,50,50,380,100,100,9673,213,181,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-73GGC,,2.127,,,G. sacculifer  ,10550,55,55,380,200,200,11732,258,256,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-73GGC,,2.247,,,G. sacculifer  ,12150,70,70,380,200,200,13536,216,136,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-73GGC,,2.327,,,G. sacculifer  ,18300,90,90,380,200,200,21416,330,357,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-73GGC,,2.407,,,G. sacculifer  ,21100,95,95,380,200,200,24612,297,322,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-73GGC,,2.487,,,G. sacculifer  ,22900,130,130,380,200,200,26594,366,284,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-73GGC,,2.667,,,G. sacculifer  ,29300,140,140,380,200,200,33007,502,204,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-73GGC,,2.807,,,G. sacculifer  ,31000,190,190,380,200,200,34828,292,277,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
KNR166-2-73GGC,,2.967,,,G. sacculifer  ,36800,350,350,380,200,200,41259,363,328,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
