Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
KNR197-10-17GGC,,0.22,4750.2333984375,,,6003.3828125,4738.3828125,3,"Age model Repschlaeger et al. (2021) 14C AMS, bacon, pdv",,1
KNR197-10-17GGC,,0.23,4854.2578125,,,6016.4990234375,4813.4990234375,3,"Age model Repschlaeger et al. (2021) 14C AMS, bacon, pdv",,1
KNR197-10-17GGC,,0.24,4958.28564453125,,,6084.61474609375,4903.61474609375,3,"Age model Repschlaeger et al. (2021) 14C AMS, bacon, pdv",,1
KNR197-10-17GGC,,0.25,5062.31884765625,,,6184.4619140625,4989.4619140625,3,"Age model Repschlaeger et al. (2021) 14C AMS, bacon, pdv",,1
KNR197-10-17GGC,,0.26,5166.3466796875,,,6276.42822265625,5085.42822265625,3,"Age model Repschlaeger et al. (2021) 14C AMS, bacon, pdv",,1
KNR197-10-17GGC,,0.27,5270.37451171875,,,6403.84619140625,5185.84619140625,3,"Age model Repschlaeger et al. (2021) 14C AMS, bacon, pdv",,1
KNR197-10-17GGC,,0.28,5374.3994140625,,,6501.54833984375,5293.54833984375,3,"Age model Repschlaeger et al. (2021) 14C AMS, bacon, pdv",,1
KNR197-10-17GGC,,0.29,5478.43017578125,,,6582.25048828125,5413.25048828125,3,"Age model Repschlaeger et al. (2021) 14C AMS, bacon, pdv",,1
KNR197-10-17GGC,,0.3,5582.45947265625,,,6673.9521484375,5533.9521484375,3,"Age model Repschlaeger et al. (2021) 14C AMS, bacon, pdv",,1
KNR197-10-17GGC,,0.31,5686.48876953125,,,6779.654296875,5653.654296875,3,"Age model Repschlaeger et al. (2021) 14C AMS, bacon, pdv",,1
KNR197-10-17GGC,,0.32,5790.5166015625,,,6941.3564453125,5762.3564453125,3,"Age model Repschlaeger et al. (2021) 14C AMS, bacon, pdv",,1
KNR197-10-17GGC,,0.33,5907.3271484375,,,7050.10693359375,5877.10693359375,3,"Age model Repschlaeger et al. (2021) 14C AMS, bacon, pdv",,1
KNR197-10-17GGC,,0.34,6026.5185546875,,,7156.5576171875,5994.5576171875,3,"Age model Repschlaeger et al. (2021) 14C AMS, bacon, pdv",,1
KNR197-10-17GGC,,0.35,6145.7109375,,,7297.0078125,6119.0078125,3,"Age model Repschlaeger et al. (2021) 14C AMS, bacon, pdv",,1
KNR197-10-17GGC,,0.36,6264.8984375,,,7435.4580078125,6251.4580078125,3,"Age model Repschlaeger et al. (2021) 14C AMS, bacon, pdv",,1
KNR197-10-17GGC,,0.37,6384.0810546875,,,7606.908203125,6384.908203125,3,"Age model Repschlaeger et al. (2021) 14C AMS, bacon, pdv",,1
KNR197-10-17GGC,,0.38,6506.35009765625,,,7712.04150390625,6505.04150390625,3,"Age model Repschlaeger et al. (2021) 14C AMS, bacon, pdv",,1
KNR197-10-17GGC,,0.39,6629.55419921875,,,7820.66552734375,6637.66552734375,3,"Age model Repschlaeger et al. (2021) 14C AMS, bacon, pdv",,1
KNR197-10-17GGC,,0.4,6752.775390625,,,7953.89501953125,6766.89501953125,3,"Age model Repschlaeger et al. (2021) 14C AMS, bacon, pdv",,1
KNR197-10-17GGC,,0.41,6875.98876953125,,,8180.125,6896.125,3,"Age model Repschlaeger et al. (2021) 14C AMS, bacon, pdv",,1
KNR197-10-17GGC,,0.42,6999.18994140625,,,8442.35546875,7023.35498046875,3,"Age model Repschlaeger et al. (2021) 14C AMS, bacon, pdv",,1
KNR197-10-17GGC,,0.43,7116.4765625,,,8581.15625,7129.15576171875,3,"Age model Repschlaeger et al. (2021) 14C AMS, bacon, pdv",,1
KNR197-10-17GGC,,0.44,7231.06298828125,,,8684.845703125,7237.84521484375,3,"Age model Repschlaeger et al. (2021) 14C AMS, bacon, pdv",,1
KNR197-10-17GGC,,0.45,7345.6396484375,,,8807.53515625,7363.53515625,3,"Age model Repschlaeger et al. (2021) 14C AMS, bacon, pdv",,1
KNR197-10-17GGC,,0.46,7460.22216796875,,,8927.224609375,7475.22509765625,3,"Age model Repschlaeger et al. (2021) 14C AMS, bacon, pdv",,1
KNR197-10-17GGC,,0.47,7574.7919921875,,,9063.9140625,7582.91455078125,3,"Age model Repschlaeger et al. (2021) 14C AMS, bacon, pdv",,1
KNR197-10-17GGC,,0.48,7687.9638671875,,,9151.146484375,7694.14697265625,3,"Age model Repschlaeger et al. (2021) 14C AMS, bacon, pdv",,1
KNR197-10-17GGC,,0.49,7800.2080078125,,,9234.955078125,7798.95458984375,3,"Age model Repschlaeger et al. (2021) 14C AMS, bacon, pdv",,1
KNR197-10-17GGC,,0.5,7912.447265625,,,9324.76171875,7914.76220703125,3,"Age model Repschlaeger et al. (2021) 14C AMS, bacon, pdv",,1
