Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
KNR197-3-46CDH,,0.005,,,,3960.0,20.0,20.0,370.0,50.1,50.1,3895.0,187.0,175.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR197-3-46CDH,,0.005,,,,3370.0,30.0,30.0,389.0,50.0,50.0,3156.0,185.0,189.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR197-3-46CDH,,0.885,,,,4580.0,35.0,35.0,460.0,51.0,51.0,4661.0,169.0,215.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR197-3-46CDH,,1.405,,,,7680.0,50.0,50.0,395.0,51.0,51.0,8099.0,209.0,138.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR197-3-46CDH,,1.665,,,,9260.0,40.0,40.0,399.0,51.0,51.0,9964.0,217.0,259.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR197-3-46CDH,,1.665,,,,6870.0,45.0,45.0,487.0,50.5,50.5,7309.0,116.0,143.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR197-3-46CDH,,2.005,,,,8800.0,30.0,30.0,431.0,51.2,51.2,9380.0,148.0,236.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR197-3-46CDH,,2.005,,,,7710.0,40.0,40.0,437.0,50.9,50.9,8087.999999999999,191.0000000000009,129.9999999999991,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR197-3-46CDH,,2.245,,,,11350.0,55.0,55.0,567.0,22.9,22.9,12747.0,82.0,59.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR197-3-46CDH,,2.335,,,,12600.0,60.0,60.0,441.0,35.9,35.9,14042.0,258.0,236.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR197-3-46CDH,,2.705,,,,13700.0,45.0,45.0,581.0,35.7,35.7,15735.0,203.0,182.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR197-3-46CDH,,2.925,,,,14750.0,60.0,60.0,682.0,49.7,49.7,17150.0,214.0,206.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR197-3-46CDH,,3.245,,,,16250.0,70.0,70.0,777.0,45.400000000000006,45.400000000000006,18783.0,145.0,141.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR197-3-46CDH,,3.685,,,,19400.0,85.0,85.0,757.0,54.4,54.4,22599.0,292.0,225.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
KNR197-3-46CDH,,4.045,,,,21400.0,110.0,110.0,846.0,58.0,58.0,24742.0,360.0,432.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
