Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
KNR197-3-47CDH,,1.375,10787.7041015625,,,11112.400390625,10542.400390625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.385,10829.6806640625,,,11141.1748046875,10562.1748046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.395,10871.65234375,,,11221.94921875,10578.94921875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.405,10913.630859375,,,11297.7236328125,10594.7236328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.415,10955.6162109375,,,11394.498046875,10616.498046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.425,10997.5830078125,,,11500.271484375,10628.271484375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.435,11041.958984375,,,11551.4404296875,10686.4404296875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.445,11086.4130859375,,,11601.888671875,10708.888671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.455,11130.8525390625,,,11677.337890625,10726.337890625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.465,11175.296875,,,11750.787109375,10744.787109375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.475,11219.73828125,,,11851.236328125,10763.236328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.485,11264.5888671875,,,11900.4921875,10796.4921875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.495,11309.4541015625,,,11940.6826171875,10823.6826171875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.5050000000000001,11354.3037109375,,,12006.873046875,10852.873046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.5150000000000001,11399.1708984375,,,12077.0625,10874.0625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.5250000000000001,11444.048828125,,,12155.2529296875,10890.2529296875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.5350000000000001,11487.4267578125,,,12209.4873046875,10927.4873046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.545,11530.708984375,,,12266.83984375,10954.83984375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.555,11573.97265625,,,12310.1923828125,10983.1923828125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.565,11617.2373046875,,,12359.544921875,11012.544921875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.575,11660.4921875,,,12444.8974609375,11043.8974609375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.585,11706.2041015625,,,12488.9189453125,11073.9189453125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.595,11752.1826171875,,,12540.13671875,11106.13671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.605,11798.177734375,,,12591.3544921875,11124.3544921875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.615,11844.16796875,,,12654.572265625,11159.572265625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.625,11890.162109375,,,12743.0693359375,11184.0693359375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.635,11935.0791015625,,,12800.0712890625,11229.0712890625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.645,11979.8359375,,,12818.9638671875,11273.9638671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.655,12024.5869140625,,,12866.85546875,11324.85546875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.665,12069.365234375,,,12909.748046875,11338.748046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.675,12114.119140625,,,12985.6396484375,11360.6396484375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.685,12156.923828125,,,13022.125,11395.125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.695,12199.37109375,,,13044.97265625,11427.97265625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.705,12241.818359375,,,13118.8193359375,11472.8193359375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.715,12284.2724609375,,,13176.6669921875,11509.6669921875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.725,12326.7138671875,,,13217.513671875,11535.513671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.735,12368.744140625,,,13264.990234375,11566.990234375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.745,12410.6806640625,,,13289.3193359375,11614.3193359375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.7550000000000001,12452.6123046875,,,13350.6474609375,11651.6474609375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.7650000000000001,12494.5576171875,,,13411.9765625,11677.9765625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.7750000000000001,12536.4892578125,,,13456.3046875,11710.3046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.7850000000000001,12579.1513671875,,,13525.71484375,11750.71484375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.795,12621.9765625,,,13540.6806640625,11791.6806640625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.805,12664.828125,,,13618.646484375,11820.646484375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.815,12707.6904296875,,,13641.611328125,11844.611328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.825,12750.5087890625,,,13674.5771484375,11891.5771484375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.835,12793.6259765625,,,13739.0712890625,11923.0712890625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.845,12836.8173828125,,,13791.970703125,11986.970703125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.855,12880.00390625,,,13815.5634765625,12014.5634765625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.865,12923.19921875,,,13876.5595703125,12053.5595703125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.875,12966.392578125,,,13923.556640625,12079.556640625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.885,13010.39453125,,,13984.5419921875,12102.5419921875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.895,13054.712890625,,,14041.880859375,12145.880859375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.905,13098.998046875,,,14110.21875,12185.21875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.915,13143.2958984375,,,14167.5576171875,12209.5576171875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-47CDH,,1.925,13187.6123046875,,,14249.896484375,12227.896484375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
