Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
KNR197-3-9GGC,,0.005,3891.81591796875,,,4659.85009765625,3154.85009765625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.015,3941.058837890625,,,4713.0546875,3222.054931640625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.025,3990.2900390625,,,4767.03125,3289.031005859375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.035,4039.52490234375,,,4839.1318359375,3314.131591796875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.045,4088.7646484375,,,4933.232421875,3339.232177734375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.055,4137.99853515625,,,5040.3330078125,3364.332763671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.065,4187.2333984375,,,5128.43310546875,3387.43310546875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.075,4248.064453125,,,5170.5478515625,3449.547607421875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.085,4313.529296875,,,5209.0673828125,3507.067626953125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.095,4378.99609375,,,5284.783203125,3556.783447265625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.105,4444.46435546875,,,5341.1474609375,3623.147216796875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.115,4509.92578125,,,5406.5869140625,3666.586669921875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.125,4575.40087890625,,,5508.0263671875,3708.026123046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.135,4638.615234375,,,5593.3359375,3760.335693359375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.145,4698.828125,,,5651.138671875,3844.138671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.155,4759.0439453125,,,5663.94140625,3927.941650390625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.165,4819.25732421875,,,5732.74462890625,3995.74462890625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.17500000000000002,4879.46826171875,,,5784.94189453125,4046.94189453125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.185,4939.68896484375,,,5841.93017578125,4101.93017578125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.195,5001.04736328125,,,5919.1865234375,4154.1865234375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.20500000000000002,5069.259765625,,,5951.1171875,4234.1171875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.215,5137.47021484375,,,5977.93603515625,4286.93603515625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.225,5205.69091796875,,,6037.75439453125,4341.75439453125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.23500000000000001,5273.900390625,,,6102.5732421875,4387.5732421875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.245,5342.11669921875,,,6173.3916015625,4434.3916015625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.255,5410.3310546875,,,6274.2099609375,4469.2099609375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.265,5466.3037109375,,,6290.900390625,4512.900390625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.275,5520.24365234375,,,6325.04443359375,4589.04443359375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.28500000000000003,5574.181640625,,,6357.1884765625,4635.1884765625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.295,5628.12255859375,,,6386.33251953125,4671.33251953125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.305,5682.0576171875,,,6420.47607421875,4735.47607421875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.315,5735.99951171875,,,6491.6201171875,4764.6201171875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.325,5792.69189453125,,,6530.8896484375,4834.8896484375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.335,5851.439453125,,,6550.50244140625,4908.50244140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.34500000000000003,5910.19677734375,,,6577.11572265625,4995.11572265625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.355,5968.9521484375,,,6586.890625,5075.890625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.365,6027.705078125,,,6616.1123046875,5150.1123046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.375,6086.45849609375,,,6651.333984375,5244.333984375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.385,6143.78564453125,,,6677.998046875,5312.998046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.395,6197.54541015625,,,6697.76806640625,5451.76806640625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.405,6251.31689453125,,,6717.5380859375,5576.5380859375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
KNR197-3-9GGC,,0.41500000000000004,6305.080078125,,,6744.30810546875,5674.30810546875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
