Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
KNR197-3-9GGC,,,,0.005,0.005,,,,,,0.005,,
KNR197-3-9GGC,,,,0.005,0.005,,,,,,0.005,,
KNR197-3-9GGC,,,,0.005,0.005,,,,,,0.005,,
KNR197-3-9GGC,,,,0.005,0.005,,,,,,0.005,,
KNR197-3-9GGC,,,,0.045,0.045,,,,,,0.045,,
KNR197-3-9GGC,,,,0.045,0.045,,,,,,0.045,,
KNR197-3-9GGC,,,,0.045,0.045,,,,,,0.045,,
KNR197-3-9GGC,,,,0.045,0.045,,,,,,0.045,,
KNR197-3-9GGC,,,,0.085,0.085,,,,,,0.085,,
KNR197-3-9GGC,,,,0.085,0.085,,,,,,0.085,,
KNR197-3-9GGC,,,,0.085,0.085,,,,,,0.085,,
KNR197-3-9GGC,,,,0.085,0.085,,,,,,0.085,,
KNR197-3-9GGC,,,,0.125,0.125,,,,,,0.125,,
KNR197-3-9GGC,,,,0.125,0.125,,,,,,0.125,,
KNR197-3-9GGC,,,,0.125,0.125,,,,,,0.125,,
KNR197-3-9GGC,,,,0.125,0.125,,,,,,0.125,,
KNR197-3-9GGC,,,,0.165,0.165,,,,,,0.165,,
KNR197-3-9GGC,,,,0.165,0.165,,,,,,0.165,,
KNR197-3-9GGC,,,,0.165,0.165,,,,,,0.165,,
KNR197-3-9GGC,,,,0.165,0.165,,,,,,0.165,,
KNR197-3-9GGC,,,,0.205,0.205,,,,,,0.205,,
KNR197-3-9GGC,,,,0.205,0.205,,,,,,0.205,,
KNR197-3-9GGC,,,,0.205,0.205,,,,,,0.205,,
KNR197-3-9GGC,,,,0.205,0.205,,,,,,0.205,,
KNR197-3-9GGC,,,,0.245,0.245,,,,,,0.245,,
KNR197-3-9GGC,,,,0.245,0.245,,,,,,0.245,,
KNR197-3-9GGC,,,,0.245,0.245,,,,,,0.245,,
KNR197-3-9GGC,,,,0.245,0.245,,,,,,0.245,,
KNR197-3-9GGC,,,,0.285,0.285,,,,,,0.285,,
KNR197-3-9GGC,,,,0.285,0.285,,,,,,0.285,,
KNR197-3-9GGC,,,,0.285,0.285,,,,,,0.285,,
KNR197-3-9GGC,,,,0.285,0.285,,,,,,0.285,,
KNR197-3-9GGC,,,,0.325,0.325,,,,,,0.325,,
KNR197-3-9GGC,,,,0.325,0.325,,,,,,0.325,,
KNR197-3-9GGC,,,,0.325,0.325,,,,,,0.325,,
KNR197-3-9GGC,,,,0.365,0.365,,,,,,0.365,,
KNR197-3-9GGC,,,,0.365,0.365,,,,,,0.365,,
KNR197-3-9GGC,,,,0.365,0.365,,,,,,0.365,,
KNR197-3-9GGC,,,,0.365,0.365,,,,,,0.365,,
KNR197-3-9GGC,,,,0.405,0.405,,,,,,0.405,,
KNR197-3-9GGC,,,,0.405,0.405,,,,,,0.405,,
KNR197-3-9GGC,,,,0.405,0.405,,,,,,0.405,,
KNR197-3-9GGC,,,,0.405,0.405,,,,,,0.405,,
KNR197-3-9GGC,,,,0.445,0.445,,,,,,0.445,,
KNR197-3-9GGC,,,,0.445,0.445,,,,,,0.445,,
KNR197-3-9GGC,,,,0.445,0.445,,,,,,0.445,,
KNR197-3-9GGC,,,,0.445,0.445,,,,,,0.445,,
KNR197-3-9GGC,,,,0.485,0.485,,,,,,0.485,,
KNR197-3-9GGC,,,,0.485,0.485,,,,,,0.485,,
KNR197-3-9GGC,,,,0.485,0.485,,,,,,0.485,,
KNR197-3-9GGC,,,,0.485,0.485,,,,,,0.485,,
KNR197-3-9GGC,,,,0.525,0.525,,,,,,0.525,,
KNR197-3-9GGC,,,,0.525,0.525,,,,,,0.525,,
KNR197-3-9GGC,,,,0.525,0.525,,,,,,0.525,,
KNR197-3-9GGC,,,,0.525,0.525,,,,,,0.525,,
KNR197-3-9GGC,,,,0.565,0.565,,,,,,0.565,,
KNR197-3-9GGC,,,,0.565,0.565,,,,,,0.565,,
KNR197-3-9GGC,,,,0.565,0.565,,,,,,0.565,,
KNR197-3-9GGC,,,,0.565,0.565,,,,,,0.565,,
KNR197-3-9GGC,,,,0.605,0.605,,,,,,0.605,,
KNR197-3-9GGC,,,,0.605,0.605,,,,,,0.605,,
KNR197-3-9GGC,,,,0.605,0.605,,,,,,0.605,,
KNR197-3-9GGC,,,,0.605,0.605,,,,,,0.605,,
KNR197-3-9GGC,,,,0.645,0.645,,,,,,0.645,,
KNR197-3-9GGC,,,,0.645,0.645,,,,,,0.645,,
KNR197-3-9GGC,,,,0.645,0.645,,,,,,0.645,,
KNR197-3-9GGC,,,,0.645,0.645,,,,,,0.645,,
KNR197-3-9GGC,,,,0.685,0.685,,,,,,0.685,,
KNR197-3-9GGC,,,,0.685,0.685,,,,,,0.685,,
KNR197-3-9GGC,,,,0.685,0.685,,,,,,0.685,,
KNR197-3-9GGC,,,,0.685,0.685,,,,,,0.685,,
KNR197-3-9GGC,,,,0.725,0.725,,,,,,0.725,,
KNR197-3-9GGC,,,,0.725,0.725,,,,,,0.725,,
KNR197-3-9GGC,,,,0.725,0.725,,,,,,0.725,,
KNR197-3-9GGC,,,,0.725,0.725,,,,,,0.725,,
KNR197-3-9GGC,,,,0.765,0.765,,,,,,0.765,,
KNR197-3-9GGC,,,,0.765,0.765,,,,,,0.765,,
KNR197-3-9GGC,,,,0.765,0.765,,,,,,0.765,,
KNR197-3-9GGC,,,,0.765,0.765,,,,,,0.765,,
KNR197-3-9GGC,,,,0.805,0.805,,,,,,0.805,,
KNR197-3-9GGC,,,,0.805,0.805,,,,,,0.805,,
KNR197-3-9GGC,,,,0.805,0.805,,,,,,0.805,,
KNR197-3-9GGC,,,,0.805,0.805,,,,,,0.805,,
KNR197-3-9GGC,,,,0.845,0.845,,,,,,0.845,,
KNR197-3-9GGC,,,,0.845,0.845,,,,,,0.845,,
KNR197-3-9GGC,,,,0.845,0.845,,,,,,0.845,,
KNR197-3-9GGC,,,,0.845,0.845,,,,,,0.845,,
KNR197-3-9GGC,,,,0.885,0.885,,,,,,0.885,,
KNR197-3-9GGC,,,,0.885,0.885,,,,,,0.885,,
KNR197-3-9GGC,,,,0.885,0.885,,,,,,0.885,,
KNR197-3-9GGC,,,,0.885,0.885,,,,,,0.885,,
KNR197-3-9GGC,,,,0.925,0.925,,,,,,0.925,,
KNR197-3-9GGC,,,,0.925,0.925,,,,,,0.925,,
KNR197-3-9GGC,,,,0.925,0.925,,,,,,0.925,,
KNR197-3-9GGC,,,,0.925,0.925,,,,,,0.925,,
KNR197-3-9GGC,,,,0.965,0.965,,,,,,0.965,,
KNR197-3-9GGC,,,,0.965,0.965,,,,,,0.965,,
KNR197-3-9GGC,,,,0.965,0.965,,,,,,0.965,,
KNR197-3-9GGC,,,,0.965,0.965,,,,,,0.965,,
KNR197-3-9GGC,,,,1.005,1.005,,,,,,1.005,,
KNR197-3-9GGC,,,,1.005,1.005,,,,,,1.005,,
KNR197-3-9GGC,,,,1.005,1.005,,,,,,1.005,,
KNR197-3-9GGC,,,,1.005,1.005,,,,,,1.005,,
KNR197-3-9GGC,,,,1.045,1.045,,,,,,1.045,,
KNR197-3-9GGC,,,,1.045,1.045,,,,,,1.045,,
KNR197-3-9GGC,,,,1.045,1.045,,,,,,1.045,,
KNR197-3-9GGC,,,,1.045,1.045,,,,,,1.045,,
KNR197-3-9GGC,,,,1.085,1.085,,,,,,1.085,,
KNR197-3-9GGC,,,,1.085,1.085,,,,,,1.085,,
KNR197-3-9GGC,,,,1.085,1.085,,,,,,1.085,,
KNR197-3-9GGC,,,,1.085,1.085,,,,,,1.085,,
KNR197-3-9GGC,,,,1.125,1.125,,,,,,1.125,,
KNR197-3-9GGC,,,,1.125,1.125,,,,,,1.125,,
KNR197-3-9GGC,,,,1.125,1.125,,,,,,1.125,,
KNR197-3-9GGC,,,,1.125,1.125,,,,,,1.125,,
KNR197-3-9GGC,,,,1.165,1.165,,,,,,1.165,,
KNR197-3-9GGC,,,,1.165,1.165,,,,,,1.165,,
KNR197-3-9GGC,,,,1.165,1.165,,,,,,1.165,,
KNR197-3-9GGC,,,,1.165,1.165,,,,,,1.165,,
KNR197-3-9GGC,,,,1.165,1.165,,,,,,1.165,,
KNR197-3-9GGC,,,,1.205,1.205,,,,,,1.205,,
KNR197-3-9GGC,,,,1.205,1.205,,,,,,1.205,,
KNR197-3-9GGC,,,,1.205,1.205,,,,,,1.205,,
KNR197-3-9GGC,,,,1.205,1.205,,,,,,1.205,,
KNR197-3-9GGC,,,,1.245,1.245,,,,,,1.245,,
KNR197-3-9GGC,,,,1.245,1.245,,,,,,1.245,,
KNR197-3-9GGC,,,,1.245,1.245,,,,,,1.245,,
KNR197-3-9GGC,,,,1.245,1.245,,,,,,1.245,,
KNR197-3-9GGC,,,,1.285,1.285,,,,,,1.285,,
KNR197-3-9GGC,,,,1.285,1.285,,,,,,1.285,,
KNR197-3-9GGC,,,,1.285,1.285,,,,,,1.285,,
KNR197-3-9GGC,,,,1.285,1.285,,,,,,1.285,,
KNR197-3-9GGC,,,,1.325,1.325,,,,,,1.325,,
KNR197-3-9GGC,,,,1.325,1.325,,,,,,1.325,,
KNR197-3-9GGC,,,,1.325,1.325,,,,,,1.325,,
KNR197-3-9GGC,,,,1.325,1.325,,,,,,1.325,,
KNR197-3-9GGC,,,,1.365,1.365,,,,,,1.365,,
KNR197-3-9GGC,,,,1.365,1.365,,,,,,1.365,,
KNR197-3-9GGC,,,,1.365,1.365,,,,,,1.365,,
KNR197-3-9GGC,,,,1.365,1.365,,,,,,1.365,,
KNR197-3-9GGC,,,,1.405,1.405,,,,,,1.405,,
KNR197-3-9GGC,,,,1.405,1.405,,,,,,1.405,,
KNR197-3-9GGC,,,,1.405,1.405,,,,,,1.405,,
KNR197-3-9GGC,,,,1.405,1.405,,,,,,1.405,,
KNR197-3-9GGC,,,,1.445,1.445,,,,,,1.445,,
KNR197-3-9GGC,,,,1.445,1.445,,,,,,1.445,,
KNR197-3-9GGC,,,,1.445,1.445,,,,,,1.445,,
KNR197-3-9GGC,,,,1.445,1.445,,,,,,1.445,,
KNR197-3-9GGC,,,,1.485,1.485,,,,,,1.485,,
KNR197-3-9GGC,,,,1.485,1.485,,,,,,1.485,,
KNR197-3-9GGC,,,,1.485,1.485,,,,,,1.485,,
KNR197-3-9GGC,,,,1.485,1.485,,,,,,1.485,,
KNR197-3-9GGC,,,,1.525,1.525,,,,,,1.525,,
KNR197-3-9GGC,,,,1.525,1.525,,,,,,1.525,,
KNR197-3-9GGC,,,,1.525,1.525,,,,,,1.525,,
KNR197-3-9GGC,,,,1.525,1.525,,,,,,1.525,,
KNR197-3-9GGC,,,,1.565,1.565,,,,,,1.565,,
KNR197-3-9GGC,,,,1.565,1.565,,,,,,1.565,,
KNR197-3-9GGC,,,,1.565,1.565,,,,,,1.565,,
KNR197-3-9GGC,,,,1.605,1.605,,,,,,1.605,,
KNR197-3-9GGC,,,,1.605,1.605,,,,,,1.605,,
KNR197-3-9GGC,,,,1.605,1.605,,,,,,1.605,,
KNR197-3-9GGC,,,,1.605,1.605,,,,,,1.605,,
KNR197-3-9GGC,,,,1.645,1.645,,,,,,1.645,,
KNR197-3-9GGC,,,,1.645,1.645,,,,,,1.645,,
KNR197-3-9GGC,,,,1.645,1.645,,,,,,1.645,,
KNR197-3-9GGC,,,,1.645,1.645,,,,,,1.645,,
KNR197-3-9GGC,,,,1.685,1.685,,,,,,1.685,,
KNR197-3-9GGC,,,,1.685,1.685,,,,,,1.685,,
KNR197-3-9GGC,,,,1.685,1.685,,,,,,1.685,,
KNR197-3-9GGC,,,,1.685,1.685,,,,,,1.685,,
KNR197-3-9GGC,,,,1.725,1.725,,,,,,1.725,,
KNR197-3-9GGC,,,,1.725,1.725,,,,,,1.725,,
KNR197-3-9GGC,,,,1.725,1.725,,,,,,1.725,,
KNR197-3-9GGC,,,,1.725,1.725,,,,,,1.725,,
KNR197-3-9GGC,,,,1.765,1.765,,,,,,1.765,,
KNR197-3-9GGC,,,,1.765,1.765,,,,,,1.765,,
KNR197-3-9GGC,,,,1.765,1.765,,,,,,1.765,,
KNR197-3-9GGC,,,,1.765,1.765,,,,,,1.765,,
KNR197-3-9GGC,,,,1.805,1.805,,,,,,1.805,,
KNR197-3-9GGC,,,,1.805,1.805,,,,,,1.805,,
KNR197-3-9GGC,,,,1.805,1.805,,,,,,1.805,,
KNR197-3-9GGC,,,,1.805,1.805,,,,,,1.805,,
KNR197-3-9GGC,,,,1.845,1.845,,,,,,1.845,,
KNR197-3-9GGC,,,,1.845,1.845,,,,,,1.845,,
KNR197-3-9GGC,,,,1.845,1.845,,,,,,1.845,,
KNR197-3-9GGC,,,,1.845,1.845,,,,,,1.845,,
KNR197-3-9GGC,,,,1.885,1.885,,,,,,1.885,,
KNR197-3-9GGC,,,,1.885,1.885,,,,,,1.885,,
KNR197-3-9GGC,,,,1.885,1.885,,,,,,1.885,,
KNR197-3-9GGC,,,,1.885,1.885,,,,,,1.885,,
KNR197-3-9GGC,,,,1.925,1.925,,,,,,1.925,,
KNR197-3-9GGC,,,,1.925,1.925,,,,,,1.925,,
KNR197-3-9GGC,,,,1.925,1.925,,,,,,1.925,,
KNR197-3-9GGC,,,,1.925,1.925,,,,,,1.925,,
KNR197-3-9GGC,,,,1.965,1.965,,,,,,1.965,,
KNR197-3-9GGC,,,,1.965,1.965,,,,,,1.965,,
KNR197-3-9GGC,,,,1.965,1.965,,,,,,1.965,,
KNR197-3-9GGC,,,,1.965,1.965,,,,,,1.965,,
KNR197-3-9GGC,,,,2.005,2.005,,,,,,2.005,,
KNR197-3-9GGC,,,,2.005,2.005,,,,,,2.005,,
KNR197-3-9GGC,,,,2.005,2.005,,,,,,2.005,,
KNR197-3-9GGC,,,,2.005,2.005,,,,,,2.005,,
KNR197-3-9GGC,,,,2.045,2.045,,,,,,2.045,,
KNR197-3-9GGC,,,,2.045,2.045,,,,,,2.045,,
KNR197-3-9GGC,,,,2.045,2.045,,,,,,2.045,,
KNR197-3-9GGC,,,,2.045,2.045,,,,,,2.045,,
KNR197-3-9GGC,,,,2.085,2.085,,,,,,2.085,,
KNR197-3-9GGC,,,,2.085,2.085,,,,,,2.085,,
KNR197-3-9GGC,,,,2.085,2.085,,,,,,2.085,,
KNR197-3-9GGC,,,,2.085,2.085,,,,,,2.085,,
KNR197-3-9GGC,,,,2.125,2.125,,,,,,2.125,,
KNR197-3-9GGC,,,,2.125,2.125,,,,,,2.125,,
KNR197-3-9GGC,,,,2.125,2.125,,,,,,2.125,,
KNR197-3-9GGC,,,,2.125,2.125,,,,,,2.125,,
KNR197-3-9GGC,,,,2.125,2.125,,,,,,2.125,,
KNR197-3-9GGC,,,,2.165,2.165,,,,,,2.165,,
KNR197-3-9GGC,,,,2.165,2.165,,,,,,2.165,,
KNR197-3-9GGC,,,,2.165,2.165,,,,,,2.165,,
KNR197-3-9GGC,,,,2.165,2.165,,,,,,2.165,,
KNR197-3-9GGC,,,,2.205,2.205,,,,,,2.205,,
KNR197-3-9GGC,,,,2.205,2.205,,,,,,2.205,,
KNR197-3-9GGC,,,,2.205,2.205,,,,,,2.205,,
KNR197-3-9GGC,,,,2.205,2.205,,,,,,2.205,,
KNR197-3-9GGC,,,,2.205,2.205,,,,,,2.205,,
KNR197-3-9GGC,,,,2.205,2.205,,,,,,2.205,,
KNR197-3-9GGC,,,,2.245,2.245,,,,,,2.245,,
