Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
KNR207-2_GGC3,,0.02,0.873,2.486,0.873,2.486,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
KNR207-2_GGC3,,0.035,1.176,2.725,1.176,2.725,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
KNR207-2_GGC3,,0.045,1.143,2.642,1.143,2.642,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
KNR207-2_GGC3,,0.055,1.111,2.588,1.111,2.588,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
KNR207-2_GGC3,,0.07,0.998,2.593,0.998,2.593,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
KNR207-2_GGC3,,0.07,0.896,2.634,0.896,2.634,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
KNR207-2_GGC3,,0.07,0.487,2.66,0.487,2.66,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
KNR207-2_GGC3,,0.07,1.203,2.65,1.203,2.65,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
KNR207-2_GGC3,,0.11,1.065,2.595,1.065,2.595,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
KNR207-2_GGC3,,0.13,0.585,2.533,0.585,2.533,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
