Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
KNR207-2_GGC6,,0.11,5331.3046875,,,9845.00390625,5242.00390625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.12,5798.8959960938,,,9950.013671875,5690.0141601563,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.13,6266.48828125,,,10060.0234375,6143.0239257813,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.14,6734.0654296875,,,10179.0341796875,6540.0341796875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.15,7201.6596679688,,,10281.0439453125,6985.0439453125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.16,7669.2509765625,,,10441.845703125,7439.8452148438,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.17,8136.8408203125,,,10665.16796875,7915.16796875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.18,8604.419921875,,,10958.283203125,8517.283203125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.19,9072.0146484375,,,11288.447265625,9130.447265625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.2,9539.6025390625,,,11537.4111328125,9647.4111328125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.21,10007.1845703125,,,12015.2900390625,10145.2900390625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.22,10583.0478515625,,,12167.90625,10685.90625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.23,11171.6455078125,,,12256.806640625,11235.806640625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.24,11760.240234375,,,12372.8740234375,11782.8740234375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.25,12348.845703125,,,12599.4990234375,12357.4990234375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.26,12937.4365234375,,,13661.1240234375,12899.1240234375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.27,13370.9130859375,,,14454.287109375,13307.287109375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.28,13775.3037109375,,,15440.80078125,13681.80078125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.29,14179.7275390625,,,16345.5888671875,14045.5888671875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.3,14584.1201171875,,,17321.515625,14387.5166015625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.31,14988.51171875,,,18259.4453125,14733.4443359375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.32,15354.32421875,,,18585.109375,15115.1103515625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.33,15709.82421875,,,18837.7265625,15531.7255859375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.34,16065.326171875,,,19123.794921875,15944.794921875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.35,16420.84375,,,19362.865234375,16334.865234375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.36,16776.328125,,,19743.93359375,16722.93359375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.37,17211.822265625,,,19996.4296875,17170.4296875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.38,17675.89453125,,,20140.23046875,17650.23046875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.39,18139.951171875,,,20351.3046875,18195.3046875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.4,18604.01953125,,,20595.375,18712.375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.41,19068.08984375,,,20969.447265625,19194.447265625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.42,19505.3203125,,,21220.69921875,19604.69921875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.43,19930.1171875,,,21313.39453125,19995.39453125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.44,20354.931640625,,,21393.3359375,20395.3359375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.45,20779.765625,,,21494.275390625,20804.275390625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.46,21204.59375,,,21650.87109375,21228.87109375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.47,21664.9921875,,,21923.58984375,21673.58984375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
KNR207-2_GGC6,,0.48,22146.130859375,,,22905.814453125,22088.814453125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
