Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
KS15-4_St3PC2,,0.01600000023841858,2027.6905517578125,,,2285.469970703125,1829.469970703125,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.025999999046325686,2163.738525390625,,,2429.034912109375,1962.034912109375,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.035999999046325684,2299.790283203125,,,2581.685791015625,2017.685791015625,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.045999999046325686,2435.83544921875,,,2800.15869140625,2050.15869140625,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.05599999904632569,2571.8896484375,,,3046.4384765625,2076.4384765625,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.06599999904632568,2707.93603515625,,,3302.123291015625,2102.123291015625,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.07599999904632569,2877.213134765625,,,3435.7451171875,2195.7451171875,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.08600000381469727,3047.23095703125,,,3633.00146484375,2273.00146484375,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.09600000381469727,3217.245361328125,,,3822.50341796875,2351.50341796875,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.10600000381469726,3387.261474609375,,,4017.119140625,2417.119140625,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.11600000381469727,3557.281005859375,,,4233.955078125,2477.955322265625,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.12600000381469728,3677.851806640625,,,4279.37939453125,2791.37939453125,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.13600000381469726,3796.16162109375,,,4313.5322265625,3108.532470703125,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.14600000381469727,3914.4736328125,,,4364.880859375,3418.880859375,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.15600000381469728,4032.788330078125,,,4421.00537109375,3649.00537109375,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.16600000381469726,4151.10302734375,,,4523.71533203125,3792.71533203125,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.17600000381469727,4360.22802734375,,,4575.333984375,4164.333984375,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.18600000381469728,4575.7265625,,,4773.30615234375,4366.30615234375,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.19600000381469726,4791.2197265625,,,5132.70068359375,4411.70068359375,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.20600000381469727,5006.71630859375,,,5539.7001953125,4449.7001953125,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.21600000381469728,5222.21142578125,,,5945.69970703125,4476.69970703125,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.22600000381469726,5608.57080078125,,,6213.953125,4983.953125,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.23600000381469727,6011.27783203125,,,6464.994140625,5537.994140625,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.24600000381469728,6413.9873046875,,,6722.03515625,6088.03515625,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.2560000038146973,6816.703125,,,6986.076171875,6626.076171875,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.2660000038146973,7219.412109375,,,7296.203125,7139.203125,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.27600000381469725,7538.17529296875,,,7639.79150390625,7412.79150390625,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.28600000381469726,7846.64599609375,,,8017.9775390625,7637.9775390625,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.29600000381469727,8155.123046875,,,8405.19921875,7847.19921875,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.3060000038146973,8463.5966796875,,,8793.421875,8053.42138671875,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.3160000038146973,8772.0732421875,,,9182.525390625,8260.525390625,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.32599998474121095,8856.5439453125,,,9247.5205078125,8357.5205078125,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.33599998474121096,8907.216796875,,,9267.6220703125,8405.6220703125,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.34599998474121096,8957.89453125,,,9284.7236328125,8440.7236328125,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.3559999847412109,9008.578125,,,9314.8251953125,8474.8251953125,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.3659999847412109,9059.2607421875,,,9365.9267578125,8505.9267578125,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.37599998474121094,9113.0751953125,,,9388.2919921875,8657.2919921875,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.38599998474121094,9167.458984375,,,9400.2841796875,8817.2841796875,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.39599998474121095,9221.8515625,,,9415.27734375,8965.27734375,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.40599998474121096,9276.2451171875,,,9439.501953125,9056.501953125,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.41599998474121097,9330.625,,,9492.8974609375,9100.8974609375,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.4259999847412109,10255.6650390625,,,10438.3125,10076.3125,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.43599998474121093,11365.0322265625,,,11648.72265625,11145.72265625,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.44599998474121094,12474.380859375,,,12886.857421875,12175.857421875,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
KS15-4_St3PC2,,0.45599998474121095,13583.736328125,,,14118.9931640625,13192.9931640625,3,Age model calculated by Stefan Mulitza,"Calculated with BACON, visual aligment to L&S and IntCal20 calibration",1
