Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
KS15-4_St3PC2,2,,1,0.016,0.016,,,,,,0.016,,
KS15-4_St3PC2,5,,1,0.049,0.049,,,,,,0.049,,
KS15-4_St3PC2,8,,1,0.082,0.082,,,,,,0.082,,
KS15-4_St3PC2,11,,1,0.115,0.115,,,,,,0.115,,
KS15-4_St3PC2,14,,1,0.147,0.147,,,,,,0.147,,
KS15-4_St3PC2,17,,1,0.18,0.18,,,,,,0.18,,
KS15-4_St3PC2,26,,1,0.278,0.278,,,,,,0.278,,
KS15-4_St3PC2,29,,1,0.311,0.311,,,,,,0.311,,
KS15-4_St3PC2,32,,1,0.344,0.344,,,,,,0.344,,
KS15-4_St3PC2,35,,1,0.376,0.376,,,,,,0.376,,
KS15-4_St3PC2,38,,1,0.409,0.409,,,,,,0.409,,
KS15-4_St3PC2,41,,1,0.442,0.442,,,,,,0.442,,
KS15-4_St3PC2,44,,1,0.475,0.475,,,,,,0.475,,
KS15-4_St3PC2,47,,2,0.509,0.509,,,,,,0.509,,
KS15-4_St3PC2,50,,2,0.543,0.543,,,,,,0.543,,
KS15-4_St3PC2,56,,2,0.611,0.611,,,,,,0.611,,
KS15-4_St3PC2,65,,2,0.714,0.714,,,,,,0.714,,
KS15-4_St3PC2,68,,2,0.748,0.748,,,,,,0.748,,
KS15-4_St3PC2,71,,2,0.783,0.783,,,,,,0.783,,
KS15-4_St3PC2,74,,2,0.817,0.817,,,,,,0.817,,
KS15-4_St3PC2,77,,2,0.851,0.851,,,,,,0.851,,
KS15-4_St3PC2,83,,2,0.92,0.92,,,,,,0.92,,
KS15-4_St3PC2,89,,2,0.988,0.988,,,,,,0.988,,
KS15-4_St3PC2,101,,2,1.125,1.125,,,,,,1.125,,
KS15-4_St3PC2,110,,2,1.227,1.227,,,,,,1.227,,
KS15-4_St3PC2,131,,2,1.463,1.463,,,,,,1.463,,
KS15-4_St3PC2,140,,3,1.564,1.564,,,,,,1.564,,
KS15-4_St3PC2,146,,3,1.631,1.631,,,,,,1.631,,
KS15-4_St3PC2,149,,3,1.665,1.665,,,,,,1.665,,
KS15-4_St3PC2,155,,3,1.732,1.732,,,,,,1.732,,
KS15-4_St3PC2,161,,3,1.799,1.799,,,,,,1.799,,
KS15-4_St3PC2,170,,3,1.9,1.9,,,,,,1.9,,
KS15-4_St3PC2,173,,3,1.933,1.933,,,,,,1.933,,
KS15-4_St3PC2,176,,3,1.967,1.967,,,,,,1.967,,
KS15-4_St3PC2,179,,3,2.001,2.001,,,,,,2.001,,
KS15-4_St3PC2,182,,3,2.034,2.034,,,,,,2.034,,
KS15-4_St3PC2,185,,3,2.068,2.068,,,,,,2.068,,
KS15-4_St3PC2,191,,3,2.135,2.135,,,,,,2.135,,
KS15-4_St3PC2,197,,3,2.202,2.202,,,,,,2.202,,
KS15-4_St3PC2,203,,3,2.269,2.269,,,,,,2.269,,
KS15-4_St3PC2,206,,3,2.303,2.303,,,,,,2.303,,
KS15-4_St3PC2,209,,3,2.336,2.336,,,,,,2.336,,
KS15-4_St3PC2,212,,3,2.37,2.37,,,,,,2.37,,
KS15-4_St3PC2,215,,3,2.404,2.404,,,,,,2.404,,
KS15-4_St3PC2,218,,3,2.437,2.437,,,,,,2.437,,
KS15-4_St3PC2,221,,3,2.471,2.471,,,,,,2.471,,
KS15-4_St3PC2,227,,4,2.539,2.539,,,,,,2.539,,
KS15-4_St3PC2,230,,4,2.573,2.573,,,,,,2.573,,
KS15-4_St3PC2,233,,4,2.607,2.607,,,,,,2.607,,
KS15-4_St3PC2,236,,4,2.641,2.641,,,,,,2.641,,
KS15-4_St3PC2,239,,4,2.676,2.676,,,,,,2.676,,
KS15-4_St3PC2,242,,4,2.71,2.71,,,,,,2.71,,
KS15-4_St3PC2,245,,4,2.744,2.744,,,,,,2.744,,
KS15-4_St3PC2,251,,4,2.813,2.813,,,,,,2.813,,
KS15-4_St3PC2,254,,4,2.847,2.847,,,,,,2.847,,
KS15-4_St3PC2,260,,4,2.916,2.916,,,,,,2.916,,
KS15-4_St3PC2,263,,4,2.95,2.95,,,,,,2.95,,
KS15-4_St3PC2,272,,4,3.053,3.053,,,,,,3.053,,
KS15-4_St3PC2,281,,4,3.156,3.156,,,,,,3.156,,
KS15-4_St3PC2,284,,4,3.19,3.19,,,,,,3.19,,
KS15-4_St3PC2,302,,4,3.396,3.396,,,,,,3.396,,
KS15-4_St3PC2,305,,4,3.43,3.43,,,,,,3.43,,
KS15-4_St3PC2,308,,4,3.464,3.464,,,,,,3.464,,
KS15-4_St3PC2,311,,5,3.498,3.498,,,,,,3.498,,
KS15-4_St3PC2,314,,5,3.533,3.533,,,,,,3.533,,
KS15-4_St3PC2,317,,5,3.567,3.567,,,,,,3.567,,
KS15-4_St3PC2,320,,5,3.601,3.601,,,,,,3.601,,
KS15-4_St3PC2,323,,5,3.635,3.635,,,,,,3.635,,
KS15-4_St3PC2,326,,5,3.669,3.669,,,,,,3.669,,
KS15-4_St3PC2,329,,5,3.703,3.703,,,,,,3.703,,
KS15-4_St3PC2,338,,5,3.805,3.805,,,,,,3.805,,
