Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
MD01-2378,,0.005,1020.8602294921875,,,1213.533935546875,814.5339965820312,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.015,1062.5205078125,,,1269.5184326171875,874.5184326171875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.025,1104.1800537109375,,,1282.354736328125,918.3547973632812,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.035,1145.8414306640625,,,1322.191162109375,957.1912231445312,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.045,1187.5009765625,,,1360.200439453125,999.2003784179688,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.055,1229.161376953125,,,1424.166015625,1033.166015625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.065,1270.8232421875,,,1462.131591796875,1078.131591796875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.075,1312.481689453125,,,1503.09716796875,1114.09716796875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.085,1354.1412353515625,,,1556.062744140625,1135.062744140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.095,1395.8026123046875,,,1625.0283203125,1154.0283203125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.105,1437.464599609375,,,1665.993896484375,1172.993896484375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.115,1473.1842041015625,,,1690.3648681640625,1261.3648681640625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.125,1508.803466796875,,,1722.5322265625,1294.5322265625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.135,1544.4200439453125,,,1743.633544921875,1337.633544921875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.145,1580.039794921875,,,1771.843994140625,1394.843994140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.155,1615.657958984375,,,1812.0543212890625,1409.0543212890625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.165,1651.2769775390625,,,1852.2647705078125,1411.2647705078125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.17500000000000002,1686.89501953125,,,1941.47509765625,1425.47509765625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.185,1722.5113525390625,,,2024.685546875,1442.685546875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.195,1758.129150390625,,,2102.814453125,1458.8145751953125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.20500000000000002,1793.7509765625,,,2190.98876953125,1472.9888916015625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.215,1846.3587646484375,,,2221.596435546875,1545.596435546875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.225,1899.5654296875,,,2234.8984375,1634.8985595703125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.23500000000000001,1952.7716064453125,,,2260.20068359375,1718.2008056640625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.245,2005.97802734375,,,2282.5029296875,1781.5030517578125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.255,2059.185302734375,,,2317.80517578125,1838.80517578125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.265,2112.39453125,,,2363.107421875,1895.107421875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.275,2165.6015625,,,2422.401611328125,1944.401611328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.28500000000000003,2218.803955078125,,,2476.171630859375,1974.171630859375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.295,2272.0126953125,,,2573.40478515625,2010.40478515625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.305,2325.220703125,,,2654.4912109375,2029.4913330078125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.315,2369.546630859375,,,2674.607421875,2106.607421875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.325,2413.396484375,,,2675.20654296875,2172.20654296875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.335,2457.246826171875,,,2704.412353515625,2223.412353515625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.34500000000000003,2501.099365234375,,,2732.080810546875,2263.080810546875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.355,2544.948974609375,,,2753.556884765625,2329.556884765625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.365,2588.800537109375,,,2831.032958984375,2363.032958984375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.375,2632.65234375,,,2884.509033203125,2384.509033203125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.385,2676.501220703125,,,2972.9853515625,2397.9853515625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.395,2720.352783203125,,,3042.46142578125,2413.46142578125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.405,2764.202392578125,,,3123.9375,2426.9375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.41500000000000004,2799.635498046875,,,3138.93408203125,2495.93408203125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.425,2834.455322265625,,,3162.11376953125,2567.11376953125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.435,2869.27587890625,,,3152.29345703125,2610.29345703125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD01-2378,,0.445,2904.095703125,,,3180.47314453125,2668.47314453125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
