Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control,,
MD01-2378,,0.06,0.59,2.32,0.59,2.32,3-8,250,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Holbourn, A., Kuhnt, W., Kawamura, H., Jian, Z., Grootes, P., Erlenkeuser, H. and Xu, J.: Orbitally paced paleoproductivity variations in the Timor Sea and Indonesian Throughflow variability during the last 460 kyr, Paleoceanography, 20(3), n/a–n/a, doi:10.1029/2004pa001094, 2005. AND Xu, J., Kuhnt, W., Holbourn, A., Andersen, N. and Bartoli, G.: Changes in the vertical profile of the Indonesian Throughflow during Termination II: Evidence from the Timor Sea, Paleoceanography, 21(4), doi:10.1029/2006pa001278, 2006. AND Dürkop, A., Holbourn, A., Kuhnt, W., Zuraida, R., Andersen, N. and Grootes, P. M.: Centennial-scale climate variability in the Timor Sea during Marine Isotope Stage 3, Marine Micropaleontology, 66(3-4), 208–221, doi:10.1016/j.marmicro.2007.10.002, 2008.",,https://doi.pangaea.de/10.1594/PANGAEA.263755, https://doi.pangaea.de/10.1594/PANGAEA.472294, https://doi.pangaea.de/10.1594/PANGAEA.666556,1
MD01-2378,,0.26,0.58,2.37,0.58,2.37,3-8,250,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Holbourn, A., Kuhnt, W., Kawamura, H., Jian, Z., Grootes, P., Erlenkeuser, H. and Xu, J.: Orbitally paced paleoproductivity variations in the Timor Sea and Indonesian Throughflow variability during the last 460 kyr, Paleoceanography, 20(3), n/a–n/a, doi:10.1029/2004pa001094, 2005. AND Xu, J., Kuhnt, W., Holbourn, A., Andersen, N. and Bartoli, G.: Changes in the vertical profile of the Indonesian Throughflow during Termination II: Evidence from the Timor Sea, Paleoceanography, 21(4), doi:10.1029/2006pa001278, 2006. AND Dürkop, A., Holbourn, A., Kuhnt, W., Zuraida, R., Andersen, N. and Grootes, P. M.: Centennial-scale climate variability in the Timor Sea during Marine Isotope Stage 3, Marine Micropaleontology, 66(3-4), 208–221, doi:10.1016/j.marmicro.2007.10.002, 2008.",,https://doi.pangaea.de/10.1594/PANGAEA.263755, https://doi.pangaea.de/10.1594/PANGAEA.472294, https://doi.pangaea.de/10.1594/PANGAEA.666556,1
MD01-2378,,0.36,0.56,2.31,0.56,2.31,3-8,250,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Holbourn, A., Kuhnt, W., Kawamura, H., Jian, Z., Grootes, P., Erlenkeuser, H. and Xu, J.: Orbitally paced paleoproductivity variations in the Timor Sea and Indonesian Throughflow variability during the last 460 kyr, Paleoceanography, 20(3), n/a–n/a, doi:10.1029/2004pa001094, 2005. AND Xu, J., Kuhnt, W., Holbourn, A., Andersen, N. and Bartoli, G.: Changes in the vertical profile of the Indonesian Throughflow during Termination II: Evidence from the Timor Sea, Paleoceanography, 21(4), doi:10.1029/2006pa001278, 2006. AND Dürkop, A., Holbourn, A., Kuhnt, W., Zuraida, R., Andersen, N. and Grootes, P. M.: Centennial-scale climate variability in the Timor Sea during Marine Isotope Stage 3, Marine Micropaleontology, 66(3-4), 208–221, doi:10.1016/j.marmicro.2007.10.002, 2008.",,https://doi.pangaea.de/10.1594/PANGAEA.263755, https://doi.pangaea.de/10.1594/PANGAEA.472294, https://doi.pangaea.de/10.1594/PANGAEA.666556,1
MD01-2378,,0.46,0.52,2.44,0.52,2.44,3-8,250,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Holbourn, A., Kuhnt, W., Kawamura, H., Jian, Z., Grootes, P., Erlenkeuser, H. and Xu, J.: Orbitally paced paleoproductivity variations in the Timor Sea and Indonesian Throughflow variability during the last 460 kyr, Paleoceanography, 20(3), n/a–n/a, doi:10.1029/2004pa001094, 2005. AND Xu, J., Kuhnt, W., Holbourn, A., Andersen, N. and Bartoli, G.: Changes in the vertical profile of the Indonesian Throughflow during Termination II: Evidence from the Timor Sea, Paleoceanography, 21(4), doi:10.1029/2006pa001278, 2006. AND Dürkop, A., Holbourn, A., Kuhnt, W., Zuraida, R., Andersen, N. and Grootes, P. M.: Centennial-scale climate variability in the Timor Sea during Marine Isotope Stage 3, Marine Micropaleontology, 66(3-4), 208–221, doi:10.1016/j.marmicro.2007.10.002, 2008.",,https://doi.pangaea.de/10.1594/PANGAEA.263755, https://doi.pangaea.de/10.1594/PANGAEA.472294, https://doi.pangaea.de/10.1594/PANGAEA.666556,1
MD01-2378,,0.56,0.59,2.5,0.59,2.5,3-8,250,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Holbourn, A., Kuhnt, W., Kawamura, H., Jian, Z., Grootes, P., Erlenkeuser, H. and Xu, J.: Orbitally paced paleoproductivity variations in the Timor Sea and Indonesian Throughflow variability during the last 460 kyr, Paleoceanography, 20(3), n/a–n/a, doi:10.1029/2004pa001094, 2005. AND Xu, J., Kuhnt, W., Holbourn, A., Andersen, N. and Bartoli, G.: Changes in the vertical profile of the Indonesian Throughflow during Termination II: Evidence from the Timor Sea, Paleoceanography, 21(4), doi:10.1029/2006pa001278, 2006. AND Dürkop, A., Holbourn, A., Kuhnt, W., Zuraida, R., Andersen, N. and Grootes, P. M.: Centennial-scale climate variability in the Timor Sea during Marine Isotope Stage 3, Marine Micropaleontology, 66(3-4), 208–221, doi:10.1016/j.marmicro.2007.10.002, 2008.",,https://doi.pangaea.de/10.1594/PANGAEA.263755, https://doi.pangaea.de/10.1594/PANGAEA.472294, https://doi.pangaea.de/10.1594/PANGAEA.666556,1
MD01-2378,,0.66,0.63,2.38,0.63,2.38,3-8,250,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Holbourn, A., Kuhnt, W., Kawamura, H., Jian, Z., Grootes, P., Erlenkeuser, H. and Xu, J.: Orbitally paced paleoproductivity variations in the Timor Sea and Indonesian Throughflow variability during the last 460 kyr, Paleoceanography, 20(3), n/a–n/a, doi:10.1029/2004pa001094, 2005. AND Xu, J., Kuhnt, W., Holbourn, A., Andersen, N. and Bartoli, G.: Changes in the vertical profile of the Indonesian Throughflow during Termination II: Evidence from the Timor Sea, Paleoceanography, 21(4), doi:10.1029/2006pa001278, 2006. AND Dürkop, A., Holbourn, A., Kuhnt, W., Zuraida, R., Andersen, N. and Grootes, P. M.: Centennial-scale climate variability in the Timor Sea during Marine Isotope Stage 3, Marine Micropaleontology, 66(3-4), 208–221, doi:10.1016/j.marmicro.2007.10.002, 2008.",,https://doi.pangaea.de/10.1594/PANGAEA.263755, https://doi.pangaea.de/10.1594/PANGAEA.472294, https://doi.pangaea.de/10.1594/PANGAEA.666556,1
MD01-2378,,0.76,0.54,2.23,0.54,2.23,3-8,250,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Holbourn, A., Kuhnt, W., Kawamura, H., Jian, Z., Grootes, P., Erlenkeuser, H. and Xu, J.: Orbitally paced paleoproductivity variations in the Timor Sea and Indonesian Throughflow variability during the last 460 kyr, Paleoceanography, 20(3), n/a–n/a, doi:10.1029/2004pa001094, 2005. AND Xu, J., Kuhnt, W., Holbourn, A., Andersen, N. and Bartoli, G.: Changes in the vertical profile of the Indonesian Throughflow during Termination II: Evidence from the Timor Sea, Paleoceanography, 21(4), doi:10.1029/2006pa001278, 2006. AND Dürkop, A., Holbourn, A., Kuhnt, W., Zuraida, R., Andersen, N. and Grootes, P. M.: Centennial-scale climate variability in the Timor Sea during Marine Isotope Stage 3, Marine Micropaleontology, 66(3-4), 208–221, doi:10.1016/j.marmicro.2007.10.002, 2008.",,https://doi.pangaea.de/10.1594/PANGAEA.263755, https://doi.pangaea.de/10.1594/PANGAEA.472294, https://doi.pangaea.de/10.1594/PANGAEA.666556,1
MD01-2378,,0.86,0.56,2.19,0.56,2.19,3-8,250,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Holbourn, A., Kuhnt, W., Kawamura, H., Jian, Z., Grootes, P., Erlenkeuser, H. and Xu, J.: Orbitally paced paleoproductivity variations in the Timor Sea and Indonesian Throughflow variability during the last 460 kyr, Paleoceanography, 20(3), n/a–n/a, doi:10.1029/2004pa001094, 2005. AND Xu, J., Kuhnt, W., Holbourn, A., Andersen, N. and Bartoli, G.: Changes in the vertical profile of the Indonesian Throughflow during Termination II: Evidence from the Timor Sea, Paleoceanography, 21(4), doi:10.1029/2006pa001278, 2006. AND Dürkop, A., Holbourn, A., Kuhnt, W., Zuraida, R., Andersen, N. and Grootes, P. M.: Centennial-scale climate variability in the Timor Sea during Marine Isotope Stage 3, Marine Micropaleontology, 66(3-4), 208–221, doi:10.1016/j.marmicro.2007.10.002, 2008.",,https://doi.pangaea.de/10.1594/PANGAEA.263755, https://doi.pangaea.de/10.1594/PANGAEA.472294, https://doi.pangaea.de/10.1594/PANGAEA.666556,1
MD01-2378,,0.96,0.53,2.47,0.53,2.47,3-8,250,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Holbourn, A., Kuhnt, W., Kawamura, H., Jian, Z., Grootes, P., Erlenkeuser, H. and Xu, J.: Orbitally paced paleoproductivity variations in the Timor Sea and Indonesian Throughflow variability during the last 460 kyr, Paleoceanography, 20(3), n/a–n/a, doi:10.1029/2004pa001094, 2005. AND Xu, J., Kuhnt, W., Holbourn, A., Andersen, N. and Bartoli, G.: Changes in the vertical profile of the Indonesian Throughflow during Termination II: Evidence from the Timor Sea, Paleoceanography, 21(4), doi:10.1029/2006pa001278, 2006. AND Dürkop, A., Holbourn, A., Kuhnt, W., Zuraida, R., Andersen, N. and Grootes, P. M.: Centennial-scale climate variability in the Timor Sea during Marine Isotope Stage 3, Marine Micropaleontology, 66(3-4), 208–221, doi:10.1016/j.marmicro.2007.10.002, 2008.",,https://doi.pangaea.de/10.1594/PANGAEA.263755, https://doi.pangaea.de/10.1594/PANGAEA.472294, https://doi.pangaea.de/10.1594/PANGAEA.666556,1
MD01-2378,,1.06,0.62,2.52,0.62,2.52,3-8,250,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Holbourn, A., Kuhnt, W., Kawamura, H., Jian, Z., Grootes, P., Erlenkeuser, H. and Xu, J.: Orbitally paced paleoproductivity variations in the Timor Sea and Indonesian Throughflow variability during the last 460 kyr, Paleoceanography, 20(3), n/a–n/a, doi:10.1029/2004pa001094, 2005. AND Xu, J., Kuhnt, W., Holbourn, A., Andersen, N. and Bartoli, G.: Changes in the vertical profile of the Indonesian Throughflow during Termination II: Evidence from the Timor Sea, Paleoceanography, 21(4), doi:10.1029/2006pa001278, 2006. AND Dürkop, A., Holbourn, A., Kuhnt, W., Zuraida, R., Andersen, N. and Grootes, P. M.: Centennial-scale climate variability in the Timor Sea during Marine Isotope Stage 3, Marine Micropaleontology, 66(3-4), 208–221, doi:10.1016/j.marmicro.2007.10.002, 2008.",,https://doi.pangaea.de/10.1594/PANGAEA.263755, https://doi.pangaea.de/10.1594/PANGAEA.472294, https://doi.pangaea.de/10.1594/PANGAEA.666556,1
