Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
MD01-2420,,0.7007,2450,3117,1390,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,0.7107,2485,3150,1435,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,0.7207,2521,3193,1482,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,0.7307,2556,3234,1516,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,0.7407,2591,3287,1550,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,0.7507,2627,3351,1577,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,0.7607,2662,3380,1619,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,0.7707,2698,3421,1651,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,0.7807,2733,3471,1687,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,0.7907,2769,3527,1719,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,0.8007,2805,3594,1749,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,0.8107,2840,3623,1788,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,0.8207,2876,3664,1819,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,0.8307,2912,3703,1852,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,0.8407,2948,3757,1882,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,0.8507,2983,3807,1912,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,0.8607,3020,3836,1967,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,0.8707,3056,3870,2017,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,0.8807,3092,3907,2070,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,0.8907,3128,3960,2113,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,0.9007,3165,4015,2162,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,0.9107,3201,4053,2198,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,0.9207,3237,4082,2239,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,0.9307,3274,4121,2272,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,0.9407,3310,4171,2311,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,0.9507,3346,4227,2340,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,0.9607,3382,4254,2391,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,0.9707,3418,4295,2435,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,0.9807,3453,4335,2473,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,0.9907,3489,4376,2510,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.0007,3525,4423,2535,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.0107,3562,4450,2574,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.0207,3599,4487,2605,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.0307,3635,4532,2639,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.0407,3672,4580,2665,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.0507,3709,4625,2687,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.0607,3745,4660,2736,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.0707,3780,4697,2768,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.0807,3816,4748,2798,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
