Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
MD01-2420,12,0.27545,0.1872,2.694,,,1,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,39,0.93155,-0.0328,2.969,,,2,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,46,1.1011,-0.0053,2.663,,,3,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,54,1.29575,0.0667,2.92,,,4,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,4,1.57075,0.0667,3.014,,,4,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,14,1.8147,-0.0773,2.97,,,7,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,24,2.056,-0.0573,2.873,,,6,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,27,2.128,0.0032,3.032,,,4,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,33,2.27275,0.0282,2.908,,,2,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,34,2.29705,-0.0328,2.933,,,2,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
