Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
MD02-2489,KIA 23971,0.045,,,,13790,80,80,758.4,101.5,101.5,15597,401,374,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 24584,0.095,,,,13590,70,70,705.4,98.4,98.4,15414,386,353,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 23972,0.59,,,,7570,40,40,575.3,53.4,53.4,7825,120,134,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 34750,0.665,,,,8715,45,45,497.2,50.4,50.4,9188,214,171,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 34751,0.765,,,,9210,50,50,430.4,52,52,9820,329,262,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 34752,0.865,,,,10140,70,70,513.5,75.7,75.7,10967,256,269,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 34753,0.96,,,,11080,60,60,696,54.1,54.1,12259,280,271,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 25503,1.1,,,,11870,30,30,745,94.9,94.9,12962,190,215,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 34754,1.19,,,,12120,70,70,696.2,94.9,94.9,13268,203,197,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 25504,1.29,,,,13640,80,80,713.5,98.9,98.9,15465,393,362,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 35318,1.3,,,,12730,35,35,653.2,95.5,95.5,13939,277,222,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 26539,1.4,,,,12840,70,70,633.5,96.3,96.3,14152,527,387,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 35319,1.5075,,,,12918,65,65,607,97.5,97.5,14386,563,429,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 26540,1.56,,,,13250,70,70,710.2,96.5,96.5,14749,448,524,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 34755,1.6,,,,11935,45,45,714,94.9,94.9,13077,208,251,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 35320,1.63,,,,12920,90,90,598.4,97.6,97.6,14420,598,472,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 34756,1.64,,,,14790,90,90,855,103.7,103.7,16893,461,445,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 35321,1.655,,,,12800,90,90,650,96.2,96.2,14067,589,339,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 34757,1.715,,,,13820,80,80,759.9,102,102,15635,398,383,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 35322,1.735,,,,15620,100,100,930.4,104.5,104.5,17877,373,345,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 35323,1.775,,,,13990,80,80,761.1,102,102,15892,376,432,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 23973,1.815,,,,13850,80,80,754.9,102.4,102.4,15684,391,401,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
