Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
MD02-2499,,0.02,-0.83,2.72,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,0.2,-1.01,3.32,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,0.4,-0.79,3.47,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,2.0,-0.63,3.48,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,2.2,-0.73,3.44,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,2.8000000000000003,-0.67,3.47,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,3.2,-1.17,3.62,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,3.4,-1.04,4.0,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,3.6,-0.82,3.96,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,3.8000000000000003,-0.96,4.02,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,4.0,-1.14,3.86,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,4.2,-1.12,3.96,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,4.4,-1.16,4.46,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,4.5200000000000005,-1.25,4.38,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,4.6000000000000005,-1.16,4.38,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,4.8,-1.32,4.65,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,5.0,-1.06,4.67,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,5.2,-1.02,4.71,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,5.4,-0.92,4.61,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,5.6000000000000005,-1.08,4.59,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,5.8,-0.8,4.77,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,5.99,-1.0,4.63,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,6.0200000000000005,-0.96,4.54,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,6.2,-0.83,4.55,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,6.4,-1.25,4.65,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,6.6000000000000005,-1.14,4.62,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,6.8,-1.43,4.64,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,7.0,-1.33,4.64,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,7.2,-1.26,4.53,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,7.4,-1.27,4.58,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,7.6000000000000005,-1.24,4.58,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,7.8,-1.3,4.63,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,8.0,-1.21,4.76,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,8.2,-1.26,4.55,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,8.4,-0.82,4.76,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,8.6,-1.13,4.66,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,8.8,-0.98,4.37,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,8.98,-1.07,4.5,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,9.02,-1.07,4.4,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,9.200000000000001,-1.16,4.45,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,9.4,-0.99,4.22,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
MD02-2499,,9.6,-1.07,4.6,,,,,,Uvigerina,5,,,,,Lopes and Mix 2009,,,,1
