Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
MD02-2588,SUERC-4667 *,0.05,AMS,Cardiff,G. inflata,13161,46,46,693,69,69,14631,314,332,,,,Reservoir age info. from Butzin et al 2017,ages calibrated with PDV  GMM May 2019,,
MD02-2588,SUERC-4668 *,0.1,AMS,Cardiff,G. inflata,8891,29,29,464,60,60,9464,35,36,,,,Reservoir age info. from Butzin et al 2017,ages calibrated with PDV  GMM May 2019,,
MD02-2588,SUERC-4669 *,0.2,AMS,Cardiff,G. inflata,11731,39,39,733,62,62,12847,123,106,,,,Reservoir age info. from Butzin et al 2017,ages calibrated with PDV  GMM May 2019,,
MD02-2588,SUERC-4670 *,0.4,AMS,Cardiff,G. inflata,10000,33,33,377,117,117,10970,202,188,,,,Reservoir age info. from Butzin et al 2017,ages calibrated with PDV  GMM May 2019,,
MD02-2588,SUERC-4673  ,0.6,AMS,Cardiff,G. inflata,13722,50,50,764,73,73,15482,193,183,,,,Reservoir age info. from Butzin et al 2017,ages calibrated with PDV  GMM May 2019,,
MD02-2588,SUERC-4674  ,0.75,AMS,Cardiff,G. inflata,14624,53,53,848,77,77,16657,226,214,,,,Reservoir age info. from Butzin et al 2017,ages calibrated with PDV  GMM May 2019,,
MD02-2588,SUERC-4675  ,0.85,AMS,Cardiff,G. inflata,15263,57,57,962,77,77,17427,157,176,,,,Reservoir age info. from Butzin et al 2017,ages calibrated with PDV  GMM May 2019,,
MD02-2588,SUERC-4676  ,1,AMS,Cardiff,G. inflata,15710,60,60,964,76,76,17943,142,144,,,,Reservoir age info. from Butzin et al 2017,ages calibrated with PDV  GMM May 2019,,
MD02-2588,SUERC-4677  ,1.1,AMS,Cardiff,G. inflata,17317,73,73,922,77,77,19784,189,180,,,,Reservoir age info. from Butzin et al 2017,ages calibrated with PDV  GMM May 2019,,
MD02-2588,SUERC-4679  ,1.25,AMS,Cardiff,G. inflata,18457,84,84,941,83,83,21154,204,203,,,,Reservoir age info. from Butzin et al 2017,ages calibrated with PDV  GMM May 2019,,
MD02-2588,SUERC-4680  ,1.4,AMS,Cardiff,G. inflata,21481,120,120,1009,88,88,24624,296,248,,,,Reservoir age info. from Butzin et al 2017,ages calibrated with PDV  GMM May 2019,,
MD02-2588,SUERC-4683  ,1.7,AMS,Cardiff,G. inflata,29933,335,335,1057,89,89,33090,388,389,,,,Reservoir age info. from Butzin et al 2017,ages calibrated with PDV  GMM May 2019,,
MD02-2588,SUERC-4684  ,1.9,AMS,Cardiff,G. inflata,34987,628,628,1037,111,111,38457,465,570,,,,Reservoir age info. from Butzin et al 2017,ages calibrated with PDV  GMM May 2019,,
