Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
MD02-2588,,,,0.080,0.080,,,,,,0.080,,
MD02-2588,,,,0.160,0.160,,,,,,0.160,,
MD02-2588,,,,0.200,0.200,,,,,,0.200,,
MD02-2588,,,,0.220,0.220,,,,,,0.220,,
MD02-2588,,,,0.300,0.300,,,,,,0.300,,
MD02-2588,,,,0.320,0.320,,,,,,0.320,,
MD02-2588,,,,0.340,0.340,,,,,,0.340,,
MD02-2588,,,,0.380,0.380,,,,,,0.380,,
MD02-2588,,,,0.400,0.400,,,,,,0.400,,
MD02-2588,,,,0.420,0.420,,,,,,0.420,,
MD02-2588,,,,0.480,0.480,,,,,,0.480,,
MD02-2588,,,,0.500,0.500,,,,,,0.500,,
MD02-2588,,,,0.520,0.520,,,,,,0.520,,
MD02-2588,,,,0.540,0.540,,,,,,0.540,,
MD02-2588,,,,0.560,0.560,,,,,,0.560,,
MD02-2588,,,,0.580,0.580,,,,,,0.580,,
MD02-2588,,,,0.600,0.600,,,,,,0.600,,
MD02-2588,,,,0.620,0.620,,,,,,0.620,,
MD02-2588,,,,0.640,0.640,,,,,,0.640,,
MD02-2588,,,,0.660,0.660,,,,,,0.660,,
MD02-2588,,,,0.680,0.680,,,,,,0.680,,
MD02-2588,,,,0.700,0.700,,,,,,0.700,,
MD02-2588,,,,0.720,0.720,,,,,,0.720,,
MD02-2588,,,,0.740,0.740,,,,,,0.740,,
MD02-2588,,,,0.760,0.760,,,,,,0.760,,
MD02-2588,,,,0.780,0.780,,,,,,0.780,,
MD02-2588,,,,0.800,0.800,,,,,,0.800,,
MD02-2588,,,,0.820,0.820,,,,,,0.820,,
MD02-2588,,,,0.840,0.840,,,,,,0.840,,
MD02-2588,,,,0.860,0.860,,,,,,0.860,,
MD02-2588,,,,0.880,0.880,,,,,,0.880,,
MD02-2588,,,,0.900,0.900,,,,,,0.900,,
MD02-2588,,,,0.920,0.920,,,,,,0.920,,
MD02-2588,,,,0.940,0.940,,,,,,0.940,,
MD02-2588,,,,0.960,0.960,,,,,,0.960,,
MD02-2588,,,,0.980,0.980,,,,,,0.980,,
MD02-2588,,,,1.000,1.000,,,,,,1.000,,
MD02-2588,,,,1.020,1.020,,,,,,1.020,,
MD02-2588,,,,1.040,1.040,,,,,,1.040,,
MD02-2588,,,,1.060,1.060,,,,,,1.060,,
MD02-2588,,,,1.080,1.080,,,,,,1.080,,
MD02-2588,,,,1.100,1.100,,,,,,1.100,,
MD02-2588,,,,1.120,1.120,,,,,,1.120,,
MD02-2588,,,,1.140,1.140,,,,,,1.140,,
MD02-2588,,,,1.160,1.160,,,,,,1.160,,
MD02-2588,,,,1.180,1.180,,,,,,1.180,,
MD02-2588,,,,1.200,1.200,,,,,,1.200,,
MD02-2588,,,,1.220,1.220,,,,,,1.220,,
MD02-2588,,,,1.240,1.240,,,,,,1.240,,
MD02-2588,,,,1.260,1.260,,,,,,1.260,,
MD02-2588,,,,1.280,1.280,,,,,,1.280,,
MD02-2588,,,,1.300,1.300,,,,,,1.300,,
MD02-2588,,,,1.320,1.320,,,,,,1.320,,
MD02-2588,,,,1.340,1.340,,,,,,1.340,,
MD02-2588,,,,1.360,1.360,,,,,,1.360,,
MD02-2588,,,,1.400,1.400,,,,,,1.400,,
MD02-2588,,,,1.420,1.420,,,,,,1.420,,
MD02-2588,,,,1.440,1.440,,,,,,1.440,,
MD02-2588,,,,1.460,1.460,,,,,,1.460,,
MD02-2588,,,,1.500,1.500,,,,,,1.500,,
MD02-2588,,,,1.520,1.520,,,,,,1.520,,
MD02-2588,,,,1.540,1.540,,,,,,1.540,,
MD02-2588,,,,1.560,1.560,,,,,,1.560,,
MD02-2588,,,,1.580,1.580,,,,,,1.580,,
MD02-2588,,,,1.600,1.600,,,,,,1.600,,
MD02-2588,,,,1.640,1.640,,,,,,1.640,,
MD02-2588,,,,1.660,1.660,,,,,,1.660,,
MD02-2588,,,,1.680,1.680,,,,,,1.680,,
MD02-2588,,,,1.700,1.700,,,,,,1.700,,
MD02-2588,,,,1.720,1.720,,,,,,1.720,,
MD02-2588,,,,1.740,1.740,,,,,,1.740,,
MD02-2588,,,,1.760,1.760,,,,,,1.760,,
MD02-2588,,,,1.780,1.780,,,,,,1.780,,
MD02-2588,,,,1.800,1.800,,,,,,1.800,,
MD02-2588,,,,1.820,1.820,,,,,,1.820,,
MD02-2588,,,,1.840,1.840,,,,,,1.840,,
MD02-2588,,,,1.860,1.860,,,,,,1.860,,
MD02-2588,,,,1.880,1.880,,,,,,1.880,,
MD02-2588,,,,1.900,1.900,,,,,,1.900,,
MD02-2588,,,,1.920,1.920,,,,,,1.920,,
MD02-2588,,,,1.960,1.960,,,,,,1.960,,
MD02-2588,,,,1.980,1.980,,,,,,1.980,,
MD02-2588,,,,2.000,2.000,,,,,,2.000,,
