Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
MD03-2698,,0.135,,KIA27687,mixed planktonics >250 µm,790,25,25,470,100,100,369,121,79,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
MD03-2698,,1.26,,KIA29278,G. inflata >250 µm,4830,35,35,470,100,100,4933,317,-312,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
MD03-2698,,1.555,,KIA29279,mixed planktonics >250 µm,5935,40,40,470,100,100,6197,103,25,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
MD03-2698,,1.91,,KIA29280,G. inflata >315 µm,7820,40,40,470,100,100,8111,79,119,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
MD03-2698,,2.615,,KIA29281,G. inflata >250 µm,10540,50,50,470,100,100,11537,163,-135,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
MD03-2698,,3.405,,KIA27894,G. bulloides; G. inflata; O. universa >250 µm,11735,55,55,470,200,200,13015,155,222,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
MD03-2698,,4.005,,KIA29282,mixed planktonics  >150 µm,12240,70,70,470,200,200,13501,219,205,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
MD03-2698,,4.595,,KIA29283,mixed planktonics  >150 µm,12895,55,55,470,200,200,14388,352,391,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
MD03-2698,,6.44,,KIA29284,G. bulloides >150 µm,13800,70,70,470,200,200,15800,300,304,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
MD03-2698,,10.525,,SacA54856,mixed plankics,15030,90,90,470,200,200,17441,259,289,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
MD03-2698,,12.13,,KIA29285,mixed planktonics >250 µm,15840,70,70,470,200,200,18363,237,244,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
MD03-2698,,13.21,,KIA29286,G. inflata; G. aequilateralis; G. calida  >315 µm,16900,110,110,470,200,200,19538,292,299,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
MD03-2698,,14.85,,KIA29287,G. inflata >250 µm,18660,130,130,470,200,200,21720,310,334,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
MD03-2698,,15.855,,KIA29288,mixed planktonics >250 µm,19580,140,140,470,200,200,22758,232,298,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
MD03-2698,,17.695,,SacA54857,mixed plankics,22240,590,590,470,200,200,25814,706,694,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
MD03-2698,,19.885,,KIA29289,G. inflata >250 µm,22880,210,210,470,200,200,26434,286,389,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
MD03-2698,,21.525,,SacA54858,mixed plankics,25030,210,210,470,200,200,28351,289,310,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
MD03-2698,,22.39,,KIA29691,G. inflata >315 µm,27190,120,120,470,200,200,30729,221,175,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
MD03-2698,,23.64,,KIA29692,G. inflata >315 µm,30100,160,160,470,200,200,33600,260,221,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
MD03-2698,,24.41,,KIA29693,G. inflata; O. universa; G. bulloides > 250  µm,31660,170,170,470,200,200,34888,242,273,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
MD03-2698,,25.605,,SacA54859,mixed plankics,32740,430,430,470,200,200,35992,468,606,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
MD03-2698,,27.05,,KIA29694,G. inflata >250 µm,36480,300,300,470,200,200,40427,423,426,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
MD03-2698,,29.275,,KIA27686,G. inflata  >250 µm (a),43280,700,700,470,200,200,45965,625,748,IntCal13 + res age temporal component,,,From Waelbroeck et al. 2019 compilation,,,
MD03-2698,,19.25,alignment of G. bullo d18O and d13C to that of MD90,,,,,,,,,25664,130,130,,,,From Waelbroeck et al. 2019 compilation,2042: 192519 cm in MD2698 corresponds to 9164 cm in MD2042,,
MD03-2698,,20.857,alignment of G. bullo d18O to NGRIP temp,,,,,,,,,27732,420,420,,,,From Waelbroeck et al. 2019 compilation,Wolff et al.; 2010 (Table2),,
MD03-2698,,21.46,alignment of G. bullo d18O to NGRIP temp,,,,,,,,,28850,449,449,,,,From Waelbroeck et al. 2019 compilation,Wolff et al.; 2010 (Table2),,
MD03-2698,,24.509,alignment of G. bullo d18O to NGRIP temp,,,,,,,,,35454,660,660,,,,From Waelbroeck et al. 2019 compilation,Wolff et al.; 2010 (Table2),,
MD03-2698,,25.664,alignment of G. bullo d18O to NGRIP temp,,,,,,,,,38189,730,730,,,,From Waelbroeck et al. 2019 compilation,Wolff et al.; 2010 (Table2),,
