/* DATA DESCRIPTION:
Citation:	Weldeab, Syee; Friedrich, Tobias; Timmermann, Axel; Schneider, Ralph R (2016): Ba/Ca, δ¹³C, and δ¹⁸O analyzed in Cibicides pachyderma of sediment core MD03-2707. PANGAEA, https://doi.org/10.1594/PANGAEA.877249, 
	In supplement to: Weldeab, S et al. (2016): Strong middepth warming and weak radiocarbon imprints in the equatorial Atlantic during Heinrich 1 and Younger Dryas. Paleoceanography, 31(8), 1070-1082, https://doi.org/10.1002/2016PA002957
Coverage:	LATITUDE: 2.502000 * LONGITUDE: 9.395000
	MINIMUM ELEVATION: -1295.0 m * MAXIMUM ELEVATION: -1295.0 m
Event(s):	MD03-2707 * LATITUDE: 2.502000 * LONGITUDE: 9.395000 * ELEVATION: -1295.0 m * METHOD/DEVICE: Piston corer (PC)
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Weldeab, Syee (https://orcid.org/0000-0002-4829-5237, sweldeab@geol.ucsb.edu)
	Age, minimum/young [ka] (Age min) * PI: Weldeab, Syee (https://orcid.org/0000-0002-4829-5237, sweldeab@geol.ucsb.edu)
	Age, maximum/old [ka] (Age max) * PI: Weldeab, Syee (https://orcid.org/0000-0002-4829-5237, sweldeab@geol.ucsb.edu)
	Cibicides pachyderma, δ13C [‰ PDB] (C. pachyderma δ13C) * PI: Weldeab, Syee (https://orcid.org/0000-0002-4829-5237, sweldeab@geol.ucsb.edu) * COMMENT: vs. VPDB
	Cibicides pachyderma, δ18O [‰ PDB] (C. pachyderma δ18O) * PI: Weldeab, Syee (https://orcid.org/0000-0002-4829-5237, sweldeab@geol.ucsb.edu) * COMMENT: vs. VPDB
	Cibicides pachyderma, Barium/Calcium ratio [µmol/mol] (C. pachyderma Ba/Ca) * PI: Weldeab, Syee (https://orcid.org/0000-0002-4829-5237, sweldeab@geol.ucsb.edu)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	560 data points
*/
Age [ka BP]	Age min [ka]	Age max [ka]	C. pachyderma δ13C [‰ PDB]	C. pachyderma δ18O [‰ PDB]	C. pachyderma Ba/Ca [µmol/mol]
9.98	9.70	10.19	0.42	2.82	2.02
10.03	9.74	10.25	0.37	2.80	
10.07	9.77	10.31	0.31	2.70	2.30
10.11	9.81	10.35	0.42	2.85	
10.15	9.85	10.41	0.34	2.79	2.00
10.19	9.89	10.45	0.26	2.64	
10.23	9.92	10.49	0.32	2.92	2.04
10.27	9.96	10.54	0.33	2.85	2.15
10.31	10.01	10.57	0.38	2.75	
10.35	10.05	10.62	0.50	2.74	2.09
10.39	10.09	10.65	0.05	2.81	
10.43	10.13	10.69	0.40	2.71	2.37
10.47	10.17	10.74	0.38	2.76	2.04
10.51	10.23	10.76	0.23	2.81	2.31
10.55	10.27	10.80	0.42	2.98	1.98
10.59	10.33	10.83	0.22	2.86	1.99
10.63	10.39	10.86	0.35	2.76	
10.67	10.44	10.90	0.39	2.84	1.99
10.71	10.52	10.92	0.33	2.91	2.06
10.75	10.57	10.95	0.35	3.12	2.20
10.79	10.64	10.98	0.37	2.97	1.93
10.84	10.69	11.03	0.23	3.03	2.16
10.89	10.72	11.10	0.28	2.77	2.01
10.93	10.75	11.15	0.34	2.82	1.85
10.97	10.77	11.22	0.37	2.80	2.20
11.01	10.82	11.28	0.28	2.83	1.98
11.05	10.85	11.35	0.12	2.66	1.96
11.09	10.88	11.43	0.29	2.78	2.04
11.13	10.94	11.48	0.29	2.70	1.99
11.17	10.98	11.55	0.22	2.75	2.06
11.24	11.05	11.63	0.34	2.68	2.06
11.31	11.09	11.71	0.11	2.76	
11.38	11.13	11.81	0.37	2.57	2.13
11.46	11.18	11.88	0.14	2.68	2.02
11.55	11.21	11.98	0.19	2.71	2.08
11.64	11.29	12.06	0.28	2.77	2.08
11.73	11.35	12.13	0.25	2.59	2.14
11.81	11.42	12.23	0.24	2.63	2.04
11.90	11.52	12.27	0.21	2.80	
11.99	11.58	12.36	0.30	2.63	2.05
12.08	11.74	12.41	0.23	2.57	1.97
12.17	11.86	12.46			2.01
12.26	11.95	12.53			1.80
12.32	12.01	12.59	0.29	2.78	1.97
12.38	12.05	12.69	0.44	3.15	1.77
12.45	12.12	12.76	0.32	2.85	
12.51	12.17	12.82	0.25	2.82	1.88
12.57	12.22	12.90	0.36	2.91	
12.64	12.29	12.94	0.26	2.76	2.04
12.70	12.34	13.01	0.29	3.02	
12.76	12.42	13.05	0.32	3.14	2.05
12.83	12.49	13.10			
12.98	12.70	13.20	0.18	2.99	2.11
13.05	12.78	13.25	0.29	3.21	
13.15	12.95	13.31	0.27	3.27	2.07
13.30	13.11	13.49	0.29	3.37	1.98
13.36	13.16	13.58	0.15	3.44	
13.46	13.28	13.66	0.06	3.37	2.21
13.52	13.33	13.75	0.18	3.26	
13.61	13.39	13.88	0.21	3.06	2.11
13.77	13.50	14.08	0.20	3.17	1.94
13.83	13.54	14.16	0.34	3.52	
13.91	13.62	14.24	0.17	3.31	2.17
13.97	13.67	14.31	0.16	3.47	
14.06	13.79	14.40	0.13	3.15	2.07
14.22	14.00	14.55	0.16	3.43	2.17
14.29	14.06	14.63	0.13	3.13	
14.40	14.15	14.73	-0.02	2.99	2.23
14.48	14.19	14.83	0.06	3.15	
14.59	14.28	14.93	0.02	3.45	2.45
14.79	14.44	15.15	-0.03	3.28	2.31
14.86	14.50	15.25	0.06	3.15	
14.98	14.62	15.37	-0.07	3.09	2.43
15.20	14.84	15.61	-0.09	3.17	2.34
15.29	14.92	15.73	0.01	3.21	
15.47	15.04	15.95	0.09	3.20	2.47
15.78	15.24	16.35	-0.05	3.16	2.44
15.90	15.33	16.51			
16.09	15.49	16.65	-0.01	3.34	2.51
16.21	15.59	16.78	0.13	3.46	
16.38	15.79	16.89	0.04	3.37	2.00
16.69	16.15	17.09	0.23	3.54	2.28
16.81	16.29	17.18	0.19	3.62	
16.97	16.57	17.28	0.19	3.78	2.24
17.07	16.66	17.39	0.13	3.57	
17.18	16.76	17.52	0.51	3.82	2.10
17.25	16.82	17.63	0.48	3.95	
