Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
MD12-3396Cq,,0.045,,,,1464.0,30.0,30.0,757.0,50.9,50.9,643.0,86.0,88.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD12-3396Cq,,0.045,,,,1464.0,30.0,30.0,757.0,50.9,50.9,643.0,86.0,88.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD12-3396Cq,,0.145,,,,1827.0,67.0,67.0,747.0,50.7,50.7,995.0,246.0,203.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD12-3396Cq,,0.145,,,,1859.0,67.0,67.0,747.0,50.5,50.5,1037.0,226.0,237.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD12-3396Cq,,0.465,,,,2522.0,69.0,69.0,682.0,56.0,56.0,1746.0,228.0,203.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD12-3396Cq,,0.625,,,,2867.0,69.0,69.0,687.0,50.7,50.7,2174.0,174.0,228.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD12-3396Cq,,0.645,,,,2985.0,30.0,30.0,661.0,50.2,50.2,2342.0,343.0,191.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD12-3396Cq,,0.765,,,,3386.0,30.0,30.0,695.0,50.1,50.1,2809.0,121.0,81.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD12-3396Cq,,0.785,,,,3464.0,74.0,74.0,692.0,50.9,50.9,2898.0,248.0,156.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD12-3396Cq,,0.925,,,,3881.0,32.0,32.0,706.0,50.4,50.4,3387.0,168.0,154.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD12-3396Cq,,1.005,,,,4371.0,34.0,34.0,682.0,50.9,50.9,4025.0000000000005,203.99999999999955,178.00000000000045,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD12-3396Cq,,1.025,,,,4428.0,78.0,78.0,704.0,53.3,53.3,4089.0000000000005,313.99999999999955,249.00000000000045,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD12-3396Cq,,1.245,,,,5248.0,52.0,52.0,752.0,54.5,54.5,5132.0,298.0,257.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD12-3396Cq,,1.245,,,,5075.0,34.0,34.0,730.0,52.1,52.1,4954.0,321.0,129.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD12-3396Cq,,1.265,,,,5021.0,80.0,80.0,730.0,51.5,51.5,4871.0,406.0,338.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD12-3396Cq,,1.425,,,,5854.0,86.0,86.0,815.0,50.5,50.5,5776.0,215.0,187.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD12-3396Cq,,1.445,,,,5840.0,36.0,36.0,815.0,50.2,50.2,5771.0,134.0,167.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD12-3396Cq,,1.665,,,,6628.0,91.0,91.0,817.0,52.2,52.2,6618.0,267.0,222.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD12-3396Cq,,1.715,,,,7472.0,98.0,98.0,809.0,54.0,54.0,7534.0,185.0,208.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD12-3396Cq,,1.725,,,,7311.0,90.0,90.0,840.0,51.9,51.9,7378.0,192.0,210.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD12-3396Cq,,1.825,,,,7536.0,97.0,97.0,809.0,55.5,55.5,7590.0,236.0,166.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD12-3396Cq,,1.845,,,,7583.0,41.0,41.0,803.0,53.199999999999996,53.199999999999996,7629.0,148.0,119.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD12-3396Cq,,1.845,,,,7590.0,39.0,39.0,780.0,52.8,52.8,7652.0,133.0,133.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
