Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
MD13-3455G,,0.37,14360.09375,,,14901.2001953125,13856.2001953125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.38,14369.96484375,,,14898.5830078125,13867.5830078125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.39,14379.86328125,,,14906.396484375,13881.396484375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.4,14389.7568359375,,,14919.345703125,13899.345703125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.41000000000000003,14399.63671875,,,14927.2939453125,13912.2939453125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.42,14409.5234375,,,14928.2421875,13925.2421875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.43,14419.400390625,,,14940.6787109375,13937.6787109375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.44,14429.2783203125,,,14945.6748046875,13943.6748046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.45,14439.171875,,,14954.6708984375,13965.6708984375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.46,14449.0615234375,,,14963.66796875,13975.66796875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.47000000000000003,14458.94140625,,,14975.6640625,13998.6640625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.48,14468.81640625,,,14987.66015625,14007.66015625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.49,14478.705078125,,,14995.65625,14012.65625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.5,14488.5927734375,,,15011.6533203125,14021.6533203125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.51,14498.4775390625,,,15030.6494140625,14030.6494140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.52,14508.369140625,,,15052.6455078125,14036.6455078125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.53,14518.2529296875,,,15065.642578125,14041.642578125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.54,14528.1494140625,,,15075.638671875,14046.638671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.55,14538.015625,,,15085.634765625,14058.634765625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.56,14547.900390625,,,15110.630859375,14064.630859375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.5700000000000001,14557.78515625,,,15128.154296875,14070.154296875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.58,14567.646484375,,,15135.0693359375,14080.0693359375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.59,14577.509765625,,,15150.984375,14090.984375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.6,14587.36328125,,,15154.8984375,14110.8984375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.61,14597.20703125,,,15157.8134765625,14118.8134765625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.62,14607.0771484375,,,15160.728515625,14135.728515625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.63,14616.9443359375,,,15167.642578125,14154.642578125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.64,14626.7958984375,,,15170.5576171875,14157.5576171875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.65,14636.6552734375,,,15173.47265625,14162.47265625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.66,14646.5166015625,,,15190.38671875,14166.38671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.67,14656.357421875,,,15205.3017578125,14169.3017578125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.68,14666.2177734375,,,15221.216796875,14189.216796875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD13-3455G,,0.6900000000000001,14676.07421875,,,15232.130859375,14195.130859375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
