Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
MD95-2039,,0.385,6539.4282226563,,,6709.7099609375,6378.7099609375,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.395,6602.29296875,,,6801.9365234375,6412.9365234375,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.405,6665.1245117188,,,6922.47265625,6447.47265625,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.415,6727.9340820313,,,7061.0092773438,6474.0092773438,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.425,6790.77734375,,,7210.4736328125,6497.4736328125,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.435,6853.6079101563,,,7370.1870117188,6519.1870117188,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.445,6916.443359375,,,7527.9008789063,6530.9008789063,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.455,6979.2709960938,,,7688.6142578125,6543.6142578125,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.465,7042.0986328125,,,7851.3276367188,6553.3276367188,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.475,7104.9370117188,,,8011.041015625,6564.041015625,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.485,7167.796875,,,8179.7543945313,6574.7543945313,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.495,7231.4418945313,,,8225.1279296875,6625.1279296875,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.505,7295.0688476563,,,8272.2353515625,6665.2353515625,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.515,7358.7456054688,,,8332.904296875,6705.9038085938,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.525,7422.4057617188,,,8404.572265625,6734.5717773438,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.535,7486.0600585938,,,8491.240234375,6758.240234375,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.545,7549.7353515625,,,8580.29296875,6781.2924804688,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.555,7613.392578125,,,8670.185546875,6803.1850585938,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.565,7677.072265625,,,8769.0771484375,6828.0771484375,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.575,7740.73046875,,,8874.9697265625,6851.9697265625,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.585,7804.390625,,,8988.8623046875,6870.8623046875,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.595,7864.8208007813,,,9021.19921875,6940.19921875,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.605,7925.189453125,,,9061.298828125,6990.2993164063,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.615,7985.5590820313,,,9105.400390625,7034.3999023438,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.625,8045.9541015625,,,9151.5,7077.5,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.635,8106.3208007813,,,9200.599609375,7112.6000976563,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.645,8166.708984375,,,9269.3837890625,7145.3837890625,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.655,8227.091796875,,,9340.744140625,7177.7446289063,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.665,8287.45703125,,,9444.10546875,7210.10546875,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.675,8347.8271484375,,,9543.466796875,7240.4663085938,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.685,8408.21484375,,,9659.8271484375,7269.8271484375,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.695,8455.349609375,,,9696.5244140625,7329.5244140625,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.705,8502.1376953125,,,9741.07421875,7383.0737304688,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.715,8548.923828125,,,9783.623046875,7425.6225585938,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.725,8595.74609375,,,9829.171875,7460.1713867188,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.735,8642.546875,,,9876.720703125,7498.7202148438,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.745,8689.3212890625,,,9926.26953125,7530.2690429688,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.755,8736.1318359375,,,9976.818359375,7556.8178710938,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.765,8782.923828125,,,10024.3671875,7587.3671875,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.775,8829.7265625,,,10075.916015625,7611.916015625,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.785,8876.525390625,,,10129.46484375,7642.46484375,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.795,8938.7255859375,,,10172.931640625,7730.9311523438,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.805,9001.357421875,,,10218.033203125,7815.033203125,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.815,9064.037109375,,,10261.5634765625,7874.5634765625,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.825,9126.673828125,,,10316.09375,7946.0942382813,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.835,9189.3740234375,,,10377.625,8007.625,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.845,9252.0390625,,,10440.15625,8063.1557617188,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.855,9314.6923828125,,,10506.3740234375,8109.3740234375,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.865,9377.3759765625,,,10587.041015625,8146.0405273438,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.875,9440.0234375,,,10660.70703125,8181.70703125,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.885,9502.7109375,,,10748.373046875,8216.373046875,3,Age model from Jonkers et al. (2020),,1
MD95-2039,,0.895,9563.8291015625,,,10782.466796875,8295.466796875,3,Age model from Jonkers et al. (2020),,1
