Depth [m],C. wuellerstorfi δ13C [‰ PDB],C. wuellerstorfi δ18O [‰ PDB]
0.02,0.75,2.66
0.1,0.97,2.65
0.2,1.05,2.63
0.3,0.98,2.71
0.4,0.87,2.71
0.5,0.87,2.74
0.6,0.95,2.74
0.7,0.85,2.89
0.8,0.73,2.91
0.9,0.7,2.91
1.0,0.66,2.79
1.1,0.59,2.99
1.2,0.6,3.3
1.4,0.77,3.45
1.52,0.79,3.52
1.6,0.68,3.59
1.7,0.21,4.44
1.8,0.51,3.52
1.9,0.17,3.5
1.95,-0.16,3.94
2.15,0.16,3.89
2.2,0.36,3.7
2.25,-0.01,3.89
2.3,0.4,3.54
2.5,0.31,3.85
2.6,0.3,3.56
2.7,0.63,3.61
2.8,1.1,2.75
3.02,0.18,4.14
3.1,0.17,4.53
3.2,0.66,3.59
3.3,0.15,4.54
3.4,0.12,4.53
3.5,0.15,4.49
3.6,0.2,4.56
3.7,0.19,4.57
3.8,0.12,4.52
3.9,0.19,4.43
4.0,0.16,4.45
4.1,0.15,4.52
4.2,0.21,4.41
4.3,0.12,4.47
4.4,0.17,4.54
4.52,0.0,4.43
4.6,0.13,4.35
4.7,0.09,4.48
4.8,0.16,4.42
4.9,0.05,4.36
5.0,0.05,4.35
5.1,0.05,4.14
5.35,0.05,4.4
5.4,0.1,4.36
5.5,0.07,4.4
5.6,0.16,4.19
5.7,-0.05,4.31
5.8,0.03,4.37
5.9,0.07,4.29
6.02,0.11,4.32
6.1,0.16,4.3
6.3,0.02,4.2
6.4,0.12,4.33
6.5,0.25,4.29
6.6,0.31,4.3
6.7,-0.09,4.2
6.9,0.32,4.15
7.0,0.33,4.31
7.1,0.13,4.1
7.3,0.1,4.08
7.4,-0.11,4.03
7.9,0.23,4.26
8.1,0.29,4.09
8.2,0.45,4.22
8.3,0.41,4.14
8.4,0.27,4.08
8.6,0.45,4.21
8.7,0.4,4.1
8.8,0.16,4.12
9.02,0.61,4.13
9.1,0.72,4.04
9.2,0.46,3.96
9.3,0.33,3.83
9.4,0.4,4.02
9.8,0.6,3.68
9.9,0.25,3.69
10.0,0.23,3.74
10.52,0.35,4.13
10.6,0.38,4.06
10.7,0.4,4.05
10.8,0.38,4.0
10.9,0.2,3.94
11.1,0.6,4.15
11.2,0.65,4.02
11.3,0.51,3.97
11.5,0.52,4.05
11.6,0.76,4.01
11.7,0.75,3.85
11.8,0.74,3.72
11.85,0.28,3.62
