Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
MD95-2040,,1.53,,GIF 98318,,11000,100,100,500,200,200,12231,383,293,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
MD95-2040,,2.22,,KIA13457,,13530,80,80,500,200,200,15394,320,294,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
MD95-2040,,2.4,,KIA13458,,13770,70,70,500,200,200,15728,292,314,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
MD95-2040,,2.79,,KIA13460,,14450,90,90,500,200,200,16666,307,280,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
MD95-2040,,2.82,,KIA13634,,14600,80,80,500,200,200,16851,258,320,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
MD95-2040,,2.91,,GIF 98320,,14910,130,130,500,200,200,17277,418,356,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
MD95-2040,,4.89,,GIF 98321,,20810,220,220,500,200,200,24139,348,341,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
MD95-2040,,5.13,,GIF 98322,,21050,140,140,500,200,200,24410,298,375,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
MD95-2040,,5.73,,GIF 98323,,22600,190,190,500,200,200,26150,229,273,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
MD95-2040,,8.67,,GIF 98325,,32890,490,490,500,200,200,36638,604,646,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
MD95-2040,,1.38,Alignment of SST to NGRIP,,,,,,,,,11644,50,50,,,,From Waelbroeck et al. 2019 compilation (2022 update),"error estimate: Wolff et al., 2010 (Table2)",,
MD95-2040,,2.15,Alignment of SST+%Nps to NGRIP,,,,,,,,,14635,100,100,,,,From Waelbroeck et al. 2019 compilation (2022 update),"error estimate: Wolff et al., 2010 (Table2)",,
MD95-2040,,3.0780000000000003,Alignment of %Nps and SST to NGRIP Ca++ (Missiaen et al.,,,,,,,,,17480,206,206,,,,From Waelbroeck et al. 2019 compilation (2022 update),error estimate:  in prep),,
MD95-2040,,4.83,Alignment of SST+%Nps to NGRIP,,,,,,,,,23365,300,300,,,,From Waelbroeck et al. 2019 compilation (2022 update),"error estimate: Wolff et al., 2010 (Table2)",,
MD95-2040,,5.153,Alignment of %Nps and SST to Austin's warm event,,,,,,,,,24100,330,330,,,,From Waelbroeck et al. 2019 compilation (2022 update),error estimate: quadratic propagation of duration of the transition ,,
MD95-2040,,5.669,Alignment of %Nps and SST to Austin's warm event,,,,,,,,,25050,350,350,,,,From Waelbroeck et al. 2019 compilation (2022 update),error estimate: quadratic propagation of duration of the transition ,,
MD95-2040,,6.479,Alignment of SST+%Nps to NGRIP,,,,,,,,,27765,420,420,,,,From Waelbroeck et al. 2019 compilation (2022 update),"error estimate: Wolff et al., 2010 (Table2)",,
MD95-2040,,6.8,Alignment of SST to NGRIP,,,,,,,,,28786,450,450,,,,From Waelbroeck et al. 2019 compilation (2022 update),"error estimate: Wolff et al., 2010 (Table2)",,
MD95-2040,,7.25,Alignment of SST+%Nps to NGRIP,,,,,,,,,30550,566,566,,,,From Waelbroeck et al. 2019 compilation (2022 update),error estimate: error extrapolated from Wolff-QSR10,,
MD95-2040,,8.623,Alignment of SST+%Nps to NGRIP,,,,,,,,,38114,730,730,,,,From Waelbroeck et al. 2019 compilation (2022 update),"error estimate: Wolff et al., 2010 (Table2)",,
MD95-2040,,9.38,Alignment of SST+%Nps to NGRIP,,,,,,,,,43045,870,870,,,,From Waelbroeck et al. 2019 compilation (2022 update),"error estimate: Wolff et al., 2010 (Table2)",,
MD95-2040,,9.9,Alignment of SST+%Nps to NGRIP,,,,,,,,,46841,960,960,,,,From Waelbroeck et al. 2019 compilation (2022 update),"error estimate: Wolff et al., 2010 (Table2)",,
MD95-2040,,10.306,Alignment of SST+%Nps to NGRIP,,,,,,,,,48478,1000,1000,,,,From Waelbroeck et al. 2019 compilation (2022 update),error estimate: guess,,
