Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
MD95-2040,,0.02,0.99,,0.99,,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Voelker, A. H. L. and de Abreu, L.: A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal, and Vertical Gradients, Geophysical Monograph Series, 15–37, doi:10.1029/2010gm001021, 2011.",,https://doi.pangaea.de/10.1594/PANGAEA.737135,1
MD95-2040,,0.05,1.07,,1.07,,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Voelker, A. H. L. and de Abreu, L.: A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal, and Vertical Gradients, Geophysical Monograph Series, 15–37, doi:10.1029/2010gm001021, 2011.",,https://doi.pangaea.de/10.1594/PANGAEA.737135,1
MD95-2040,,0.08,1.19,,1.19,,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Voelker, A. H. L. and de Abreu, L.: A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal, and Vertical Gradients, Geophysical Monograph Series, 15–37, doi:10.1029/2010gm001021, 2011.",,https://doi.pangaea.de/10.1594/PANGAEA.737135,1
MD95-2040,,0.11,1.2,,1.2,,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Voelker, A. H. L. and de Abreu, L.: A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal, and Vertical Gradients, Geophysical Monograph Series, 15–37, doi:10.1029/2010gm001021, 2011.",,https://doi.pangaea.de/10.1594/PANGAEA.737135,1
MD95-2040,,0.14,1.24,,1.24,,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Voelker, A. H. L. and de Abreu, L.: A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal, and Vertical Gradients, Geophysical Monograph Series, 15–37, doi:10.1029/2010gm001021, 2011.",,https://doi.pangaea.de/10.1594/PANGAEA.737135,1
MD95-2040,,0.17,1.02,,1.02,,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Voelker, A. H. L. and de Abreu, L.: A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal, and Vertical Gradients, Geophysical Monograph Series, 15–37, doi:10.1029/2010gm001021, 2011.",,https://doi.pangaea.de/10.1594/PANGAEA.737135,1
MD95-2040,,0.2,1.0,,1.0,,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Voelker, A. H. L. and de Abreu, L.: A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal, and Vertical Gradients, Geophysical Monograph Series, 15–37, doi:10.1029/2010gm001021, 2011.",,https://doi.pangaea.de/10.1594/PANGAEA.737135,1
MD95-2040,,0.23,1.29,,1.29,,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Voelker, A. H. L. and de Abreu, L.: A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal, and Vertical Gradients, Geophysical Monograph Series, 15–37, doi:10.1029/2010gm001021, 2011.",,https://doi.pangaea.de/10.1594/PANGAEA.737135,1
MD95-2040,,0.26,1.13,,1.13,,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Voelker, A. H. L. and de Abreu, L.: A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal, and Vertical Gradients, Geophysical Monograph Series, 15–37, doi:10.1029/2010gm001021, 2011.",,https://doi.pangaea.de/10.1594/PANGAEA.737135,1
MD95-2040,,0.29,1.28,,1.28,,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Voelker, A. H. L. and de Abreu, L.: A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal, and Vertical Gradients, Geophysical Monograph Series, 15–37, doi:10.1029/2010gm001021, 2011.",,https://doi.pangaea.de/10.1594/PANGAEA.737135,1
