/* DATA DESCRIPTION:
Citation:	Schönfeld, Joachim; Zahn, Rainer; de Abreu, Lucia (2003): (Fig. 2) Stable carbon isotope ratios of C. wuellerstorfi from sediment core MD95-2040. PANGAEA, https://doi.org/10.1594/PANGAEA.82051, 
	In supplement to: Schönfeld, J et al. (2003): Surface to deep water response to rapid climate changes at the western Iberian Margin. Global and Planetary Change, 36(4), 237-264, https://doi.org/10.1016/S0921-8181(02)00197-2
Project(s):	International Marine Global Change Study (IMAGES)
Coverage:	LATITUDE: 40.581833 * LONGITUDE: -9.861167
	DATE/TIME START: 1995-07-07T00:00:00 * DATE/TIME END: 1995-07-07T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.025 m * MAXIMUM DEPTH, sediment/rock: 11.905 m
Event(s):	MD95-2040 (MD952040) * LATITUDE: 40.581833 * LONGITUDE: -9.861167 * DATE/TIME: 1995-07-07T00:00:00 * ELEVATION: -2465.0 m * Recovery: 35 m * LOCATION: Porto Seamount * CAMPAIGN: MD101 (IMAGES I) (URI: hdl:10013/epic.37487.d001) * BASIS: Marion Dufresne (1995) (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * METHOD/DEVICE: Calypso Corer (CALYPSO) * COMMENT: XXIV Sections, core bent; section IIb jamed in the bent part of the core, recuperated in 1/2 liner
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Cibicidoides wuellerstorfi, δ13C [‰ PDB] (C. wuellerstorfi δ13C) * PI: Schönfeld, Joachim (jschoenfeld@geomar.de) * METHOD/DEVICE: Isotope ratio mass spectrometry (URI: https://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	112 data points
*/
Depth [m]	Age [ka BP]	C. wuellerstorfi δ13C [‰ PDB]
0.025	0.00000	0.96
0.145	1.07414	1.18
0.265	2.14828	1.02
0.385	3.22242	1.13
0.505	4.29656	0.86
0.625	5.37070	0.99
0.745	6.44484	0.82
0.865	7.51898	0.88
0.985	8.59312	1.01
1.105	9.66726	0.80
1.225	10.74140	0.74
1.345	11.67790	0.72
1.465	12.20130	0.57
1.585	12.92200	0.82
1.705	13.83980	0.79
1.825	14.68050	0.56
1.885	14.83060	0.46
1.915	14.90560	0.56
1.950	14.99320	0.67
1.975	15.05570	0.15
2.005	15.13070	0.73
2.035	15.20580	0.20
2.065	15.28080	0.63
2.095	15.35590	0.65
2.155	15.50590	0.45
2.185	15.58100	0.63
2.215	15.65600	0.03
2.245	15.70550	-0.07
2.275	15.75500	0.01
2.335	15.85400	-0.04
2.365	15.90350	0.06
2.395	15.95300	0.02
2.455	16.07450	0.15
2.485	16.13530	0.16
2.565	16.29740	-0.18
2.575	16.31760	-0.10
2.585	16.33790	-0.01
2.625	16.41890	-0.05
2.655	16.47970	-0.02
2.675	16.52020	-0.16
2.775	16.72270	0.07
2.885	17.19300	-0.05
2.965	17.50700	0.44
3.055	17.74100	0.59
3.085	17.86590	0.59
3.115	17.99080	0.66
3.175	18.24070	0.53
3.205	18.36560	0.63
3.235	18.49050	0.60
3.295	18.74030	0.47
3.355	18.99020	0.52
3.865	20.57790	0.42
3.985	20.94840	0.64
5.185	24.09900	0.30
5.305	24.36300	0.20
5.545	25.02190	0.31
5.905	25.91820	0.37
6.385	26.90030	0.46
6.505	27.18840	0.47
6.745	27.76460	0.28
7.345	30.57860	0.54
7.585	32.01310	0.55
7.705	32.73030	0.40
7.825	33.44760	0.83
7.945	34.16480	0.44
8.065	34.88210	0.63
8.185	35.60060	0.04
8.305	36.32290	0.61
8.345	36.56370	0.63
8.385	36.80450	0.67
8.425	37.04530	0.52
8.445	37.16570	0.49
8.475	37.34630	0.52
8.485	37.40650	0.68
8.505	37.52690	0.74
8.515	37.58710	0.35
8.575	37.94820	0.33
8.595	38.06860	0.18
8.605	38.12880	0.38
8.625	38.24920	0.49
8.635	38.30940	0.88
8.665	38.49000	0.33
8.675	38.54930	0.55
8.695	38.66780	0.16
8.765	39.08270	0.06
8.805	39.31970	0.19
8.815	39.37900	0.02
8.845	39.51680	0.59
8.865	39.60870	0.51
8.905	39.79250	0.69
8.935	39.93030	0.61
8.965	40.06810	0.39
8.975	40.11410	0.57
9.025	40.34400	0.54
9.055	40.48200	0.52
9.065	40.52800	0.57
9.105	40.71200	0.41
9.125	40.80400	0.49
9.165	40.98800	0.66
9.195	41.12600	0.48
9.275	41.49400	0.58
9.315	41.68460	0.54
9.625	43.25600	0.55
9.745	44.04400	0.63
9.865	44.87600	0.54
9.985	45.62910	0.36
10.705	51.57340	0.70
10.825	52.92670	0.24
10.945	54.95330	0.28
11.065	56.09430	0.60
11.185	56.94000	0.44
11.905	61.98220	0.31
