Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
MD95-2042,,0.245,963.0,1074.0,840.0,1171.0,763.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.25,981.0,1092.0,860.0,1186.0,784.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.26,1016.9999999999999,1127.0,900.0,1220.0,823.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.27,1053.0,1163.0,940.0,1258.0,858.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.28,1090.0,1200.0,978.0,1299.0,892.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.29,1124.0,1238.0,1012.9999999999999,1343.0,923.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.3,1160.0,1276.0,1048.0,1391.0,953.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.31,1195.0,1314.0,1082.0,1444.0,981.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.32,1230.0,1354.0,1114.0,1498.0,1008.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.33,1264.0,1395.0,1144.0,1549.0,1034.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.34,1299.0,1437.0,1173.0,1598.0,1060.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.35,1333.0,1478.0,1202.0,1644.0,1086.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.36,1367.0,1518.0,1232.0,1688.0,1110.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.37,1399.0,1555.0,1260.0,1724.0,1135.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.38,1433.0,1592.0,1287.0,1763.0,1160.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.39,1465.0,1626.0,1316.0,1800.0,1184.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.4,1497.0,1657.0,1346.0,1830.0,1208.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.41,1529.0,1688.0,1377.0,1859.0,1235.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.42,1562.0,1719.0,1410.0,1889.0,1263.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.43,1595.0,1749.0,1445.0,1923.0,1292.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.44,1630.0,1780.0,1483.0,1955.0,1326.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.45,1663.0,1811.0,1521.0,1988.0,1365.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.46,1697.0,1844.0,1560.0,2025.9999999999998,1405.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.47,1732.0,1878.0,1599.0,2063.0,1450.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.48,1767.0,1912.0,1637.0,2095.0,1497.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.49,1802.0,1947.0,1676.0,2128.0,1541.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.5,1838.0,1981.0,1713.0,2160.0,1587.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.51,1874.0,2017.0,1748.0,2192.0,1630.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.52,1909.0,2053.0,1783.0,2226.0,1669.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.53,1945.0,2091.0,1817.0,2256.0,1703.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.54,1982.0,2129.0,1849.0,2293.0,1735.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.55,2019.0000000000002,2166.0,1885.0,2331.0,1766.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.56,2057.0,2205.0,1924.0,2376.0,1803.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.57,2095.0,2245.0,1963.0,2427.0,1836.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.58,2133.0,2289.0,2000.0,2477.0,1864.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.59,2172.0,2332.0,2035.0000000000002,2523.0,1891.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.6,2210.0,2375.0,2070.0,2571.0,1919.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.61,2247.0,2417.0,2102.0,2620.0,1948.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.62,2285.0,2458.0,2135.0,2669.0,1974.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.63,2322.0,2501.0,2169.0,2716.0,2001.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.64,2359.0,2543.0,2201.0,2768.0,2027.0000000000002,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.65,2397.0,2586.0,2233.0,2820.0,2053.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.66,2433.0,2630.0,2265.0,2876.0,2077.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.67,2470.0,2672.0,2295.0,2933.0,2102.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.68,2507.0,2719.0,2325.0,2986.0,2128.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.69,2543.0,2762.0,2355.0,3035.0,2154.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.7,2579.0,2809.0,2384.0,3084.0,2177.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.71,2616.0,2851.0,2414.0,3124.0,2203.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.72,2652.0,2895.0,2444.0,3163.0,2229.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.73,2689.0,2938.0,2471.0,3204.0,2254.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.74,2724.0,2979.0,2499.0,3242.0,2278.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.75,2760.0,3017.0,2528.0,3276.0,2304.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.76,2796.0,3054.0,2557.0,3313.0,2330.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.77,2832.0,3089.0,2587.0,3343.0,2354.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.78,2867.0,3123.0,2617.0,3376.0,2387.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.79,2903.0,3156.0,2646.0,3402.0,2411.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.8,2939.0,3188.0,2678.0,3428.0,2440.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.81,2975.0,3219.0,2712.0,3452.0,2466.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.82,3011.0,3250.0,2747.0,3478.0,2496.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.83,3046.0,3280.0,2782.0,3505.0,2524.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.84,3084.0,3311.0,2821.0,3530.0,2552.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.85,3120.0,3341.0,2860.0,3552.0,2583.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.86,3157.0,3370.0,2902.0,3577.0,2613.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.87,3193.0,3400.0,2942.0,3603.0,2645.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.88,3230.0,3431.0,2985.0,3628.0,2676.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.89,3267.0,3462.0,3031.0,3654.0,2709.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.9,3304.0,3493.0,3076.0,3679.0,2749.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.91,3341.0,3522.0,3121.0,3706.0,2782.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.92,3378.0,3554.0,3168.0,3733.0,2823.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.93,3415.0,3586.0,3215.0,3761.0,2859.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.94,3451.0,3618.0,3262.0,3790.0,2898.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.95,3488.0,3651.0,3307.0,3818.0,2928.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.96,3525.0,3684.0,3353.0,3845.0,2960.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.97,3562.0,3718.0,3397.0,3872.0,2986.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.98,3600.0,3752.0,3439.0,3900.0,3013.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,0.99,3639.0,3788.0,3481.0,3930.0,3038.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,1.0,3677.0,3825.0,3521.0,3957.0,3068.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,1.01,3716.0,3862.0,3560.0,3988.0,3093.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,1.02,3755.0,3899.0,3597.0,4019.9999999999995,3117.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,1.03,3794.0,3937.0,3634.0,4057.0000000000005,3144.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,1.04,3832.0,3975.0,3670.0,4096.0,3169.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,1.05,3863.0,4006.0,3702.0,4130.0,3194.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,1.06,3889.0,4030.0000000000005,3730.0,4150.0,3221.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,1.07,3914.0,4056.0,3758.0,4171.0,3247.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,1.08,3939.0,4081.0000000000005,3784.0,4192.0,3280.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,1.09,3964.0,4106.0,3811.0,4217.0,3308.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,1.1,3990.0,4131.0,3836.0,4244.0,3345.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,1.11,4014.9999999999995,4157.0,3860.0,4276.0,3375.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,1.12,4038.9999999999995,4182.0,3885.0,4307.0,3408.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,1.13,4065.0000000000005,4209.0,3908.0,4345.0,3439.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,1.14,4089.0000000000005,4234.0,3931.0,4381.0,3477.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,1.15,4113.0,4260.0,3955.0,4417.0,3511.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,1.16,4137.0,4288.0,3977.0,4451.0,3548.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,1.17,4162.0,4314.0,4000.0,4492.0,3580.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,1.18,4185.0,4342.0,4021.0,4528.0,3618.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,1.19,4209.0,4371.0,4042.0,4564.0,3657.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
MD95-2042,,1.2,4232.0,4400.0,4064.0,4601.0,3698.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
