Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
MD95-2042,,,,0.0,0.0,,,,,,0.0,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,0.0,0.0,,,,,,0.0,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,0.0,0.0,,,,,,0.0,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,0.04,0.04,,,,,,0.04,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,0.04,0.04,,,,,,0.04,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,0.04,0.04,,,,,,0.04,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,0.2,0.2,,,,,,0.2,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,0.4,0.4,,,,,,0.4,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,0.6,0.6,,,,,,0.6,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,1.0,1.0,,,,,,1.0,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,1.2,1.2,,,,,,1.2,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,1.4,1.4,,,,,,1.4,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,1.6,1.6,,,,,,1.6,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,1.8,1.8,,,,,,1.8,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,2.0,2.0,,,,,,2.0,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,2.2,2.2,,,,,,2.2,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,2.4,2.4,,,,,,2.4,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,2.5,2.5,,,,,,2.5,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,2.6,2.6,,,,,,2.6,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,2.8,2.8,,,,,,2.8,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,3.0,3.0,,,,,,3.0,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,3.9,3.9,,,,,,3.9,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,4.0,4.0,,,,,,4.0,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,4.08,4.08,,,,,,4.08,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,4.1,4.1,,,,,,4.1,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,4.12,4.12,,,,,,4.12,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,4.16,4.16,,,,,,4.16,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,4.24,4.24,,,,,,4.24,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,4.28,4.28,,,,,,4.28,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,4.3,4.3,,,,,,4.3,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,4.48,4.48,,,,,,4.48,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,4.64,4.64,,,,,,4.64,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,4.88,4.88,,,,,,4.88,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,5.9,5.9,,,,,,5.9,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,6.0,6.0,,,,,,6.0,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,6.04,6.04,,,,,,6.04,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,6.12,6.12,,,,,,6.12,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,6.2,6.2,,,,,,6.2,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,6.24,6.24,,,,,,6.24,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,6.32,6.32,,,,,,6.32,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,6.36,6.36,,,,,,6.36,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,7.0,7.0,,,,,,7.0,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,7.08,7.08,,,,,,7.08,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,7.12,7.12,,,,,,7.12,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,8.1,8.1,,,,,,8.1,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,8.2,8.2,,,,,,8.2,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,8.28,8.28,,,,,,8.28,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,8.32,8.32,,,,,,8.32,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,8.6,8.6,,,,,,8.6,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,8.92,8.92,,,,,,8.92,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,9.0,9.0,,,,,,9.0,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,9.4,9.4,,,,,,9.4,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,9.52,9.52,,,,,,9.52,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,9.6,9.6,,,,,,9.6,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,10.0,10.0,,,,,,10.0,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,10.4,10.4,,,,,,10.4,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,10.48,10.48,,,,,,10.48,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,10.52,10.52,,,,,,10.52,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,10.56,10.56,,,,,,10.56,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,10.64,10.64,,,,,,10.64,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,11.04,11.04,,,,,,11.04,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,11.16,11.16,,,,,,11.16,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,11.2,11.2,,,,,,11.2,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,11.36,11.36,,,,,,11.36,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,11.52,11.52,,,,,,11.52,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,11.56,11.56,,,,,,11.56,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,11.6,11.6,,,,,,11.6,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,11.96,11.96,,,,,,11.96,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,12.0,12.0,,,,,,12.0,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,12.04,12.04,,,,,,12.04,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,12.08,12.08,,,,,,12.08,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,12.16,12.16,,,,,,12.16,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,12.2,12.2,,,,,,12.2,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,12.24,12.24,,,,,,12.24,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,12.32,12.32,,,,,,12.32,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,12.48,12.48,,,,,,12.48,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,12.5,12.5,,,,,,12.5,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,12.6,12.6,,,,,,12.6,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,12.64,12.64,,,,,,12.64,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,12.7,12.7,,,,,,12.7,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,12.72,12.72,,,,,,12.72,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,12.88,12.88,,,,,,12.88,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,13.0,13.0,,,,,,13.0,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,13.04,13.04,,,,,,13.04,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,13.08,13.08,,,,,,13.08,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,13.12,13.12,,,,,,13.12,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,13.16,13.16,,,,,,13.16,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,13.2,13.2,,,,,,13.2,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,13.24,13.24,,,,,,13.24,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,13.28,13.28,,,,,,13.28,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,13.4,13.4,,,,,,13.4,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,13.64,13.64,,,,,,13.64,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,13.76,13.76,,,,,,13.76,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,14.0,14.0,,,,,,14.0,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,14.16,14.16,,,,,,14.16,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,14.28,14.28,,,,,,14.28,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,14.32,14.32,,,,,,14.32,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,14.64,14.64,,,,,,14.64,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,14.68,14.68,,,,,,14.68,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,14.72,14.72,,,,,,14.72,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,14.76,14.76,,,,,,14.76,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,14.8,14.8,,,,,,14.8,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,14.8,14.8,,,,,,14.8,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,14.8,14.8,,,,,,14.8,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,14.84,14.84,,,,,,14.84,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,14.92,14.92,,,,,,14.92,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,15.04,15.04,,,,,,15.04,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,15.08,15.08,,,,,,15.08,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,15.12,15.12,,,,,,15.12,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,15.16,15.16,,,,,,15.16,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,15.28,15.28,,,,,,15.28,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,15.32,15.32,,,,,,15.32,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,15.36,15.36,,,,,,15.36,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,15.44,15.44,,,,,,15.44,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,15.52,15.52,,,,,,15.52,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,15.72,15.72,,,,,,15.72,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,15.84,15.84,,,,,,15.84,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,15.88,15.88,,,,,,15.88,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,16.04,16.04,,,,,,16.04,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,16.08,16.08,,,,,,16.08,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,16.12,16.12,,,,,,16.12,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,16.16,16.16,,,,,,16.16,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,16.24,16.24,,,,,,16.24,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,16.36,16.36,,,,,,16.36,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,16.4,16.4,,,,,,16.4,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,16.44,16.44,,,,,,16.44,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,16.48,16.48,,,,,,16.48,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,16.52,16.52,,,,,,16.52,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,16.56,16.56,,,,,,16.56,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,16.6,16.6,,,,,,16.6,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,16.64,16.64,,,,,,16.64,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,16.96,16.96,,,,,,16.96,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,17.0,17.0,,,,,,17.0,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,17.08,17.08,,,,,,17.08,depth model from Repschlaeger et al. 2021,
MD95-2042,,,,17.2,17.2,,,,,,17.2,depth model from Repschlaeger et al. 2021,
