Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
MD97-2120,,,0.995,3.2230000000000003,,,,,,Cibicidoides spp.,,Cibs,,,,,"Millo, C et al. (2006): Stable carbon and oxygen isotope ratios of foraminifera from Holocene sediments of the North Atlantic. doi:10.1594/PANGAEA.727694, ","Millo-etal_2006: ""GIK23519-4_stab-isotopes.xlsx""",,
MD97-2120,,,0.986,3.24,,,,,,Cibicidoides spp.,,Cibs,,,,,"Millo, C et al. (2006): Stable carbon and oxygen isotope ratios of foraminifera from Holocene sediments of the North Atlantic. doi:10.1594/PANGAEA.727694, ","Millo-etal_2006: ""GIK23519-4_stab-isotopes.xlsx""",,
MD97-2120,,,0.9540000000000001,3.141,,,,,,Cibicidoides spp.,,Cibs,,,,,"Millo, C et al. (2006): Stable carbon and oxygen isotope ratios of foraminifera from Holocene sediments of the North Atlantic. doi:10.1594/PANGAEA.727694, ","Millo-etal_2006: ""GIK23519-4_stab-isotopes.xlsx""",,
MD97-2120,,,0.97,3.1639999999999997,,,,,,Cibicidoides spp.,,Cibs,,,,,"Millo, C et al. (2006): Stable carbon and oxygen isotope ratios of foraminifera from Holocene sediments of the North Atlantic. doi:10.1594/PANGAEA.727694, ","Millo-etal_2006: ""GIK23519-4_stab-isotopes.xlsx""",,
MD97-2120,,,1.022,3.052,,,,,,Cibicidoides spp.,,Cibs,,,,,"Millo, C et al. (2006): Stable carbon and oxygen isotope ratios of foraminifera from Holocene sediments of the North Atlantic. doi:10.1594/PANGAEA.727694, ","Millo-etal_2006: ""GIK23519-4_stab-isotopes.xlsx""",,
MD97-2120,,,0.927,3.11,,,,,,Cibicidoides spp.,,Cibs,,,,,"Millo, C et al. (2006): Stable carbon and oxygen isotope ratios of foraminifera from Holocene sediments of the North Atlantic. doi:10.1594/PANGAEA.727694, ","Millo-etal_2006: ""GIK23519-4_stab-isotopes.xlsx""",,
MD97-2120,,,0.988,3.0239999999999996,,,,,,Cibicidoides spp.,,Cibs,,,,,"Millo, C et al. (2006): Stable carbon and oxygen isotope ratios of foraminifera from Holocene sediments of the North Atlantic. doi:10.1594/PANGAEA.727694, ","Millo-etal_2006: ""GIK23519-4_stab-isotopes.xlsx""",,
MD97-2120,,,0.985,3.197,,,,,,Cibicidoides spp.,,Cibs,,,,,"Millo, C et al. (2006): Stable carbon and oxygen isotope ratios of foraminifera from Holocene sediments of the North Atlantic. doi:10.1594/PANGAEA.727694, ","Millo-etal_2006: ""PS62_003-2_stab-isotopes.xlsx""",,
MD97-2120,,,1.058,3.158,,,,,,Cibicidoides spp.,,Cibs,,,,,"Millo, C et al. (2006): Stable carbon and oxygen isotope ratios of foraminifera from Holocene sediments of the North Atlantic. doi:10.1594/PANGAEA.727694, ","Millo-etal_2006: ""PS62_003-2_stab-isotopes.xlsx""",,
MD97-2120,,,1.0070000000000001,3.0789999999999997,,,,,,Cibicidoides spp.,,Cibs,,,,,"Millo, C et al. (2006): Stable carbon and oxygen isotope ratios of foraminifera from Holocene sediments of the North Atlantic. doi:10.1594/PANGAEA.727694, ","Millo-etal_2006: ""PS62_003-2_stab-isotopes.xlsx""",,
MD97-2120,,,1.0190000000000001,3.115,,,,,,Cibicidoides spp.,,Cibs,,,,,"Millo, C et al. (2006): Stable carbon and oxygen isotope ratios of foraminifera from Holocene sediments of the North Atlantic. doi:10.1594/PANGAEA.727694, ","Millo-etal_2006: ""PS62_003-2_stab-isotopes.xlsx""",,
MD97-2120,,,0.82,3.19,,,,,,Cibicidoides spp.,,Cibs,,,,,"Millo, C et al. (2006): Stable carbon and oxygen isotope ratios of foraminifera from Holocene sediments of the North Atlantic. doi:10.1594/PANGAEA.727694, ","Millo-etal_2006: ""PS62_003-2_stab-isotopes.xlsx""",,
MD97-2120,,,0.878,3.197,,,,,,Cibicidoides spp.,,Cibs,,,,,"Millo, C et al. (2006): Stable carbon and oxygen isotope ratios of foraminifera from Holocene sediments of the North Atlantic. doi:10.1594/PANGAEA.727694, ","Millo-etal_2006: ""PS62_003-2_stab-isotopes.xlsx""",,
MD97-2120,,,0.915,3.0639999999999996,,,,,,Cibicidoides spp.,,Cibs,,,,,"Millo, C et al. (2006): Stable carbon and oxygen isotope ratios of foraminifera from Holocene sediments of the North Atlantic. doi:10.1594/PANGAEA.727694, ","Millo-etal_2006: ""PS62_003-2_stab-isotopes.xlsx""",,
MD97-2120,,,0.973,3.1210000000000004,,,,,,Cibicidoides spp.,,Cibs,,,,,"Millo, C et al. (2006): Stable carbon and oxygen isotope ratios of foraminifera from Holocene sediments of the North Atlantic. doi:10.1594/PANGAEA.727694, ","Millo-etal_2006: ""PS62_003-2_stab-isotopes.xlsx""",,
MD97-2120,,,1.038,3.202,,,,,,Cibicidoides spp.,,Cibs,,,,,"Millo, C et al. (2006): Stable carbon and oxygen isotope ratios of foraminifera from Holocene sediments of the North Atlantic. doi:10.1594/PANGAEA.727694, ","Millo-etal_2006: ""PS62_003-2_stab-isotopes.xlsx""",,
MD97-2120,,,0.965,3.028,,,,,,Cibicidoides spp.,,Cibs,,,,,"Millo, C et al. (2006): Stable carbon and oxygen isotope ratios of foraminifera from Holocene sediments of the North Atlantic. doi:10.1594/PANGAEA.727694, ","Millo-etal_2006: ""PS62_003-2_stab-isotopes.xlsx""",,
MD97-2120,,,1.014,3.2710000000000004,,,,,,Cibicidoides spp.,,Cibs,,,,,"Millo, C et al. (2006): Stable carbon and oxygen isotope ratios of foraminifera from Holocene sediments of the North Atlantic. doi:10.1594/PANGAEA.727694, ","Millo-etal_2006: ""PS62_003-2_stab-isotopes.xlsx""",,
MD97-2120,,,1.0290000000000001,3.165,,,,,,Cibicidoides spp.,,Cibs,,,,,"Millo, C et al. (2006): Stable carbon and oxygen isotope ratios of foraminifera from Holocene sediments of the North Atlantic. doi:10.1594/PANGAEA.727694, ","Millo-etal_2006: ""PS62_003-2_stab-isotopes.xlsx""",,
MD97-2120,,,0.899,3.082,,,,,,Cibicidoides spp.,,Cibs,,,,,"Millo, C et al. (2006): Stable carbon and oxygen isotope ratios of foraminifera from Holocene sediments of the North Atlantic. doi:10.1594/PANGAEA.727694, ","Millo-etal_2006: ""PS62_003-2_stab-isotopes.xlsx""",,
MD97-2120,,,0.973,3.0380000000000003,,,,,,Cibicidoides spp.,,Cibs,,,,,"Millo, C et al. (2006): Stable carbon and oxygen isotope ratios of foraminifera from Holocene sediments of the North Atlantic. doi:10.1594/PANGAEA.727694, ","Millo-etal_2006: ""PS62_003-2_stab-isotopes.xlsx""",,
MD97-2120,,,1.044,3.202,,,,,,Cibicidoides spp.,,Cibs,,,,,"Millo, C et al. (2006): Stable carbon and oxygen isotope ratios of foraminifera from Holocene sediments of the North Atlantic. doi:10.1594/PANGAEA.727694, ","Millo-etal_2006: ""PS62_003-2_stab-isotopes.xlsx""",,
MD97-2120,,,1.028,3.1919999999999997,,,,,,Cibicidoides spp.,,Cibs,,,,,"Millo, C et al. (2006): Stable carbon and oxygen isotope ratios of foraminifera from Holocene sediments of the North Atlantic. doi:10.1594/PANGAEA.727694, ","Millo-etal_2006: ""PS62_003-2_stab-isotopes.xlsx""",,
