Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control,,
MD97-2121,,0.5,0.4,2.64,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,0.8,0.45,2.7,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,2.2,0.05,2.7,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,2.9,0.18,2.92,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,3.2,0.33,2.96,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,3.3,0.28,3.15,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,3.8,-0.15,2.93,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,3.9,-0.13,2.82,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,4.24,0.1,3.03,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,4.4,-0.37,3.33,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,4.6,-0.06,3.48,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,4.76,-0.26,3.59,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,4.9,-0.46,3.62,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,4.96,-0.38,3.4,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,5,-0.49,3.74,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,5.04,-0.33,3.71,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,5.08,-0.41,3.76,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,5.1,-0.08,3.73,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,5.16,-0.06,3.8,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,5.2,-0.15,3.58,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,5.28,-0.59,3.37,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,5.36,-0.29,3.7,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,5.44,-0.46,3.86,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,5.52,-0.61,3.67,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,5.6,-0.53,3.78,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,5.76,-0.63,4.19,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,5.84,-0.72,4.17,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,5.92,-0.47,4.17,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,6,-0.84,4.05,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,6.6,-1.22,4.36,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,6.9,-0.93,4.42,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,7.1,-0.82,4.45,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,7.2,-0.72,4.38,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,7.3,-0.91,4.64,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,7.8,-1.52,4.28,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
