Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
MD97-2138,,0.01,3220,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
MD97-2138,,0.1,4176.25,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
MD97-2138,,0.2,5238.75,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
MD97-2138,,0.3,6301.25,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
MD97-2138,,0.4,7363.75,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
MD97-2138,,0.5,8426.25,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
MD97-2138,,0.6,9488.75,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
MD97-2138,,0.7,10470,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
MD97-2138,,0.8,11370,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
MD97-2138,,0.9,12270,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
MD97-2138,,1,13170,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
MD97-2138,,1.1,13995.47,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
MD97-2138,,1.2,14812.66,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
MD97-2138,,1.3,15629.84,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
MD97-2138,,1.4,16447.03,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
MD97-2138,,1.51,17345.94,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
MD97-2138,,1.6,18081.41,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
MD97-2138,,1.7,18888.18,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
MD97-2138,,1.8,19684.55,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
MD97-2138,,1.9,20480.91,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
MD97-2138,,2,21277.27,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
MD97-2138,,2.1,22073.64,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
MD97-2138,,2.2,22870,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
MD97-2138,,2.3,23835,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
MD97-2138,,2.4,24800,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
MD97-2138,,2.5,25765,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
MD97-2138,,2.6,26730,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
MD97-2138,,2.7,27695,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
MD97-2138,,2.8,28660,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
