Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
MD97-2138,,,,0.01,0.01,,,,,,0.01,,
MD97-2138,,,,0.1,0.1,,,,,,0.1,,
MD97-2138,,,,0.2,0.2,,,,,,0.2,,
MD97-2138,,,,0.3,0.3,,,,,,0.3,,
MD97-2138,,,,0.4,0.4,,,,,,0.4,,
MD97-2138,,,,0.5,0.5,,,,,,0.5,,
MD97-2138,,,,0.6,0.6,,,,,,0.6,,
MD97-2138,,,,0.7,0.7,,,,,,0.7,,
MD97-2138,,,,0.8,0.8,,,,,,0.8,,
MD97-2138,,,,0.9,0.9,,,,,,0.9,,
MD97-2138,,,,1,1,,,,,,1,,
MD97-2138,,,,1.1,1.1,,,,,,1.1,,
MD97-2138,,,,1.2,1.2,,,,,,1.2,,
MD97-2138,,,,1.3,1.3,,,,,,1.3,,
MD97-2138,,,,1.4,1.4,,,,,,1.4,,
MD97-2138,,,,1.51,1.51,,,,,,1.51,,
MD97-2138,,,,1.6,1.6,,,,,,1.6,,
MD97-2138,,,,1.7,1.7,,,,,,1.7,,
MD97-2138,,,,1.8,1.8,,,,,,1.8,,
MD97-2138,,,,1.9,1.9,,,,,,1.9,,
MD97-2138,,,,2,2,,,,,,2,,
MD97-2138,,,,2.1,2.1,,,,,,2.1,,
MD97-2138,,,,2.2,2.2,,,,,,2.2,,
MD97-2138,,,,2.3,2.3,,,,,,2.3,,
MD97-2138,,,,2.4,2.4,,,,,,2.4,,
MD97-2138,,,,2.5,2.5,,,,,,2.5,,
MD97-2138,,,,2.6,2.6,,,,,,2.6,,
MD97-2138,,,,2.7,2.7,,,,,,2.7,,
MD97-2138,,,,2.8,2.8,,,,,,2.8,,
