Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
MD97-2138,,,,0.01,0.01,,,,,,0.01,depth model associated with Uvigerina data,
MD97-2138,,,,0.1,0.1,,,,,,0.1,depth model associated with Uvigerina data,
MD97-2138,,,,0.2,0.2,,,,,,0.2,depth model associated with Uvigerina data,
MD97-2138,,,,0.3,0.3,,,,,,0.3,depth model associated with Uvigerina data,
MD97-2138,,,,0.4,0.4,,,,,,0.4,depth model associated with Uvigerina data,
MD97-2138,,,,0.5,0.5,,,,,,0.5,depth model associated with Uvigerina data,
MD97-2138,,,,0.6,0.6,,,,,,0.6,depth model associated with Uvigerina data,
MD97-2138,,,,0.7000000000000001,0.7000000000000001,,,,,,0.7000000000000001,depth model associated with Uvigerina data,
MD97-2138,,,,0.8,0.8,,,,,,0.8,depth model associated with Uvigerina data,
MD97-2138,,,,0.9,0.9,,,,,,0.9,depth model associated with Uvigerina data,
MD97-2138,,,,1.0,1.0,,,,,,1.0,depth model associated with Uvigerina data,
MD97-2138,,,,1.1,1.1,,,,,,1.1,depth model associated with Uvigerina data,
MD97-2138,,,,1.2,1.2,,,,,,1.2,depth model associated with Uvigerina data,
MD97-2138,,,,1.3,1.3,,,,,,1.3,depth model associated with Uvigerina data,
MD97-2138,,,,1.4000000000000001,1.4000000000000001,,,,,,1.4000000000000001,depth model associated with Uvigerina data,
MD97-2138,,,,1.51,1.51,,,,,,1.51,depth model associated with Uvigerina data,
MD97-2138,,,,1.6,1.6,,,,,,1.6,depth model associated with Uvigerina data,
MD97-2138,,,,1.7,1.7,,,,,,1.7,depth model associated with Uvigerina data,
MD97-2138,,,,1.8,1.8,,,,,,1.8,depth model associated with Uvigerina data,
MD97-2138,,,,1.9000000000000001,1.9000000000000001,,,,,,1.9000000000000001,depth model associated with Uvigerina data,
MD97-2138,,,,2.0,2.0,,,,,,2.0,depth model associated with Uvigerina data,
MD97-2138,,,,2.1,2.1,,,,,,2.1,depth model associated with Uvigerina data,
MD97-2138,,,,2.2,2.2,,,,,,2.2,depth model associated with Uvigerina data,
MD97-2138,,,,2.3000000000000003,2.3000000000000003,,,,,,2.3000000000000003,depth model associated with Uvigerina data,
MD97-2138,,,,2.4,2.4,,,,,,2.4,depth model associated with Uvigerina data,
MD97-2138,,,,2.5,2.5,,,,,,2.5,depth model associated with Uvigerina data,
MD97-2138,,,,2.6,2.6,,,,,,2.6,depth model associated with Uvigerina data,
MD97-2138,,,,2.7,2.7,,,,,,2.7,depth model associated with Uvigerina data,
MD97-2138,,,,2.8000000000000003,2.8000000000000003,,,,,,2.8000000000000003,depth model associated with Uvigerina data,
