Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
MD97-2138,,0.01,0.44,2.53,,,,,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,d18O aligment,,,1
MD97-2138,,0.1,0.46,2.47,,,,,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,d18O aligment,,,1
MD97-2138,,0.2,0.39,2.53,,,,,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,d18O aligment,,,1
MD97-2138,,0.3,0.29,2.59,,,,,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,d18O aligment,,,1
MD97-2138,,0.4,0.31,2.72,,,,,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,d18O aligment,,,1
MD97-2138,,0.5,0.23,2.88,,,,,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,d18O aligment,,,1
MD97-2138,,0.6,0.18,2.87,,,,,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,d18O aligment,,,1
MD97-2138,,0.7,0.12,3.03,,,,,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,d18O aligment,,,1
MD97-2138,,0.8,0.17,3.15,,,,,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,d18O aligment,,,1
MD97-2138,,0.9,0.18,3.41,,,,,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,d18O aligment,,,1
MD97-2138,,1,0.12,3.62,,,,,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,d18O aligment,,,1
MD97-2138,,1.1,0.15,3.51,,,,,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,d18O aligment,,,1
MD97-2138,,1.2,0.06,4.23,,,,,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,d18O aligment,,,1
MD97-2138,,1.3,0.09,4.12,,,,,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,d18O aligment,,,1
MD97-2138,,1.4,0,4.11,,,,,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,d18O aligment,,,1
MD97-2138,,1.51,0.02,4.22,,,,,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,d18O aligment,,,1
MD97-2138,,1.6,0.02,4.25,,,,,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,d18O aligment,,,1
MD97-2138,,1.7,-0.06,4.27,,,,,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,d18O aligment,,,1
MD97-2138,,1.8,-0.12,4.34,,,,,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,d18O aligment,,,1
MD97-2138,,1.9,-0.21,4.48,,,,,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,d18O aligment,,,1
MD97-2138,,2,-0.01,4.45,,,,,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,d18O aligment,,,1
MD97-2138,,2.1,0.16,3.82,,,,,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,d18O aligment,,,1
MD97-2138,,2.2,0.09,4.08,,,,,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,d18O aligment,,,1
MD97-2138,,2.3,0.09,4.21,,,,,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,d18O aligment,,,1
MD97-2138,,2.4,0.03,4.13,,,,,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,d18O aligment,,,1
MD97-2138,,2.5,0,4.06,,,,,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,d18O aligment,,,1
MD97-2138,,2.6,0.02,4.21,,,,,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,d18O aligment,,,1
MD97-2138,,2.7,0.04,4.07,,,,,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,d18O aligment,,,1
MD97-2138,,2.8,0.03,4.02,,,,,,Cibicidoides wuellerstorfi,1,,,,,Age model calculated by Alan Mix,d18O aligment,,,1
