Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
MD97-2151,,0.035,0.084,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Chen (2003),,https://doi.pangaea.de/10.1594/PANGAEA.114672,1
MD97-2151,,0.115,0.20800000000000002,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Chen (2003),,https://doi.pangaea.de/10.1594/PANGAEA.114672,1
MD97-2151,,0.155,0.087,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Chen (2003),,https://doi.pangaea.de/10.1594/PANGAEA.114672,1
MD97-2151,,0.235,0.057999999999999996,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Chen (2003),,https://doi.pangaea.de/10.1594/PANGAEA.114672,1
MD97-2151,,0.275,0.188,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Chen (2003),,https://doi.pangaea.de/10.1594/PANGAEA.114672,1
MD97-2151,,0.315,0.223,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Chen (2003),,https://doi.pangaea.de/10.1594/PANGAEA.114672,1
MD97-2151,,0.355,0.019,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Chen (2003),,https://doi.pangaea.de/10.1594/PANGAEA.114672,1
MD97-2151,,0.435,0.064,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Chen (2003),,https://doi.pangaea.de/10.1594/PANGAEA.114672,1
MD97-2151,,0.475,0.085,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Chen (2003),,https://doi.pangaea.de/10.1594/PANGAEA.114672,1
MD97-2151,,0.515,-0.264,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Chen (2003),,https://doi.pangaea.de/10.1594/PANGAEA.114672,1
MD97-2151,,0.595,0.24600000000000002,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Chen (2003),,https://doi.pangaea.de/10.1594/PANGAEA.114672,1
MD97-2151,,0.715,0.22,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Chen (2003),,https://doi.pangaea.de/10.1594/PANGAEA.114672,1
MD97-2151,,0.755,0.258,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Chen (2003),,https://doi.pangaea.de/10.1594/PANGAEA.114672,1
MD97-2151,,0.835,0.154,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Chen (2003),,https://doi.pangaea.de/10.1594/PANGAEA.114672,1
MD97-2151,,0.865,0.177,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Chen (2003),,https://doi.pangaea.de/10.1594/PANGAEA.114672,1
MD97-2151,,0.915,0.207,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Chen (2003),,https://doi.pangaea.de/10.1594/PANGAEA.114672,1
MD97-2151,,0.955,0.159,,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation,Chen (2003),,https://doi.pangaea.de/10.1594/PANGAEA.114672,1
