Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
MD98-2181,,0.12,-32.0720329284668,,,240.05299377441406,-179.94700622558594,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD98-2181,,0.13,-25.531047821044922,,,247.22137451171875,-178.77862548828125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD98-2181,,0.14,-18.990079879760742,,,250.38975524902344,-176.61024475097656,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD98-2181,,0.15,-12.449092864990234,,,253.55813598632812,-175.44186401367188,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD98-2181,,0.16,-5.908114910125732,,,257.72650146484375,-173.2734832763672,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD98-2181,,0.17,0.6328620314598083,,,266.8948974609375,-171.1051025390625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD98-2181,,0.18,7.173825740814209,,,272.06329345703125,-169.9367218017578,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD98-2181,,0.19,13.71480941772461,,,277.2316589355469,-167.76834106445312,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD98-2181,,0.2,20.25579261779785,,,283.4000244140625,-166.5999755859375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD98-2181,,0.21,26.796754837036133,,,289.56842041015625,-164.4315948486328,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD98-2181,,0.22,33.33774185180664,,,294.7367858886719,-163.26321411132812,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD98-2181,,0.23,39.878692626953125,,,299.9051513671875,-161.09483337402344,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD98-2181,,0.24,46.41969680786133,,,303.07354736328125,-159.92645263671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD98-2181,,0.25,52.960670471191406,,,311.241943359375,-157.75807189941406,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
MD98-2181,,0.26,59.50168228149414,,,319.4103088378906,-156.58969116210938,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
