Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
MD99-2334,,0.14000000059604645,,,,,,,,,,3000.0,700.0,700.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD99-2334,,1.08,,,,10247.9,41.5,41.5,502.0,50.4,50.4,11132.0,137.0,329.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD99-2334,,1.3,,,,11110.0,50.0,50.0,597.0,29.1,29.1,12520.0,178.0,412.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD99-2334,,1.48,,,,12487.8,94.3,94.3,494.0,74.1,74.1,13872.0,254.0,344.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD99-2334,,1.56,,,,13002.599999999999,92.8,92.8,565.0,54.300000000000004,54.300000000000004,14597.0,448.0,451.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD99-2334,,1.98,,,,14173.0,58.4,58.4,658.0,64.8,64.8,16299.0,277.0,276.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD99-2334,,2.32,,,,15163.8,44.2,44.2,723.0,69.4,69.4,17617.0,271.0,254.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD99-2334,,2.91,,,,17750.9,50.1,50.1,733.0,69.8,69.8,20583.0,236.0,214.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD99-2334,,3.14,,,,19170.0,150.0,150.0,858.0,69.1,69.1,22234.0,319.0,369.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD99-2334,,3.39,,,,20724.699999999997,181.2,181.2,775.0,72.9,72.9,24016.0,532.0,597.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD99-2334,,3.46,,,,21160.0,190.0,190.0,828.0,81.4,81.4,24459.0,550.0,554.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD99-2334,,3.7,,,,22700.0,220.0,220.0,803.0,85.4,85.4,26198.0,682.0,419.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD99-2334,,3.94,,,,24785.0,216.70000000000002,216.70000000000002,764.0,71.4,71.4,28210.0,485.0,438.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD99-2334,,4.05,,,,25623.8,207.5,207.5,888.0,78.8,78.8,28975.0,613.0,452.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD99-2334,,4.22,,,,27110.0,310.0,310.0,799.0,100.5,100.5,30573.0,504.0,512.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
MD99-2334,,4.64,,,,30905.0,385.0,385.0,795.0,69.4,69.4,34632.0,723.0,696.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
