Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
MD99-2334,,0.015,223.0,384.0,102.0,455.0,6.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
MD99-2334,,0.02,247.0,406.0,128.0,473.0,32.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
MD99-2334,,0.03,290.0,439.0,171.0,508.0,76.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
MD99-2334,,0.04,328.99999999999994,471.00000000000006,212.0,553.9999999999999,115.99999999999999,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
MD99-2334,,0.05,368.0,503.0,251.0,615.0,151.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
MD99-2334,,0.06,406.0,539.0,287.0,682.9999999999999,184.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
MD99-2334,,0.07,444.0,577.0000000000001,322.0,757.0,218.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
MD99-2334,,0.08,481.00000000000006,615.0,355.0,834.0000000000001,249.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
MD99-2334,,0.09,518.0,657.0,387.0,910.0,276.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
MD99-2334,,0.1,552.9999999999999,696.0,419.0,981.0,304.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
MD99-2334,,0.11,584.0,733.0,451.0,1059.0000000000002,328.99999999999994,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
MD99-2334,,0.12,615.0,768.0,482.00000000000006,1133.0,354.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
MD99-2334,,0.13,645.9999999999999,800.9999999999999,514.0,1210.9999999999998,380.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
MD99-2334,,0.14,677.0,830.0,546.0,1288.0,410.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
MD99-2334,,0.15,707.0000000000001,862.0,581.0,1371.0,446.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
MD99-2334,,0.16,740.0,892.0,617.0,1454.0,487.00000000000006,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
MD99-2334,,0.17,773.0,922.9999999999999,655.0,1535.0,532.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
MD99-2334,,0.18,807.0,955.0,691.0,1615.0,582.0000000000001,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
MD99-2334,,0.19,842.0000000000001,989.0000000000001,728.0,1693.0,629.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
MD99-2334,,0.2,877.0,1024.0,762.0,1767.0,672.9999999999999,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
MD99-2334,,0.21,912.9999999999999,1061.0,795.0,1829.0,710.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
MD99-2334,,0.22,948.0,1100.0,827.0000000000001,1890.0,743.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
MD99-2334,,0.23,985.0,1141.0,859.0000000000001,1954.0,772.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
MD99-2334,,0.24,1051.0,1214.0,924.0,2013.0,824.0000000000001,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
MD99-2334,,0.25,1147.0,1313.0000000000002,1019.0000000000001,2068.0,912.9999999999999,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
MD99-2334,,0.26,1242.9999999999998,1424.0000000000002,1107.0,2124.0,989.0000000000001,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
