Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
MD99-2334,,,,0.14,0.14,,,,,,0.14,,
MD99-2334,,,,0.16,0.16,,,,,,0.16,,
MD99-2334,,,,0.24,0.24,,,,,,0.24,,
MD99-2334,,,,0.32,0.32,,,,,,0.32,,
MD99-2334,,,,0.36,0.36,,,,,,0.36,,
MD99-2334,,,,0.42,0.42,,,,,,0.42,,
MD99-2334,,,,0.48,0.48,,,,,,0.48,,
MD99-2334,,,,0.56,0.56,,,,,,0.56,,
MD99-2334,,,,0.64,0.64,,,,,,0.64,,
MD99-2334,,,,0.64,0.64,,,,,,0.64,,
MD99-2334,,,,0.72,0.72,,,,,,0.72,,
MD99-2334,,,,0.79,0.79,,,,,,0.79,,
MD99-2334,,,,0.8,0.8,,,,,,0.8,,
MD99-2334,,,,0.84,0.84,,,,,,0.84,,
MD99-2334,,,,0.84,0.84,,,,,,0.84,,
MD99-2334,,,,0.94,0.94,,,,,,0.94,,
MD99-2334,,,,1.0,1.0,,,,,,1.0,,
MD99-2334,,,,1.02,1.02,,,,,,1.02,,
MD99-2334,,,,1.04,1.04,,,,,,1.04,,
MD99-2334,,,,1.06,1.06,,,,,,1.06,,
MD99-2334,,,,1.1,1.1,,,,,,1.1,,
MD99-2334,,,,1.12,1.12,,,,,,1.12,,
MD99-2334,,,,1.13,1.13,,,,,,1.13,,
MD99-2334,,,,1.14,1.14,,,,,,1.14,,
MD99-2334,,,,1.16,1.16,,,,,,1.16,,
MD99-2334,,,,1.22,1.22,,,,,,1.22,,
MD99-2334,,,,1.26,1.26,,,,,,1.26,,
MD99-2334,,,,1.32,1.32,,,,,,1.32,,
MD99-2334,,,,1.34,1.34,,,,,,1.34,,
MD99-2334,,,,1.36,1.36,,,,,,1.36,,
MD99-2334,,,,1.38,1.38,,,,,,1.38,,
MD99-2334,,,,1.46,1.46,,,,,,1.46,,
MD99-2334,,,,1.48,1.48,,,,,,1.48,,
MD99-2334,,,,1.5,1.5,,,,,,1.5,,
MD99-2334,,,,1.56,1.56,,,,,,1.56,,
MD99-2334,,,,1.62,1.62,,,,,,1.62,,
MD99-2334,,,,1.66,1.66,,,,,,1.66,,
MD99-2334,,,,1.68,1.68,,,,,,1.68,,
MD99-2334,,,,1.84,1.84,,,,,,1.84,,
MD99-2334,,,,1.94,1.94,,,,,,1.94,,
MD99-2334,,,,2.08,2.08,,,,,,2.08,,
MD99-2334,,,,2.26,2.26,,,,,,2.26,,
MD99-2334,,,,2.3,2.3,,,,,,2.3,,
MD99-2334,,,,2.34,2.34,,,,,,2.34,,
MD99-2334,,,,2.4,2.4,,,,,,2.4,,
MD99-2334,,,,2.44,2.44,,,,,,2.44,,
MD99-2334,,,,2.5,2.5,,,,,,2.5,,
MD99-2334,,,,2.5,2.5,,,,,,2.5,,
MD99-2334,,,,2.54,2.54,,,,,,2.54,,
MD99-2334,,,,2.62,2.62,,,,,,2.62,,
MD99-2334,,,,2.7,2.7,,,,,,2.7,,
MD99-2334,,,,2.78,2.78,,,,,,2.78,,
MD99-2334,,,,2.78,2.78,,,,,,2.78,,
MD99-2334,,,,2.82,2.82,,,,,,2.82,,
MD99-2334,,,,2.9,2.9,,,,,,2.9,,
MD99-2334,,,,2.96,2.96,,,,,,2.96,,
MD99-2334,,,,2.98,2.98,,,,,,2.98,,
MD99-2334,,,,3.12,3.12,,,,,,3.12,,
MD99-2334,,,,3.18,3.18,,,,,,3.18,,
MD99-2334,,,,3.2,3.2,,,,,,3.2,,
MD99-2334,,,,3.22,3.22,,,,,,3.22,,
MD99-2334,,,,3.28,3.28,,,,,,3.28,,
MD99-2334,,,,3.32,3.32,,,,,,3.32,,
