Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
ME0005-24JC,,0.17500000000000002,2659.609130859375,,,2778.06005859375,2489.06005859375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.185,2835.31689453125,,,3028.384033203125,2611.384033203125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.195,3011.01953125,,,3270.477783203125,2682.477783203125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.20500000000000002,3186.720947265625,,,3548.57177734375,2732.57177734375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.215,3362.424560546875,,,3818.66552734375,2788.66552734375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.225,3538.125,,,4098.759765625,2843.759521484375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.23500000000000001,3713.8310546875,,,4383.853515625,2875.853515625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.245,3889.53515625,,,4663.947265625,2908.947265625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.255,4065.238525390625,,,4951.041015625,2944.041259765625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.265,4240.94189453125,,,5227.13525390625,3010.13525390625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.275,4416.646484375,,,5525.22900390625,3047.22900390625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.28500000000000003,4551.77783203125,,,5637.85791015625,3105.85791015625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.295,4682.80859375,,,5759.45068359375,3223.45068359375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.305,4813.8349609375,,,5894.0439453125,3315.043701171875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.315,4944.86572265625,,,6014.2001953125,3415.199951171875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.325,5075.892578125,,,6158.20263671875,3499.20263671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.335,5206.9296875,,,6325.623046875,3570.622802734375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.34500000000000003,5337.955078125,,,6498.4140625,3634.413818359375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.355,5468.98095703125,,,6688.65283203125,3708.65283203125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.365,5600.01318359375,,,6895.89208984375,3766.89208984375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.375,5731.03662109375,,,7106.130859375,3831.131103515625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.385,5871.66796875,,,7171.12255859375,4124.12255859375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.395,6014.44921875,,,7171.0087890625,4428.0087890625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.405,6157.236328125,,,7191.89453125,4761.89453125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.41500000000000004,6300.021484375,,,7202.7802734375,5067.7802734375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.425,6442.8095703125,,,7217.92529296875,5398.92529296875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.435,6585.59130859375,,,7234.4560546875,5719.4560546875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.445,6728.38623046875,,,7252.9873046875,6050.9873046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.455,6871.16455078125,,,7271.5185546875,6366.5185546875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.465,7013.94482421875,,,7301.04931640625,6676.04931640625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.47500000000000003,7156.73291015625,,,7347.580078125,6895.580078125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.485,7257.42138671875,,,7444.935546875,7027.935546875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.495,7342.125,,,7515.46875,7107.46875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.505,7426.81396484375,,,7661.8603515625,7153.8603515625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.515,7511.51171875,,,7821.8740234375,7185.8740234375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.525,7596.19384765625,,,7974.88720703125,7212.88720703125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.535,7680.89453125,,,8150.90087890625,7231.90087890625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.545,7765.58935546875,,,8291.9140625,7248.91455078125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.555,7850.2744140625,,,8467.927734375,7265.927734375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.5650000000000001,7934.9677734375,,,8635.94140625,7284.94140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ME0005-24JC,,0.5750000000000001,8019.65576171875,,,8803.955078125,7303.955078125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
