Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
ME0005-24JC,,0.42,4925.93,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,0.52,6098.77,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,0.62,7271.61,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,0.72,8444.44,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,0.82,9530.61,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,0.92,9836.73,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,1.02,10142.86,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,1.12,10448.98,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,1.22,10755.1,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,1.32,11075.68,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,1.42,11454.05,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,1.52,11832.43,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,1.62,12210.81,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,1.72,12589.19,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,1.82,12967.57,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,2.02,13724.32,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,2.12,14300,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,2.22,15020,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,2.32,15990,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,2.42,16440,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,2.52,16878.05,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,2.62,17268.29,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,2.82,18048.78,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,2.92,18445,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,3.02,18895,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,3.41,20650,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,3.51,21100,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,3.62,22069.31,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,3.72,22950.49,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,3.82,23831.68,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,3.92,24712.87,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,4.12,26475.25,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,4.22,27356.44,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,4.32,28237.62,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,4.42,29118.81,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,4.52,30000,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
ME0005-24JC,,4.62,30881.19,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
