Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
ME0005-24JC,,,0.08,2.79,,,,,,,,,,,,,"Dubois, N., M. Kienast, S. Kienast, C. Normandeau, S. E. Calvert, T. D. Herbert, and A. Mix (2011), Millennial-scale variations in hydrography and biogeochemistry in the Eastern Equatorial Pacific over the last 100 kyr, Quat. Sci. Rev., 30, 210-233, ","pahnke05sci: ""MD972120_forASchmittner.xlsx""",,
ME0005-24JC,,,-0.05,3.2,,,,,,Cibicidoides spp.,,Cib,,,,,"Dubois, N., M. Kienast, S. Kienast, C. Normandeau, S. E. Calvert, T. D. Herbert, and A. Mix (2011), Millennial-scale variations in hydrography and biogeochemistry in the Eastern Equatorial Pacific over the last 100 kyr, Quat. Sci. Rev., 30, 210-233, ","pahnke05sci: ""MD972120_forASchmittner.xlsx""",,
ME0005-24JC,,,-0.08,3.6,,,,,,Cibicidoides spp.,,Cib,,,,,"Dubois, N., M. Kienast, S. Kienast, C. Normandeau, S. E. Calvert, T. D. Herbert, and A. Mix (2011), Millennial-scale variations in hydrography and biogeochemistry in the Eastern Equatorial Pacific over the last 100 kyr, Quat. Sci. Rev., 30, 210-233, ","pahnke05sci: ""MD972120_forASchmittner.xlsx""",,
ME0005-24JC,,,-0.22,3.62,,,,,,Cibicidoides spp.,,Cib,,,,,"Dubois, N., M. Kienast, S. Kienast, C. Normandeau, S. E. Calvert, T. D. Herbert, and A. Mix (2011), Millennial-scale variations in hydrography and biogeochemistry in the Eastern Equatorial Pacific over the last 100 kyr, Quat. Sci. Rev., 30, 210-233, ","pahnke05sci: ""MD972120_forASchmittner.xlsx""",,
ME0005-24JC,,,-0.16,3.71,,,,,,Cibicidoides spp.,,Cib,,,,,"Dubois, N., M. Kienast, S. Kienast, C. Normandeau, S. E. Calvert, T. D. Herbert, and A. Mix (2011), Millennial-scale variations in hydrography and biogeochemistry in the Eastern Equatorial Pacific over the last 100 kyr, Quat. Sci. Rev., 30, 210-233, ","pahnke05sci: ""MD972120_forASchmittner.xlsx""",,
ME0005-24JC,,,-0.14,3.77,,,,,,Cibicidoides spp.,,Cib,,,,,"Dubois, N., M. Kienast, S. Kienast, C. Normandeau, S. E. Calvert, T. D. Herbert, and A. Mix (2011), Millennial-scale variations in hydrography and biogeochemistry in the Eastern Equatorial Pacific over the last 100 kyr, Quat. Sci. Rev., 30, 210-233, ","pahnke05sci: ""MD972120_forASchmittner.xlsx""",,
ME0005-24JC,,,-0.3,3.8,,,,,,Cibicidoides spp.,,Cib,,,,,"Dubois, N., M. Kienast, S. Kienast, C. Normandeau, S. E. Calvert, T. D. Herbert, and A. Mix (2011), Millennial-scale variations in hydrography and biogeochemistry in the Eastern Equatorial Pacific over the last 100 kyr, Quat. Sci. Rev., 30, 210-233, ","pahnke05sci: ""MD972120_forASchmittner.xlsx""",,
ME0005-24JC,,,-0.34,3.99,,,,,,Cibicidoides spp.,,Cib,,,,,"Dubois, N., M. Kienast, S. Kienast, C. Normandeau, S. E. Calvert, T. D. Herbert, and A. Mix (2011), Millennial-scale variations in hydrography and biogeochemistry in the Eastern Equatorial Pacific over the last 100 kyr, Quat. Sci. Rev., 30, 210-233, ","pahnke05sci: ""MD972120_forASchmittner.xlsx""",,
ME0005-24JC,,,-0.26,3.97,,,,,,Cibicidoides spp.,,Cib,,,,,"Dubois, N., M. Kienast, S. Kienast, C. Normandeau, S. E. Calvert, T. D. Herbert, and A. Mix (2011), Millennial-scale variations in hydrography and biogeochemistry in the Eastern Equatorial Pacific over the last 100 kyr, Quat. Sci. Rev., 30, 210-233, ","pahnke05sci: ""MD972120_forASchmittner.xlsx""",,
ME0005-24JC,,,-0.33,4.22,,,,,,Cibicidoides spp.,,Cib,,,,,"Dubois, N., M. Kienast, S. Kienast, C. Normandeau, S. E. Calvert, T. D. Herbert, and A. Mix (2011), Millennial-scale variations in hydrography and biogeochemistry in the Eastern Equatorial Pacific over the last 100 kyr, Quat. Sci. Rev., 30, 210-233, ","pahnke05sci: ""MD972120_forASchmittner.xlsx""",,
ME0005-24JC,,,-0.37,4.33,,,,,,Cibicidoides spp.,,Cib,,,,,"Dubois, N., M. Kienast, S. Kienast, C. Normandeau, S. E. Calvert, T. D. Herbert, and A. Mix (2011), Millennial-scale variations in hydrography and biogeochemistry in the Eastern Equatorial Pacific over the last 100 kyr, Quat. Sci. Rev., 30, 210-233, ","pahnke05sci: ""MD972120_forASchmittner.xlsx""",,
ME0005-24JC,,,-0.4,4.42,,,,,,Cibicidoides spp.,,Cib,,,,,"Dubois, N., M. Kienast, S. Kienast, C. Normandeau, S. E. Calvert, T. D. Herbert, and A. Mix (2011), Millennial-scale variations in hydrography and biogeochemistry in the Eastern Equatorial Pacific over the last 100 kyr, Quat. Sci. Rev., 30, 210-233, ","pahnke05sci: ""MD972120_forASchmittner.xlsx""",,
ME0005-24JC,,,-0.36,4.39,,,,,,Cibicidoides spp.,,Cib,,,,,"Dubois, N., M. Kienast, S. Kienast, C. Normandeau, S. E. Calvert, T. D. Herbert, and A. Mix (2011), Millennial-scale variations in hydrography and biogeochemistry in the Eastern Equatorial Pacific over the last 100 kyr, Quat. Sci. Rev., 30, 210-233, ","pahnke05sci: ""MD972120_forASchmittner.xlsx""",,
ME0005-24JC,,,-0.23,4.02,,,,,,Cibicidoides spp.,,Cib,,,,,"Dubois, N., M. Kienast, S. Kienast, C. Normandeau, S. E. Calvert, T. D. Herbert, and A. Mix (2011), Millennial-scale variations in hydrography and biogeochemistry in the Eastern Equatorial Pacific over the last 100 kyr, Quat. Sci. Rev., 30, 210-233, ","pahnke05sci: ""MD972120_forASchmittner.xlsx""",,
ME0005-24JC,,,-0.32,4.14,,,,,,Cibicidoides spp.,,Cib,,,,,"Dubois, N., M. Kienast, S. Kienast, C. Normandeau, S. E. Calvert, T. D. Herbert, and A. Mix (2011), Millennial-scale variations in hydrography and biogeochemistry in the Eastern Equatorial Pacific over the last 100 kyr, Quat. Sci. Rev., 30, 210-233, ","pahnke05sci: ""MD972120_forASchmittner.xlsx""",,
ME0005-24JC,,,-0.44,4.67,,,,,,Cibicidoides spp.,,Cib,,,,,"Dubois, N., M. Kienast, S. Kienast, C. Normandeau, S. E. Calvert, T. D. Herbert, and A. Mix (2011), Millennial-scale variations in hydrography and biogeochemistry in the Eastern Equatorial Pacific over the last 100 kyr, Quat. Sci. Rev., 30, 210-233, ","pahnke05sci: ""MD972120_forASchmittner.xlsx""",,
ME0005-24JC,,,-0.46,4.39,,,,,,Cibicidoides spp.,,Cib,,,,,"Dubois, N., M. Kienast, S. Kienast, C. Normandeau, S. E. Calvert, T. D. Herbert, and A. Mix (2011), Millennial-scale variations in hydrography and biogeochemistry in the Eastern Equatorial Pacific over the last 100 kyr, Quat. Sci. Rev., 30, 210-233, ","pahnke05sci: ""MD972120_forASchmittner.xlsx""",,
ME0005-24JC,,,-0.48,4.34,,,,,,Cibicidoides spp.,,Cib,,,,,"Dubois, N., M. Kienast, S. Kienast, C. Normandeau, S. E. Calvert, T. D. Herbert, and A. Mix (2011), Millennial-scale variations in hydrography and biogeochemistry in the Eastern Equatorial Pacific over the last 100 kyr, Quat. Sci. Rev., 30, 210-233, ","pahnke05sci: ""MD972120_forASchmittner.xlsx""",,
ME0005-24JC,,,-0.44,4.34,,,,,,Cibicidoides spp.,,Cib,,,,,"Dubois, N., M. Kienast, S. Kienast, C. Normandeau, S. E. Calvert, T. D. Herbert, and A. Mix (2011), Millennial-scale variations in hydrography and biogeochemistry in the Eastern Equatorial Pacific over the last 100 kyr, Quat. Sci. Rev., 30, 210-233, ","pahnke05sci: ""MD972120_forASchmittner.xlsx""",,
ME0005-24JC,,,-0.46,4.29,,,,,,Cibicidoides spp.,,Cib,,,,,"Dubois, N., M. Kienast, S. Kienast, C. Normandeau, S. E. Calvert, T. D. Herbert, and A. Mix (2011), Millennial-scale variations in hydrography and biogeochemistry in the Eastern Equatorial Pacific over the last 100 kyr, Quat. Sci. Rev., 30, 210-233, ","pahnke05sci: ""MD972120_forASchmittner.xlsx""",,
ME0005-24JC,,,-0.51,4.31,,,,,,Cibicidoides spp.,,Cib,,,,,"Dubois, N., M. Kienast, S. Kienast, C. Normandeau, S. E. Calvert, T. D. Herbert, and A. Mix (2011), Millennial-scale variations in hydrography and biogeochemistry in the Eastern Equatorial Pacific over the last 100 kyr, Quat. Sci. Rev., 30, 210-233, ","pahnke05sci: ""MD972120_forASchmittner.xlsx""",,
