Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
ME0005A-43JC,,0.01,-0.63,3.11,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,0.06,-0.85,3.28,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,0.11,-0.84,3.3,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,0.16,-0.74,3.28,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,0.21,-0.78,3.25,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,0.26,-0.8,3.21,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,0.31,-0.76,3.39,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,0.36,-0.63,3.33,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,0.41000000000000003,-0.78,3.41,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,0.46,-0.64,3.38,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,0.51,-0.57,3.24,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,0.56,-0.65,3.53,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,0.61,-0.68,3.14,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,0.66,-0.71,3.48,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,0.71,-0.71,3.53,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,0.81,-0.7,3.64,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,0.81,-0.55,3.75,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,0.86,-0.99,3.59,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,0.91,-0.86,3.74,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,0.96,-0.76,3.67,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,1.01,-0.67,3.99,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,1.06,-0.75,3.71,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,1.11,-0.95,4.25,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,1.16,-0.82,4.34,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,1.21,-0.92,4.17,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,1.26,-0.77,4.2,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,1.31,-1.2,4.48,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,1.36,-0.92,4.21,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,1.41,-0.94,4.79,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,1.46,-0.72,4.55,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,1.51,-0.89,4.84,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,1.56,-0.88,4.8,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,1.61,-1.07,5.05,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,1.6600000000000001,-0.78,4.93,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,1.71,-1.15,4.98,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,1.76,-1.12,4.87,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,1.81,-0.87,4.81,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,1.86,-1.14,4.82,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,1.96,-0.77,4.67,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,2.0100000000000002,-1.05,4.28,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,2.06,-1.02,5.03,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,2.11,-1.15,4.81,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,2.16,-1.16,4.69,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,2.21,-1.14,5.01,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,2.2600000000000002,-1.08,4.69,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,2.31,-1.0,4.71,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,2.36,-1.0,4.83,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,2.41,-1.13,4.85,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,2.46,-1.05,4.85,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,2.5100000000000002,-0.89,4.67,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,2.56,-0.99,4.92,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,2.61,-0.99,4.75,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,2.66,-1.07,4.88,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,2.71,-1.13,4.89,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,2.7600000000000002,-1.11,4.79,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,2.81,-1.11,4.8,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,2.86,-1.1,4.48,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,2.91,-1.09,4.73,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
ME0005A-43JC,,2.96,-0.92,4.66,,,,150,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
