Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
ML1208-31BB,,0.12,6461.5458984375,,,6689.68017578125,6257.68017578125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.13,6668.8583984375,,,7120.7236328125,6371.7236328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.14,6876.16650390625,,,7739.4267578125,6425.4267578125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.15,7083.47998046875,,,8390.130859375,6463.13037109375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.16,7252.6513671875,,,8520.611328125,6598.61181640625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.17,7421.80810546875,,,8643.6484375,6676.64892578125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.18,7590.9814453125,,,8805.9296875,6730.92919921875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.19,7829.8310546875,,,9023.9296875,6926.92919921875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.2,8068.67822265625,,,9283.9296875,7050.92919921875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.21,8307.525390625,,,9633.6142578125,7155.6142578125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.22,8479.2158203125,,,9715.13671875,7288.13623046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.23,8650.91015625,,,9822.658203125,7406.658203125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.24,8822.5966796875,,,9987.033203125,7507.03271484375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.25,9019.9765625,,,10162.564453125,7727.56494140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.26,9217.3486328125,,,10397.3974609375,7870.3974609375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.27,9414.7314453125,,,10740.23046875,7980.23046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.28,9646.548828125,,,10851.990234375,8232.990234375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.29,9878.359375,,,10964.751953125,8462.751953125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.3,10110.1728515625,,,11139.51171875,8551.51171875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.31,10326.626953125,,,11225.9365234375,8878.9365234375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.32,10543.0732421875,,,11319.291015625,9205.291015625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.33,10759.513671875,,,11532.02734375,9453.02734375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.34,10990.4453125,,,11562.4521484375,10092.4521484375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.35000000000000003,11221.376953125,,,11620.8779296875,10703.8779296875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.36,11452.302734375,,,11759.47265625,11225.47265625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.37,11779.994140625,,,12016.640625,11519.640625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.38,12107.67578125,,,12409.4326171875,11732.4326171875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.39,12435.3466796875,,,12838.8818359375,11876.8818359375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.4,12813.2490234375,,,12987.701171875,12732.701171875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.41000000000000003,13191.1513671875,,,13744.2900390625,12797.2900390625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.42,13569.0556640625,,,14656.7080078125,12858.7080078125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.43,14005.2734375,,,14880.892578125,13158.892578125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.44,14441.46484375,,,15358.1494140625,13321.1494140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.45,14877.662109375,,,16014.2734375,13419.2734375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.46,15284.13671875,,,16071.2705078125,14326.2705078125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.47000000000000003,15690.583984375,,,16131.9384765625,15163.9384765625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.48,16097.0341796875,,,16322.09765625,15838.09765625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.49,16378.611328125,,,16741.80078125,16046.8017578125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.5,16660.15234375,,,17256.08984375,16144.08984375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.51,16941.705078125,,,17765.765625,16224.7666015625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.52,17272.62890625,,,17911.50390625,16650.50390625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.53,17603.548828125,,,18118.8515625,16973.8515625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.54,17934.46484375,,,18497.974609375,17220.974609375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.55,18173.21875,,,18547.650390625,17773.650390625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.56,18411.994140625,,,18658.423828125,18195.423828125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.5700000000000001,18650.75,,,19030.71484375,18304.71484375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.58,18743.544921875,,,19114.611328125,18396.611328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.59,18836.30859375,,,19239.30859375,18458.30859375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.6,18929.060546875,,,19459.009765625,18481.009765625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.61,19028.671875,,,19536.8828125,18584.8828125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.62,19128.263671875,,,19652.087890625,18652.087890625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.63,19227.8671875,,,19796.29296875,18696.29296875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.64,19323.443359375,,,19853.5390625,18819.5390625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.65,19419.060546875,,,19905.654296875,18914.654296875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.66,19514.66015625,,,20021.76953125,18973.76953125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.67,19614.146484375,,,20076.884765625,19137.884765625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.68,19713.626953125,,,20130.236328125,19253.236328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.6900000000000001,19813.0859375,,,20233.4140625,19318.4140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.7000000000000001,19920.365234375,,,20294.806640625,19546.806640625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.71,20027.642578125,,,20335.822265625,19747.822265625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.72,20134.92578125,,,20421.482421875,19853.482421875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.73,20619.583984375,,,21437.6953125,20053.6953125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.74,21104.244140625,,,22664.478515625,20154.478515625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.75,21588.876953125,,,23885.26171875,20225.26171875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.76,22053.1640625,,,24149.88671875,20625.88671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.77,22517.43359375,,,24450.673828125,20795.673828125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.78,22981.70703125,,,25052.462890625,20921.462890625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.79,23553.421875,,,25221.400390625,21879.400390625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.8,24125.103515625,,,25532.87109375,22263.87109375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.81,24696.806640625,,,26139.341796875,22597.341796875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.8200000000000001,25189.501953125,,,26212.982421875,23783.982421875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
ML1208-31BB,,0.8300000000000001,25682.158203125,,,26295.62109375,24936.62109375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
