Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
ML1208-31BB,,,,0.0,0.0,,,,,,0.0,,
ML1208-31BB,,,,0.0,0.0,,,,,,0.0,,
ML1208-31BB,,,,0.0,0.0,,,,,,0.0,,
ML1208-31BB,,,,0.0,0.0,,,,,,0.0,,
ML1208-31BB,,,,0.04,0.04,,,,,,0.04,,
ML1208-31BB,,,,0.04,0.04,,,,,,0.04,,
ML1208-31BB,,,,0.04,0.04,,,,,,0.04,,
ML1208-31BB,,,,0.12,0.12,,,,,,0.12,,
ML1208-31BB,,,,0.12,0.12,,,,,,0.12,,
ML1208-31BB,,,,0.12,0.12,,,,,,0.12,,
ML1208-31BB,,,,0.2,0.2,,,,,,0.2,,
ML1208-31BB,,,,0.2,0.2,,,,,,0.2,,
ML1208-31BB,,,,0.2,0.2,,,,,,0.2,,
ML1208-31BB,,,,0.2,0.2,,,,,,0.2,,
ML1208-31BB,,,,0.32,0.32,,,,,,0.32,,
ML1208-31BB,,,,0.32,0.32,,,,,,0.32,,
ML1208-31BB,,,,0.32,0.32,,,,,,0.32,,
ML1208-31BB,,,,0.32,0.32,,,,,,0.32,,
ML1208-31BB,,,,0.36,0.36,,,,,,0.36,,
ML1208-31BB,,,,0.36,0.36,,,,,,0.36,,
ML1208-31BB,,,,0.36,0.36,,,,,,0.36,,
ML1208-31BB,,,,0.36,0.36,,,,,,0.36,,
ML1208-31BB,,,,0.4,0.4,,,,,,0.4,,
ML1208-31BB,,,,0.4,0.4,,,,,,0.4,,
ML1208-31BB,,,,0.4,0.4,,,,,,0.4,,
ML1208-31BB,,,,0.4,0.4,,,,,,0.4,,
ML1208-31BB,,,,0.44,0.44,,,,,,0.44,,
ML1208-31BB,,,,0.44,0.44,,,,,,0.44,,
ML1208-31BB,,,,0.44,0.44,,,,,,0.44,,
ML1208-31BB,,,,0.44,0.44,,,,,,0.44,,
ML1208-31BB,,,,0.48,0.48,,,,,,0.48,,
ML1208-31BB,,,,0.48,0.48,,,,,,0.48,,
ML1208-31BB,,,,0.48,0.48,,,,,,0.48,,
ML1208-31BB,,,,0.48,0.48,,,,,,0.48,,
ML1208-31BB,,,,0.52,0.52,,,,,,0.52,,
ML1208-31BB,,,,0.52,0.52,,,,,,0.52,,
ML1208-31BB,,,,0.52,0.52,,,,,,0.52,,
