Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
NA87-22,,0.01,437.0,557.0,301.0,639.0,103.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.02,449.0,571.0,306.0,653.0,80.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.03,470.0,587.0,333.0,664.0,125.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.04,491.0,604.0,357.0,678.0,165.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.05,511.0,620.0,381.0,694.0,203.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.06,531.0,636.0,403.0,717.0,238.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.07,551.0,651.0,426.0,743.0,269.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.08,569.0,665.0,447.0,770.0,296.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.09,586.0,680.0,469.0,797.0,321.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.1,602.0,695.0,490.0,828.0,347.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.11,618.0,711.0,511.0,862.0,373.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.12,633.0,727.0,530.0,897.0,401.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.13,649.0,744.0,551.0,932.0,428.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.14,665.0,762.0,573.0,967.0,460.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.15,681.0,781.0,596.0,1004.0,493.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.16,699.0,799.0,618.0,1039.0,524.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.17,717.0,820.0,638.0,1079.0,547.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.18,737.0,841.0,656.0,1120.0,564.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.19,755.0,864.0,673.0,1158.0,577.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.2,774.0,887.0,689.0,1196.0,584.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.21,807.0,922.0,719.0,1234.0,630.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.22,853.0,965.0,765.0,1271.0,683.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.23,900.0,1010.0,808.0,1306.0,724.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.24,947.0,1057.0,849.0,1341.0,764.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.25,992.0,1109.0,889.0,1379.0,799.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.26,1036.0,1162.0,927.0,1419.0,829.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.27,1080.0,1217.0,965.0,1468.0,861.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.28,1124.0,1272.0,1002.0,1514.0,892.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.29,1167.0,1327.0,1038.0,1564.0,920.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.3,1209.0,1380.0,1072.0,1610.0,948.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.31,1252.0,1434.0,1107.0,1657.0,974.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.32,1296.0,1483.0,1142.0,1696.0,1002.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.33,1338.0,1531.0,1176.0,1732.0,1029.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.34,1381.0,1574.0,1210.0,1768.0,1054.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.35,1423.0,1612.0,1246.0,1800.0,1079.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.36,1464.0,1650.0,1282.0,1831.0,1109.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
NA87-22,,0.37,1507.0,1688.0,1320.0,1861.0,1136.0,3,Age model from Waelbroeck et al. (2019) IntCal20,,1
