Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
NEAP-04K,,0.085,,,,895.0,44.0,44.0,809.0,50.9,50.9,135.0,144.0,129.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
NEAP-04K,,0.365,,,,1820.0,60.0,60.0,715.0,51.0,51.0,1027.0,218.0,227.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
NEAP-04K,,0.515,,,,2889.0,40.0,40.0,734.0,50.9,50.9,2159.0,169.0,165.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
NEAP-04K,,0.665,,,,3488.0,37.0,37.0,657.0,51.7,51.7,2947.0,199.0,166.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
NEAP-04K,,0.765,,,,4270.0,70.0,70.0,667.0,54.300000000000004,54.300000000000004,3913.0,238.0,267.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
NEAP-04K,,0.995,,,,5233.0,48.0,48.0,721.0,54.1,54.1,5151.0,287.0,269.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
NEAP-04K,,1.155,,,,6149.0,67.0,67.0,778.0,56.2,56.2,6140.0,164.0,202.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
NEAP-04K,,1.215,,,,6868.0,59.0,59.0,749.0,50.8,50.8,7005.0,236.0,213.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
NEAP-04K,,1.295,,,,7811.0,55.0,55.0,794.0,53.699999999999996,53.699999999999996,7837.0,132.0,151.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
NEAP-04K,,1.365,,,,8180.0,80.0,80.0,746.0,53.199999999999996,53.199999999999996,8233.0,157.0,201.9999999999991,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
NEAP-04K,,1.485,,,,8633.0,49.0,49.0,653.0,55.0,55.0,8828.0,184.0,224.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
NEAP-04K,,1.625,,,,9200.0,80.0,80.0,710.0,57.1,57.1,9470.0,222.0,322.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
NEAP-04K,,1.815,,,,11480.0,90.0,90.0,1148.0,527.9000000000001,527.9000000000001,12003.0,1284.0,1408.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
NEAP-04K,,1.940000057220459,,,,,,,,,,15000.0,1020.0,1020.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
NEAP-04K,,2.0399999618530273,,,,,,,,,,18000.0,1500.0,1500.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
NEAP-04K,,2.1600000858306885,,,,,,,,,,23000.0,1940.0,1940.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
NEAP-04K,,2.240000009536743,,,,,,,,,,26000.0,2000.0,2000.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
