Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
NEAP-04K,,,,0.0,0.0,,,,,,0.0,depth model from Jonkers et al. 2020,
NEAP-04K,,,,0.12,0.12,,,,,,0.12,depth model from Jonkers et al. 2020,
NEAP-04K,,,,0.24,0.24,,,,,,0.24,depth model from Jonkers et al. 2020,
NEAP-04K,,,,0.48,0.48,,,,,,0.48,depth model from Jonkers et al. 2020,
NEAP-04K,,,,0.6,0.6,,,,,,0.6,depth model from Jonkers et al. 2020,
NEAP-04K,,,,0.72,0.72,,,,,,0.72,depth model from Jonkers et al. 2020,
NEAP-04K,,,,0.84,0.84,,,,,,0.84,depth model from Jonkers et al. 2020,
NEAP-04K,,,,1.0,1.0,,,,,,1.0,depth model from Jonkers et al. 2020,
NEAP-04K,,,,1.02,1.02,,,,,,1.02,depth model from Jonkers et al. 2020,
NEAP-04K,,,,1.08,1.08,,,,,,1.08,depth model from Jonkers et al. 2020,
NEAP-04K,,,,1.1,1.1,,,,,,1.1,depth model from Jonkers et al. 2020,
NEAP-04K,,,,1.22,1.22,,,,,,1.22,depth model from Jonkers et al. 2020,
NEAP-04K,,,,1.28,1.28,,,,,,1.28,depth model from Jonkers et al. 2020,
NEAP-04K,,,,1.42,1.42,,,,,,1.42,depth model from Jonkers et al. 2020,
NEAP-04K,,,,1.46,1.46,,,,,,1.46,depth model from Jonkers et al. 2020,
NEAP-04K,,,,1.54,1.54,,,,,,1.54,depth model from Jonkers et al. 2020,
NEAP-04K,,,,1.64,1.64,,,,,,1.64,depth model from Jonkers et al. 2020,
NEAP-04K,,,,1.66,1.66,,,,,,1.66,depth model from Jonkers et al. 2020,
NEAP-04K,,,,1.68,1.68,,,,,,1.68,depth model from Jonkers et al. 2020,
NEAP-04K,,,,1.7,1.7,,,,,,1.7,depth model from Jonkers et al. 2020,
NEAP-04K,,,,1.72,1.72,,,,,,1.72,depth model from Jonkers et al. 2020,
NEAP-04K,,,,1.74,1.74,,,,,,1.74,depth model from Jonkers et al. 2020,
NEAP-04K,,,,1.76,1.76,,,,,,1.76,depth model from Jonkers et al. 2020,
NEAP-04K,,,,1.78,1.78,,,,,,1.78,depth model from Jonkers et al. 2020,
NEAP-04K,,,,1.8,1.8,,,,,,1.8,depth model from Jonkers et al. 2020,
NEAP-04K,,,,1.82,1.82,,,,,,1.82,depth model from Jonkers et al. 2020,
NEAP-04K,,,,1.84,1.84,,,,,,1.84,depth model from Jonkers et al. 2020,
NEAP-04K,,,,1.86,1.86,,,,,,1.86,depth model from Jonkers et al. 2020,
NEAP-04K,,,,1.88,1.88,,,,,,1.88,depth model from Jonkers et al. 2020,
NEAP-04K,,,,1.9,1.9,,,,,,1.9,depth model from Jonkers et al. 2020,
NEAP-04K,,,,1.92,1.92,,,,,,1.92,depth model from Jonkers et al. 2020,
NEAP-04K,,,,1.94,1.94,,,,,,1.94,depth model from Jonkers et al. 2020,
NEAP-04K,,,,1.96,1.96,,,,,,1.96,depth model from Jonkers et al. 2020,
NEAP-04K,,,,1.98,1.98,,,,,,1.98,depth model from Jonkers et al. 2020,
NEAP-04K,,,,2.0,2.0,,,,,,2.0,depth model from Jonkers et al. 2020,
NEAP-04K,,,,2.02,2.02,,,,,,2.02,depth model from Jonkers et al. 2020,
NEAP-04K,,,,2.04,2.04,,,,,,2.04,depth model from Jonkers et al. 2020,
NEAP-04K,,,,2.06,2.06,,,,,,2.06,depth model from Jonkers et al. 2020,
NEAP-04K,,,,2.08,2.08,,,,,,2.08,depth model from Jonkers et al. 2020,
NEAP-04K,,,,2.1,2.1,,,,,,2.1,depth model from Jonkers et al. 2020,
NEAP-04K,,,,2.12,2.12,,,,,,2.12,depth model from Jonkers et al. 2020,
NEAP-04K,,,,2.14,2.14,,,,,,2.14,depth model from Jonkers et al. 2020,
NEAP-04K,,,,2.16,2.16,,,,,,2.16,depth model from Jonkers et al. 2020,
NEAP-04K,,,,2.18,2.18,,,,,,2.18,depth model from Jonkers et al. 2020,
NEAP-04K,,,,2.2,2.2,,,,,,2.2,depth model from Jonkers et al. 2020,
NEAP-04K,,,,2.22,2.22,,,,,,2.22,depth model from Jonkers et al. 2020,
NEAP-04K,,,,2.24,2.24,,,,,,2.24,depth model from Jonkers et al. 2020,
