Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
NEAP-04K,,0,1.67,2.47,1.67,2.47,,250,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Rickaby, R. E. M. and Elderfield, H.: Evidence from the high-latitude North Atlantic for variations in Antarctic Intermediate water flow during the last deglaciation, Geochemistry, Geophysics, Geosystems, 6(5), n/a–n/a, doi:10.1029/2004gc000858, 2005.",,https://doi.pangaea.de/10.1594/PANGAEA.832162,1
NEAP-04K,,0.12,1.5,2.75,1.5,2.75,,250,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Rickaby, R. E. M. and Elderfield, H.: Evidence from the high-latitude North Atlantic for variations in Antarctic Intermediate water flow during the last deglaciation, Geochemistry, Geophysics, Geosystems, 6(5), n/a–n/a, doi:10.1029/2004gc000858, 2005.",,https://doi.pangaea.de/10.1594/PANGAEA.832162,1
NEAP-04K,,0.24,1.42,2.65,1.42,2.65,,250,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Rickaby, R. E. M. and Elderfield, H.: Evidence from the high-latitude North Atlantic for variations in Antarctic Intermediate water flow during the last deglaciation, Geochemistry, Geophysics, Geosystems, 6(5), n/a–n/a, doi:10.1029/2004gc000858, 2005.",,https://doi.pangaea.de/10.1594/PANGAEA.832162,1
NEAP-04K,,0.48,1.47,2.8,1.47,2.8,,250,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Rickaby, R. E. M. and Elderfield, H.: Evidence from the high-latitude North Atlantic for variations in Antarctic Intermediate water flow during the last deglaciation, Geochemistry, Geophysics, Geosystems, 6(5), n/a–n/a, doi:10.1029/2004gc000858, 2005.",,https://doi.pangaea.de/10.1594/PANGAEA.832162,1
NEAP-04K,,0.6,1.55,2.57,1.55,2.57,,250,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Rickaby, R. E. M. and Elderfield, H.: Evidence from the high-latitude North Atlantic for variations in Antarctic Intermediate water flow during the last deglaciation, Geochemistry, Geophysics, Geosystems, 6(5), n/a–n/a, doi:10.1029/2004gc000858, 2005.",,https://doi.pangaea.de/10.1594/PANGAEA.832162,1
NEAP-04K,,0.72,1.42,2.62,1.42,2.62,,250,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Rickaby, R. E. M. and Elderfield, H.: Evidence from the high-latitude North Atlantic for variations in Antarctic Intermediate water flow during the last deglaciation, Geochemistry, Geophysics, Geosystems, 6(5), n/a–n/a, doi:10.1029/2004gc000858, 2005.",,https://doi.pangaea.de/10.1594/PANGAEA.832162,1
NEAP-04K,,0.84,1.41,2.67,1.41,2.67,,250,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Rickaby, R. E. M. and Elderfield, H.: Evidence from the high-latitude North Atlantic for variations in Antarctic Intermediate water flow during the last deglaciation, Geochemistry, Geophysics, Geosystems, 6(5), n/a–n/a, doi:10.1029/2004gc000858, 2005.",,https://doi.pangaea.de/10.1594/PANGAEA.832162,1
NEAP-04K,,1,1.46,2.62,1.46,2.62,,250,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Rickaby, R. E. M. and Elderfield, H.: Evidence from the high-latitude North Atlantic for variations in Antarctic Intermediate water flow during the last deglaciation, Geochemistry, Geophysics, Geosystems, 6(5), n/a–n/a, doi:10.1029/2004gc000858, 2005.",,https://doi.pangaea.de/10.1594/PANGAEA.832162,1
NEAP-04K,,1.02,1.38,2.42,1.38,2.42,,250,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Rickaby, R. E. M. and Elderfield, H.: Evidence from the high-latitude North Atlantic for variations in Antarctic Intermediate water flow during the last deglaciation, Geochemistry, Geophysics, Geosystems, 6(5), n/a–n/a, doi:10.1029/2004gc000858, 2005.",,https://doi.pangaea.de/10.1594/PANGAEA.832162,1
NEAP-04K,,1.08,1.43,2.61,1.43,2.61,,250,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Rickaby, R. E. M. and Elderfield, H.: Evidence from the high-latitude North Atlantic for variations in Antarctic Intermediate water flow during the last deglaciation, Geochemistry, Geophysics, Geosystems, 6(5), n/a–n/a, doi:10.1029/2004gc000858, 2005.",,https://doi.pangaea.de/10.1594/PANGAEA.832162,1
NEAP-04K,,1.1,1.41,2.52,1.41,2.52,,250,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Rickaby, R. E. M. and Elderfield, H.: Evidence from the high-latitude North Atlantic for variations in Antarctic Intermediate water flow during the last deglaciation, Geochemistry, Geophysics, Geosystems, 6(5), n/a–n/a, doi:10.1029/2004gc000858, 2005.",,https://doi.pangaea.de/10.1594/PANGAEA.832162,1
