Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
OCE205-2-100GGC,,0.07,625.2708740234375,,,726.6629638671875,546.6629638671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OCE205-2-100GGC,,0.08,733.0346069335938,,,894.2880249023438,582.2880249023438,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OCE205-2-100GGC,,0.09,840.798828125,,,1105.68408203125,600.6840209960938,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OCE205-2-100GGC,,0.1,948.5619506835938,,,1334.080078125,621.080078125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OCE205-2-100GGC,,0.11,1056.3260498046875,,,1573.47607421875,636.47607421875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OCE205-2-100GGC,,0.12,1164.0906982421875,,,1797.8720703125,651.8720703125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OCE205-2-100GGC,,0.13,1299.22314453125,,,1854.8560791015625,870.8560791015625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OCE205-2-100GGC,,0.14,1437.3958740234375,,,1882.5721435546875,1098.5721435546875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OCE205-2-100GGC,,0.15,1575.570556640625,,,1919.286376953125,1309.286376953125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OCE205-2-100GGC,,0.16,1713.74560546875,,,1973.560302734375,1517.560302734375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OCE205-2-100GGC,,0.17,1851.9180908203125,,,2046.8343505859375,1667.8343505859375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OCE205-2-100GGC,,0.18,1944.9190673828125,,,2143.137939453125,1762.137939453125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OCE205-2-100GGC,,0.19,2026.62841796875,,,2276.9443359375,1793.9442138671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OCE205-2-100GGC,,0.2,2108.336669921875,,,2411.563720703125,1822.563720703125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OCE205-2-100GGC,,0.21,2190.044189453125,,,2568.18310546875,1846.1832275390625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OCE205-2-100GGC,,0.22,2271.753662109375,,,2734.802734375,1866.802734375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OCE205-2-100GGC,,0.23,2344.7822265625,,,2799.560546875,1933.5606689453125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OCE205-2-100GGC,,0.24,2414.0908203125,,,2833.520751953125,1994.520751953125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OCE205-2-100GGC,,0.25,2483.398681640625,,,2871.974609375,2042.9744873046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OCE205-2-100GGC,,0.26,2552.711181640625,,,2916.176513671875,2082.176513671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OCE205-2-100GGC,,0.27,2622.02001953125,,,2985.37841796875,2119.37841796875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OCE205-2-100GGC,,0.28,2701.627197265625,,,3036.853271484375,2266.853271484375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OCE205-2-100GGC,,0.29,2788.093505859375,,,3071.52685546875,2473.52685546875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OCE205-2-100GGC,,0.3,2874.564453125,,,3115.623046875,2670.623046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OCE205-2-100GGC,,0.31,2961.03955078125,,,3170.870849609375,2787.870849609375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OCE205-2-100GGC,,0.32,3047.50634765625,,,3296.080078125,2844.080078125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
