Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
OCE205-2-100GGC,,0.075,598.0,665.0,531.0,727.0,463.99999999999994,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.08,653.0,721.0,584.0,790.0,516.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.09,764.0,849.0000000000001,688.0,951.0,611.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.1,875.9999999999999,988.0,782.0,1141.0,692.0000000000001,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.11,986.0,1130.0,868.0,1308.0,767.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.12,1095.0,1255.0,954.0000000000001,1422.0,834.0000000000001,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.13,1205.0,1359.0,1045.0,1507.0,902.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.14,1315.0,1458.0000000000002,1158.0,1591.0,992.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.15,1430.0,1557.0,1288.0,1681.0,1100.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.16,1545.0,1666.0,1416.0,1781.0,1210.9999999999998,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.17,1662.0,1786.0,1533.0000000000002,1896.9999999999998,1299.0000000000002,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.18,1761.9999999999998,1884.0000000000002,1631.0,1990.9999999999998,1372.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.19,1843.0000000000002,1962.0,1715.0,2070.9999999999995,1450.9999999999998,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.2,1923.0,2044.0,1793.0000000000002,2167.0,1538.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.21,2001.9999999999998,2131.9999999999995,1865.9999999999998,2280.0,1626.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.22,2079.0,2221.0,1934.0000000000002,2387.0,1719.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.23,2154.0,2309.0,2000.0,2480.0,1803.0000000000002,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.24,2227.0,2389.0000000000005,2068.0,2555.0,1883.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.25,2302.0,2458.0,2138.0,2618.0000000000005,1956.9999999999998,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.26,2377.0,2526.0,2217.0,2687.0,2041.9999999999998,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.27,2458.0,2592.0,2304.0000000000005,2756.0,2129.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.28,2538.0000000000005,2661.0,2396.0,2828.0000000000005,2231.9999999999995,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.29,2620.0,2735.0,2487.0,2901.9999999999995,2329.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.3,2699.0,2813.9999999999995,2578.9999999999995,2983.0,2413.0000000000005,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.31,2780.0,2900.0,2671.9999999999995,3077.0,2484.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.32,2863.0,2985.0,2753.0,3174.0,2555.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.33,2946.0,3072.0,2828.9999999999995,3279.0,2630.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.34,3028.0,3163.9999999999995,2900.0,3398.0,2698.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.35,3108.0,3258.0,2968.0,3526.9999999999995,2764.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.36,3188.0,3356.0000000000005,3035.0,3645.0,2827.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
OCE205-2-100GGC,,0.37,3268.0000000000005,3456.0000000000005,3101.0000000000005,3779.0,2888.0,3,Age model from Waelbroeck et al. (2019) IntCal13,,1
