Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
OC205-103GGC,,0.1,574.9140014648438,,,,439.3529968261719,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OC205-103GGC,,0.11,734.2713012695312,,,934.8458251953125,549.8458251953125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OC205-103GGC,,0.12,893.6282958984375,,,1232.484619140625,573.484619140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OC205-103GGC,,0.13,1052.9864501953125,,,1548.1234130859375,593.1234130859375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OC205-103GGC,,0.14,1212.342529296875,,,1864.76220703125,613.76220703125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OC205-103GGC,,0.15,1371.69921875,,,2185.40087890625,635.4010009765625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OC205-103GGC,,0.16,1472.651123046875,,,2225.2685546875,684.2685546875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OC205-103GGC,,0.17,1571.219970703125,,,2262.676025390625,725.676025390625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OC205-103GGC,,0.18,1669.78564453125,,,2320.08349609375,769.0835571289062,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OC205-103GGC,,0.19,1768.353271484375,,,2404.4912109375,802.4910888671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OC205-103GGC,,0.2,1866.9207763671875,,,2536.8984375,832.8985595703125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OC205-103GGC,,0.21,1964.350341796875,,,2574.244873046875,1028.244873046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OC205-103GGC,,0.22,2061.684814453125,,,2583.96875,1250.9688720703125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
OC205-103GGC,,0.23,2159.020751953125,,,2631.06982421875,1439.06982421875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
