Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
OCE205-2-103GGC,,0.105,,OS-10523,G. sacc,920,35,35,440,100,100,498,130,96,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
OCE205-2-103GGC,,0.285,,OS-26154,G. sacc,2970,50,50,440,100,100,2575,167,90,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
OCE205-2-103GGC,,0.425,,OS-26155,G. sacc,3850,35,35,440,100,100,3636,184,161,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
OCE205-2-103GGC,,0.615,,OS-26785,G. sacc,5280,45,45,440,100,100,5517,131,118,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
OCE205-2-103GGC,,0.625,,OS-10524,G. sacc,5290,45,45,440,100,100,5527,125,99,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
OCE205-2-103GGC,,0.735,,OS-26786,G. sacc,6500,45,45,440,100,100,6853,132,123,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
OCE205-2-103GGC,,0.885,,OS-15376,G. sacc,7630,45,45,440,100,100,7948,86,117,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
OCE205-2-103GGC,,0.905,,OS-33629,G. ruber,7890,45,45,440,100,100,8203,135,39,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
OCE205-2-103GGC,,0.96,,OS-33630,G. ruber,9260,60,60,440,100,100,9823,288,250,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
OCE205-2-103GGC,,1.0,,OS-33631,G. ruber,9800,60,60,440,100,100,10518,158,157,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
OCE205-2-103GGC,,1.005,,OS-26787,G. sacc,9410,50,50,440,100,100,10003,220,110,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
OCE205-2-103GGC,,1.06,,OS-33632,G. ruber,10400,55,55,440,100,100,11394,210,158,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
OCE205-2-103GGC,,1.135,,OS-10526,G. sacc,11000,50,50,440,200,200,12306,365,331,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
OCE205-2-103GGC,,1.215,,OS-10525,G. sacc,12200,55,55,440,200,200,13524,226,154,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
OCE205-2-103GGC,,1.345,,OS-10527,G. sacc,17100,100,100,440,200,200,19834,272,283,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
OCE205-2-103GGC,,1.515,,OS-10528,G. sacc,20200,85,85,440,200,200,23473,291,216,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
OCE205-2-103GGC,,1.715,,OS-10529,G. sacc,25900,120,120,440,200,200,29520,251,293,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
OCE205-2-103GGC,,2.005,,OS-10530,G. sacc,31500,170,170,440,200,200,35191,254,374,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
OCE205-2-103GGC,,2.205,,OS-10645,G. sacc,37400,360,360,440,200,200,41630,300,272,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
OCE205-2-103GGC,,2.405,,OS-15377,G. sacc,39600,390,390,440,200,200,42629,174,199,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
OCE205-2-103GGC,,2.675,,OS-15378,G. sacc,45700,500,500,440,200,200,47376,633,598,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
OCE205-2-103GGC,,2.705,,OS-10531,G. sacc,39500,480,480,440,200,200,42604,201,234,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
