Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
OCE205-2-103GGC,,0.1,599.0781860352,,,1856.3493652344,564.3493652344,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.11,692.6516113281,,,1928.0744628906,635.0744018555,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.12,786.2244262695,,,2019.7993164063,699.7993774414,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.13,879.7974243164,,,2088.5244140625,774.5244750977,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.14,973.3703613281,,,2215.9890136719,850.9890136719,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.15,1066.9423828125,,,2311.5502929688,940.5503540039,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.16,1160.5150146484,,,2427.1115722656,1048.1115722656,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.17,1254.0900878906,,,2519.990234375,1159.9901123047,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.18,1347.662109375,,,2630.5625,1268.5625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.19,1441.2364501953,,,2729.134765625,1368.1348876953,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.2,1534.8071289063,,,2877.7072753906,1458.7072753906,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.21,1630.0220947266,,,2954.5844726563,1555.5845947266,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.22,1725.3737792969,,,3054.8454589844,1652.8454589844,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.23,1820.7277832031,,,3160.853515625,1747.853515625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.24,1916.078125,,,3276.8618164063,1854.8618164063,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.25,2011.4340820313,,,3384.8701171875,1955.8699951172,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.26,2122.5012207031,,,3449.974609375,2070.974609375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.27,2235.6657714844,,,3500.615234375,2188.615234375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.28,2348.8288574219,,,3584.255859375,2306.255859375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.29,2461.9965820313,,,3665.3051757813,2420.3051757813,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.3,2575.1591796875,,,3835.5126953125,2541.5126953125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.31,2681.4396972656,,,3927.5515136719,2647.5515136719,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.32,2786.4370117188,,,3981.6982421875,2754.6982421875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.33,2891.4396972656,,,4049.8447265625,2854.8447265625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.34,2996.4396972656,,,4138.9912109375,2971.9912109375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.35,3101.4399414063,,,4243.1376953125,3096.1379394531,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.36,3193.6271972656,,,4314.2700195313,3197.2700195313,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.37,3282.6921386719,,,4367.1694335938,3281.1694335938,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.38,3371.7578125,,,4432.0693359375,3369.0690917969,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.39,3460.8217773438,,,4508.96875,3455.96875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.4,3549.88671875,,,4593.8681640625,3532.8681640625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.41,3643.7788085938,,,4652.5405273438,3622.5405273438,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.42,3739.1491699219,,,4721.681640625,3734.6813964844,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.43,3834.5258789063,,,4793.1064453125,3846.1064453125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.44,3929.8979492188,,,4884.9765625,3957.9765625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.45,4025.2731933594,,,4985.8466796875,4061.8469238281,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.46,4126.9985351563,,,5043.5541992188,4162.5541992188,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.47,4231.1303710938,,,5084.064453125,4270.064453125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.48,4335.2587890625,,,5141.5747070313,4376.5747070313,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.49,4439.3916015625,,,5214.0849609375,4492.0849609375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.5,4543.5278320313,,,5313.5952148438,4607.5952148438,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.51,4641.4389648438,,,5378.51953125,4707.51953125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.52,4736.5219726563,,,5418.5478515625,4798.5478515625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.53,4831.5893554688,,,5462.576171875,4892.576171875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.54,4926.6704101563,,,5519.6040039063,4990.6040039063,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.55,5021.7509765625,,,5601.6318359375,5093.6318359375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.56,5116.2954101563,,,5658.7836914063,5177.7836914063,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.57,5210.5498046875,,,5676.638671875,5249.638671875,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.58,5304.8095703125,,,5704.4936523438,5332.4936523438,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.59,5399.0688476563,,,5737.5859375,5413.5859375,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.6,5493.3315429688,,,5806.712890625,5503.712890625,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.61,5584.8188476563,,,5850.4213867188,5588.4213867188,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.62,5674.537109375,,,5928.2153320313,5674.2153320313,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
OCE205-2-103GGC,,0.63,5764.2529296875,,,6030.9267578125,5761.9267578125,3,Age model from Repschlaeger et al. (2021),"BACON.IntCal13 14C AMS, bacon, pdv",1
