Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
ODP-162-983,,0.0,assumed,,,,,,,,,0,10,10,,,,From Waelbroeck et al. 2019 compilation,assumed,,
ODP-162-983,,3.2,alignment of %Nps to NGRIP temp vs GICC05,,,,,,,,,11629,50,50,,,,From Waelbroeck et al. 2019 compilation,Wolff et al.; 2010 (Table2),,
ODP-162-983,,3.411,alignment of %Nps to NGRIP temp vs GICC05,,,,,,,,,14635,100,100,,,,From Waelbroeck et al. 2019 compilation,Wolff et al.; 2010 (Table2),,
ODP-162-983,,3.952,alignment of %Nps to NGRIP temp vs GICC05,,,,,,,,,27399,420,420,,,,From Waelbroeck et al. 2019 compilation,interpolated from Wolff et al.; 2010,,
ODP-162-983,,4.006,alignment of %Nps to NGRIP temp vs GICC05,,,,,,,,,27759,420,420,,,,From Waelbroeck et al. 2019 compilation,Wolff et al.; 2010 (Table2),,
ODP-162-983,,4.155,alignment of %Nps to NGRIP temp vs GICC05,,,,,,,,,28871,450,450,,,,From Waelbroeck et al. 2019 compilation,Wolff et al.; 2010 (Table2),,
ODP-162-983,,4.465,alignment of %Nps to NGRIP temp vs GICC05,,,,,,,,,32470,570,570,,,,From Waelbroeck et al. 2019 compilation,Wolff et al.; 2010 (Table2),,
ODP-162-983,,4.592,alignment of %Nps to NGRIP temp vs GICC05,,,,,,,,,33728,610,610,,,,From Waelbroeck et al. 2019 compilation,Wolff et al.; 2010 (Table2),,
ODP-162-983,,5.218999999999999,alignment of %Nps to NGRIP temp vs GICC05,,,,,,,,,41347,820,820,,,,From Waelbroeck et al. 2019 compilation,Wolff et al.; 2010 (Table2),,
ODP-162-983,,5.527,alignment of %Nps to NGRIP temp vs GICC05,,,,,,,,,43316,870,870,,,,From Waelbroeck et al. 2019 compilation,Wolff et al.; 2010 (Table2),,
ODP-162-983,,5.846,alignment of %Nps to NGRIP temp vs GICC05,,,,,,,,,46836,960,960,,,,From Waelbroeck et al. 2019 compilation,Wolff et al.; 2010 (Table2),,
ODP-162-983,,6.646,alignment of %Nps to NGRIP temp vs GICC05,,,,,,,,,54184,1150,1150,,,,From Waelbroeck et al. 2019 compilation,Wolff et al.; 2010 (Table2),,
ODP-162-983,,6.803,alignment of %Nps to NGRIP temp vs GICC05,,,,,,,,,55757,1200,1200,,,,From Waelbroeck et al. 2019 compilation,Wolff et al.; 2010 (Table2),,
ODP-162-983,,7.273,alignment of %Nps to NGRIP temp vs GICC05,,,,,,,,,59418,1290,1290,,,,From Waelbroeck et al. 2019 compilation,Wolff et al.; 2010 (Table2),,
ODP-162-983,,7.404,alignment of %Nps to NGRIP temp vs GICC05,,,,,,,,,64082,1500,1500,,,,From Waelbroeck et al. 2019 compilation,guess,,
ODP-162-983,,7.893,alignment of %Nps to NGRIP temp vs GICC05,,,,,,,,,72280,1500,1500,,,,From Waelbroeck et al. 2019 compilation,guess,,
ODP-162-983,,8.392000000000001,alignment of %Nps to NGRIP temp vs GICC05,,,,,,,,,76413,1500,1500,,,,From Waelbroeck et al. 2019 compilation,guess,,
ODP-162-983,,9.161,alignment of %Nps to NGRIP temp vs GICC05,,,,,,,,,84725,1500,1500,,,,From Waelbroeck et al. 2019 compilation,guess,,
ODP-162-983,,9.641,alignment of %Nps to NGRIP temp vs GICC05,,,,,,,,,90025,1500,1500,,,,From Waelbroeck et al. 2019 compilation,guess,,
