Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
ODP-162-984,,0.01,14C,,G. bulloides,80.5,40,40,699.8,50.5,50.5,138,143,133,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/odp984c-tab.txt
ODP-162-984,,0.31,14C,,G. bulloides,144,35,35,672.5,51,51,709,188,146,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/odp984c-tab.txt
ODP-162-984,,0.59,14C,,G. bulloides,220,40,40,643,52.8,52.8,1449,119,139,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/odp984c-tab.txt
ODP-162-984,,0.95,14C,,G. bulloides,369,40,40,671.8,51.2,51.2,3208,159,202,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/odp984c-tab.txt
ODP-162-984,,1.23,14C,,G. bulloides,438,40,40,623.2,50.8,50.8,4127,273,201,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/odp984c-tab.txt
ODP-162-984,,1.63,14C,,G. bulloides,567,45,45,701,50.4,50.4,5723,169,128,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/odp984c-tab.txt
ODP-162-984,,1.95,14C,,G. bulloides,683,65,65,701.7,51.4,51.4,7021,221,224,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/odp984c-tab.txt
ODP-162-984,,2.15,14C,,G. bulloides,739,50,50,726.1,53.1,53.1,7536,119,103,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/odp984c-tab.txt
ODP-162-984,,2.54,14C,,G. bulloides,873,55,55,623,50.8,50.8,9045,240,278,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/odp984c-tab.txt
ODP-162-984,,2.74,14C,,G. bulloides,936,45,45,579.3,50.4,50.4,9818,329,259,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/odp984c-tab.txt
ODP-162-984,,2.84,14C,,G. bulloides,941,55,55,575.2,51.2,51.2,9926,256,291,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/odp984c-tab.txt
ODP-162-984,,3.05,tephra,,NaN,,,,,,,12171,57,57,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/odp984c-tab.txt
ODP-162-984,,3.35,14C,,N. pachyderma,1550,60,60,1142,221.6,221.6,17471,574,629,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/odp984c-tab.txt
ODP-162-984,,3.45,14C,,N. pachyderma,1625,90,90,1159.7,219.7,219.7,18331,497,501,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/odp984c-tab.txt
ODP-162-984,,3.81,14C,,N. pachyderma,1785,100,100,1103.2,213.6,213.6,20208,569,584,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/odp984c-tab.txt
ODP-162-984,,4.05,14C,,N. pachyderma,1850,80,80,1101,214.6,214.6,21038,636,575,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/odp984c-tab.txt
ODP-162-984,,4.41,14C,,N. pachyderma,1995,80,80,1129,210.3,210.3,22734,585,451,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/odp984c-tab.txt
ODP-162-984,,4.65,14C,,N. pachyderma,2100,90,90,1202.1,207.8,207.8,23835,547,555,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/odp984c-tab.txt

