Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
ODP-162-984,,0.01,89.2793807983,,,248.9557037354,-4.0443000793,3,Age model from Jonkers et al. (2020),,1
ODP-162-984,,0.02,110.5497207642,,,264.3342590332,3.3342604637,3,Age model from Jonkers et al. (2020),,1
ODP-162-984,,0.03,131.8203887939,,,281.6329956055,9.6329803467,3,Age model from Jonkers et al. (2020),,1
ODP-162-984,,0.04,153.0909118652,,,296.7066650391,14.7066802979,3,Age model from Jonkers et al. (2020),,1
ODP-162-984,,0.05,174.3613891602,,,350.7803955078,20.780380249,3,Age model from Jonkers et al. (2020),,1
ODP-162-984,,0.06,195.6320495605,,,382.8540649414,27.8540802002,3,Age model from Jonkers et al. (2020),,1
ODP-162-984,,0.07,216.8291473389,,,394.6267700195,46.626789093,3,Age model from Jonkers et al. (2020),,1
ODP-162-984,,0.08,238.0228881836,,,407.975982666,68.975982666,3,Age model from Jonkers et al. (2020),,1
ODP-162-984,,0.09,259.2172241211,,,442.3251647949,94.3251647949,3,Age model from Jonkers et al. (2020),,1
ODP-162-984,,0.1,280.411315918,,,480.6743774414,114.6743621826,3,Age model from Jonkers et al. (2020),,1
ODP-162-984,,0.11,301.6050720215,,,504.0235595703,121.0235443115,3,Age model from Jonkers et al. (2020),,1
ODP-162-984,,0.12,323.2333984375,,,528.3704223633,149.3704376221,3,Age model from Jonkers et al. (2020),,1
ODP-162-984,,0.13,344.9027099609,,,544.3696289063,169.3696594238,3,Age model from Jonkers et al. (2020),,1
ODP-162-984,,0.14,366.5718383789,,,560.3426513672,183.3426208496,3,Age model from Jonkers et al. (2020),,1
ODP-162-984,,0.15,388.242767334,,,575.841796875,193.8418121338,3,Age model from Jonkers et al. (2020),,1
ODP-162-984,,0.16,409.9119873047,,,616.341003418,205.3409881592,3,Age model from Jonkers et al. (2020),,1
ODP-162-984,,0.17,431.532623291,,,631.0573730469,231.0573425293,3,Age model from Jonkers et al. (2020),,1
ODP-162-984,,0.18,453.145111084,,,645.9583740234,254.958404541,3,Age model from Jonkers et al. (2020),,1
ODP-162-984,,0.19,474.7581787109,,,668.8594970703,278.8594665527,3,Age model from Jonkers et al. (2020),,1
ODP-162-984,,0.2,496.3717651367,,,687.760559082,305.760559082,3,Age model from Jonkers et al. (2020),,1
ODP-162-984,,0.21,517.985168457,,,709.6616210938,324.6616210938,3,Age model from Jonkers et al. (2020),,1
ODP-162-984,,0.22,539.9329833984,,,732.3746948242,352.3746948242,3,Age model from Jonkers et al. (2020),,1
ODP-162-984,,0.23,561.9505615234,,,741.9956054688,381.9956054688,3,Age model from Jonkers et al. (2020),,1
