Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
ODP-162-984,,0.01,16.777,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,0.05,242.83,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,0.15,807.95,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,0.21,968.7,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,0.25,1063.9,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,0.35,1325.7,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,0.41,1499.3,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,0.45,1615.1,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,0.55,1916.5,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,0.61,2100.1,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,0.65,2231.4,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,0.75,2559.6,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,0.81,2757.4,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,0.85,2889.3,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,0.95,3246.1,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,1.05,3650.5,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,1.25,4490,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,1.41,5218.7,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,1.71,6491.1,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,2.05,7667.6,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,2.65,10411,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,2.71,10721,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,2.75,10927,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,2.85,11418,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,2.91,11720,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,2.95,11983,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,3.01,12637,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,3.05,13111,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,3.15,14514,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,3.21,15289,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,3.25,15906,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,3.35,17393,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,3.41,18136,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,3.45,18520,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,3.55,19215,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,3.61,19492,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,3.65,19641,,,,,4,Age model from Peterson and Lisiecki (2018),,
ODP-162-984,,3.75,20015,,,,,4,Age model from Peterson and Lisiecki (2018),,
